id4782  ← id5060  枠2→10（既存枠は新bundleの部分集合と機械確認）
id3557  ← id5067  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2632244)
id309   ← id5074  枠+2 (https://t.pia.jp/pia/event/event.do?eventCd=2627660)
id309   ← id5078  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2630181)
id2384  ← id5090  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2618647)
id3798  ← id5091  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2633549)
id3798  ← id5092  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2633548)
id3798  ← id5093  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2633550)
id3798  ← id5094  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2633547)
id3798  ← id5095  枠+1 (https://t.pia.jp/pia/event/event.do?eventCd=2633545)
OK 統合完了
