cls=is-active 状態=予定枚数終了 | 県=佐賀県 会場=ミズ ウェルビー ホール 大ホール | 公演=2026-07-19 | 券種=一般発売． ／ 高嶋ちさ子 １２人のヴァイオリニ | 期間=
cls=is-active 状態=予定枚数終了 | 県=長崎県 会場=アルカスＳＡＳＥＢＯ 大ホール | 公演=2026-07-20 | 券種=一般発売． ／ 高嶋ちさ子 １２人のヴァイオリニ | 期間=
cls=is-active 状態=予定枚数終了 | 県=滋賀県 会場=大津市民会館 大ホール | 公演=2026-07-25 | 券種=●一般発売（７／２５公演） ／ 高嶋ちさ子 １２ | 期間=
cls=is-before 状態=抽選受付終了 | 県= 会場=滋賀県／大阪府／奈良県／和歌山県 | 公演=2026-06-27 | 券種=高嶋ちさ子 12人のヴァイオリニスト〔大阪※6月 | 期間=
cls=is-before 状態=抽選受付終了 | 県= 会場=福岡県／佐賀県／長崎県／熊本県／大分 | 公演=2026-07-17 | 券種=「高嶋ちさ子 12人のヴァイオリニスト」プレリザ | 期間=
cls=is-before 状態=抽選受付終了 | 県= 会場=福岡県／佐賀県／長崎県／熊本県／大分 | 公演=2026-07-17 | 券種=「高嶋ちさ子 12人のヴァイオリニスト」2次プレ | 期間=
cls=is-before 状態=抽選受付終了 | 県= 会場=福岡県／佐賀県／長崎県／熊本県／大分 | 公演=2026-07-17 | 券種=「高嶋ちさ子 12人のヴァイオリニスト」3次プレ | 期間=
cls=is-before 状態=抽選受付終了 | 県= 会場=福岡県／佐賀県／長崎県／熊本県／大分 | 公演=2026-07-17 | 券種=「高嶋ちさ子 12人のヴァイオリニスト」4次プレ | 期間=
cls=is-before 状態=販売終了 | 県=奈良県 会場=なら１００年会館 大ホール | 公演=2026-07-11 | 券種=プリセール（７／１１公演） ／ 高嶋ちさ子 １２ | 期間=
cls=is-before 状態=販売終了 | 県=滋賀県 会場=大津市民会館 大ホール | 公演=2026-07-25 | 券種=プリセール（７／２５公演） ／ 高嶋ちさ子 １２ | 期間=
cls=is-before 状態=販売終了 | 県=奈良県 会場=なら１００年会館 大ホール | 公演=2026-07-11 | 券種=●一般発売（７／１１公演） ／ 高嶋ちさ子 １２ | 期間=
cls=is-before 状態=販売終了 | 県=奈良県 会場=なら１００年会館 大ホール | 公演=2026-07-11 | 券種=一般発売（７／１１公演） ／ 高嶋ちさ子 １２人 | 期間=
cls=is-before 状態=販売終了 | 県=滋賀県 会場=大津市民会館 大ホール | 公演=2026-07-25 | 券種=一般発売（７／２５公演） ／ 高嶋ちさ子 １２人 | 期間=
cls=is-before 状態=販売終了 | 県=佐賀県 会場=ミズ ウェルビー ホール 大ホール | 公演=2026-07-19 | 券種=一般発売 ／ 高嶋ちさ子 １２人のヴァイオリニス | 期間=
cls=is-before 状態=販売終了 | 県=長崎県 会場=アルカスＳＡＳＥＢＯ 大ホール | 公演=2026-07-20 | 券種=一般発売 ／ 高嶋ちさ子 １２人のヴァイオリニス | 期間=
cls=is-active 状態=予定枚数終了 | 県=佐賀県 会場=ミズ ウェルビー ホール 大ホール | 公演=2026-07-19 | 券種=一般発売． ／ 高嶋ちさ子 １２人のヴァイオリニ | 期間=
cls=is-active 状態=予定枚数終了 | 県=長崎県 会場=アルカスＳＡＳＥＢＯ 大ホール | 公演=2026-07-20 | 券種=一般発売． ／ 高嶋ちさ子 １２人のヴァイオリニ | 期間=
cls=is-active 状態=予定枚数終了 | 県=滋賀県 会場=大津市民会館 大ホール | 公演=2026-07-25 | 券種=●一般発売（７／２５公演） ／ 高嶋ちさ子 １２ | 期間=
