踊りモード＝台詞なし（音楽に合わせて動く）
セリフ 0字 / 尺10秒に収まる目安 50字
task_id: 443039859880217
    10s status=running
    20s status=running
    31s status=running
    41s status=running
    52s status=running
    62s status=running
    72s status=running
    83s status=running
    93s status=running
   103s status=running
   114s status=running
   124s status=running
   135s status=running
   146s status=running
   157s status=running
   167s status=running
   178s status=running
   189s status=running
   199s status=running
   210s status=running
   221s status=running
   231s status=running
   242s status=running
   252s status=running
   263s status=running
   274s status=running
   285s status=running
   296s status=running
   307s status=running
   318s status=running
   329s status=running
   339s status=running
   350s status=running
   362s status=running
   373s status=running
   384s status=running
   395s status=running
   406s status=running
   416s status=running
   427s status=running
   438s status=running
   450s status=running
   461s status=running
   485s status=succeeded
保存: tmp/mv/h3_2.mp4 10466198 bytes
