id=6394  jpop     e-radio 「キャッチ!」 presents SHIGA BEAT CRUISIN’ | 2026年9月5日(土) 滋賀 近江八幡市文化会館 大ホール | 枠1
id=6395  enka     輝&輝 | 2027年1月11日(月) 愛知 宗次ホール | 枠1
id=6396  jpop     吉川晃司 | 2026年8月1日(土)〜2026年10月16日(金) 東京・熊本 | 枠1
id=6397  yougaku  Good Morning Record Bar Presents『GOOD DAY KY | 2026年9月23日(水) 京都 WORLD KYOTO | 枠1
id=6398  jpop     鞘師里保 | 2026年12月4日(金)〜2026年12月6日(日) 栃木・埼玉 | 枠2
id=6399  jpop     とりとうわばみ 放し魚遍 | 2026年11月3日(火) 大阪 梅田Zeela | 枠1
id=6400  jpop     永井真理子 | 2026年12月5日(土) 東京 新宿ReNY | 枠1
id=6401  jpop     藤原大祐 | 2026年10月23日(金) 東京 Veats Shibuya | 枠1
id=6402  jpop     fripSide | 2026年9月21日(月)〜2027年1月11日(月) 東京 | 枠2
id=6403  jpop     【当日引換券】ベリーグッドマン | 2026年9月5日(土) 大阪 フェスティバルホール | 枠1
id=6404  hougaku  琉球文化の宴1現存最古の三線と人間国宝・太鼓の音色が鳴り響く | 2026年12月4日(金) 沖縄 桜坂劇場 ホールA | 枠1
id=6405  jpop     PSYCHIC FES 2026 | 2026年10月20日(火)〜2026年11月28日(土) 大阪・愛知・兵庫 | 枠2
id=6408  classic  国際バレエアカデミアバレエ団公演『ペトルウシュカ』『ジゼル二幕』 | 2027年1月30日(土)〜2027年1月31日(日) 東京 新国立劇場 中劇場 | 枠1
id=6411  dento    第一回 新春野村狂言座 | 2027年1月5日(火) 大阪 サンケイホールブリーゼ | 枠1
id=6412  engeki   ハムレット、冬の旅 HAMLET’SWINTER | 2026年11月20日(金)〜2026年11月30日(月) 東京 新国立劇場 小 | 枠2
id=6414  engeki   舞台「ぼくのドラゴンがごはんを食べない!!」 | 2026年11月5日(木)〜2026年12月6日(日) 東京・大阪 | 枠1
id=6415  owarai   松元ヒロ ひとり立ち | 2026年10月29日(木)〜2026年11月1日(日) 東京 紀伊國屋ホール | 枠1
id=6416  owarai   #ミッドGIII みんなで応援しナイトin Osaka | 2026年9月16日(水) 大阪 新世界ZAZA HOUSE | 枠1
id=6419  dento    横須賀芸術劇場リニューアル記念 よこすか能 観世喜正プロデュース 蝋燭能『江野島』 | 2027年2月13日(土) 神奈川 よこすか芸術劇場 | 枠1
id=6420  engeki   『IMPACT26』 | 2026年10月2日(金)〜2026年10月28日(水) 東京 新橋演舞場 | 枠1
id=6421  sports   【WEリーグ】INAC神戸レオネッサ対サンフレッチェ広島レジーナ WEリーグ カップ戦  | 2026年9月27日(日) 兵庫 ノエビアスタジアム神戸 | 枠1
id=6422  sports   浦和レッズ対ジェフユナイテッド千葉 明治安田J1リーグ | 2026年10月21日(水) 埼玉 埼玉スタジアム2002 | 枠2
id=6423  sports   浦和レッズ対セレッソ大阪 明治安田J1リーグ | 2026年11月25日(水) 埼玉 埼玉スタジアム2002 | 枠2
id=6424  sports   浦和レッズ対V・ファーレン長崎 明治安田J1リーグ | 2026年10月25日(日) 埼玉 埼玉スタジアム2002 | 枠2
id=6425  sports   千葉ロッテマリーンズ対東北楽天ゴールデンイーグルス 公式戦 | 2026年10月4日(日) 千葉 ZOZOマリンスタジアム | 枠1
id=6427  sports   テゲバジャーロ宮崎対北海道コンサドーレ札幌 2026／27明治安田J2リーグ | 2026年9月26日(土) 宮崎 いちご宮崎新富サッカー場 | 枠1
id=6428  sports   ヴァンフォーレ甲府対徳島ヴォルティス 明治安田J2リーグ | 2026年9月19日(土) 山梨 JIT リサイクルインク スタジアム | 枠1
id=6429  musicetc “音”で楽しむ!真夜中の映画祭 クリストファー・ノーラン「ダンケルク」「ダークナイト」  | 2026年9月21日(月) 東京 MIDNIGHT EAST | 枠1
id=6430  musicetc “音”で楽しむ!真夜中の映画祭 マイケル・ジャクソン「ムーンウォーカー」 <ライブ音響上 | 2026年9月20日(日) 東京 MIDNIGHT EAST | 枠1
id=6431  aisatsu  「戦場のボヘミアン カメラマン石川文洋」完成披露上映会 | 2026年10月16日(金) 東京 ユーロライブ | 枠1
id=6433  musicetc 青島ナイトアップ（神聖なる本島体験）チケット | 2026年9月18日(金)〜2026年11月29日(日) 宮崎 青島神社 | 枠1
id=6434  musicetc acosta!@カンテレ×天神橋筋商店街 Vol.5 | 2026年11月28日(土)〜2026年11月29日(日) 大阪 天神橋筋商店街 | 枠1
id=6437  engeki   佐久間宣行PRESENTS 「五感爆発!-食もライブ!舞台もライブ!-」 | 2026年9月6日(日) 石川 石川県小松市團十郎芸術劇場うらら 大ホール | 枠1
id=6439  musicetc 天下統一 2026 | 2026年9月20日(日) 静岡 富士スピードウェイ | 枠1
id=6440  gakusai  中島颯太トークショー | 2026年10月24日(土) 岡山 倉敷芸術科学大学 体育館 | 枠1
id=6441  gakusai  マルシィ | 2026年10月27日(火) 福岡 Zepp Fukuoka | 枠1
id=6442  engeki   Remember KINTETSU Buffaloes 2026 | 2026年10月18日(日) 大阪 アイセルシュラホール | 枠1
id=6443  hanabi   令和8年度高山やぶさめ祭花火大会 | 2026年10月17日(土) 鹿児島 高山川河川敷 | 枠1
id=6445  classic  五十嵐紅トリオ|New Year 2027（東京公演） | 2027年1月21日(木) 東京 自由学園明日館 講堂 | 枠1
id=6446  classic  五十嵐紅トリオ|New Year 2027（みなとみらい公演） | 2027年1月23日(土) 神奈川 横浜みなとみらいホール 小ホール | 枠1
id=6447  classic  イタリアの歌 名曲コンサート | 2026年11月28日(土) 東京 よみうり大手町ホール | 枠1
id=6448  classic  上野耕平・三浦一馬・山中惇史 トリオ・コンサート | 2027年2月7日(日) 神奈川 ヨコスカ・ベイサイド・ポケット | 枠1
id=6449  classic  上原彩子（p） | 2027年1月9日(土) 愛知 宗次ホール | 枠1
id=6451  classic  オクサーナ・ステパニュック ソプラノ・リサイタル | 2026年11月12日(木)〜2026年12月1日(火) 鳥取・島根・広島・東京 | 枠2
id=6452  classic  第23回子どもたちと芸術家の出あう街～真夜中の音楽室 オーケストラコンサート～ | 2027年1月31日(日) 東京 東京芸術劇場 コンサートホール | 枠2
id=6453  classic  「さくらぴあ弦楽四重奏団」結成記念公演 | 2026年12月23日(水) 広島 ウッドワンさくらぴあ 小ホール | 枠1
id=6455  classic  山陰フィルわくわくファミリーコンサート in グラントワ | 2026年10月18日(日) 島根 島根県芸術文化センター「グラントワ」大ホール | 枠1
id=6457  classic  高松亜衣（vl） | 2027年1月10日(日) 愛知 宗次ホール | 枠1
id=6458  classic  田中正也（p）／佐藤卓史（p） | 2027年1月3日(日) 愛知 宗次ホール | 枠1
id=6459  classic  辻本玲（vc） | 2027年1月23日(土) 愛知 宗次ホール | 枠1
id=6460  classic  東京21世紀管弦楽団 | 2027年4月9日(金) 東京 日本製鉄紀尾井ホール | 枠1
id=6461  classic  中村愛（hrp） | 2026年12月2日(水) 愛知 宗次ホール | 枠1
id=6463  classic  ハナ・チャン（vl）／小林海都（p） | 2027年1月31日(日) 愛知 宗次ホール | 枠1
id=6464  classic  響きの森クラシック・シリーズVol.90 | 2027年1月16日(土) 東京 文京シビックホール 大ホール | 枠1
id=6465  classic  名曲コンサート「バッハ増し!」フルート編（下払桐子・平尾有衣） | 2026年12月10日(木) 東京 自由学園明日館 講堂 | 枠1
id=6466  classic  名曲コンサート「バッハ増し!」ヴァイオリン編（倉冨亮太・鶴澤奏） | 2026年12月21日(月) 神奈川 横浜市港北区民文化センター ミズキーホール | 枠1
id=6467  classic  J.シュトラウスII:喜歌劇≪こうもり≫ コンサート形式 | 2026年12月27日(日) 東京 オーチャードホール | 枠1
id=6468  classic  読売日本交響楽団特別演奏会 歌劇「最初の人類」 | 2027年3月19日(金) 東京 東京芸術劇場 コンサートホール | 枠1
id=6409  owarai   さらば青春の光 ステゴロツアー2026 | 2026年10月3日(土)〜2026年11月28日(土) 全国ツアー | 枠1
id=6410  engeki   SHOW-WA／MATSURI 舞台公演『デカ×ホシ』 | 2026年9月9日(水)〜2026年9月18日(金) 東京 I’M A SHOW | 枠2
id=6426  sports   千葉ロッテマリーンズ対福岡ソフトバンクホークス 公式戦 | 2026年10月2日(金)〜2026年10月3日(土) 千葉 ZOZOマリンスタ | 枠1
id=6435  kids     映画名探偵プリキュア! × TOWER RECORDS CAFE<中目黒店>／9月18日 | 2026年9月18日(金)〜2026年10月2日(金) 東京 TOWER REC | 枠4
id=6454  classic  佐渡裕（指揮）／シエナ・ウインド・オーケストラ | 2026年11月15日(日) 福島 南相馬市民文化会館 大ホール | 枠1
id=6462  classic  日本フィルハーモニー交響楽団 第九特別演奏会2026（小林研一郎指揮） | 2026年12月26日(土) 神奈川 横浜みなとみらいホール 大ホール | 枠1
id=6477  fes      すみだ五彩の芸術祭 みんなの佐渡裕デイ | 2026年10月2日(金)〜2026年10月3日(土) 東京 すみだトリフォニー | 枠2
id=6478  engeki   水島裕プロデュースvol.10 笑う朗読3 | 2026年9月11日(金)〜2026年9月13日(日) 東京 大手町三井ホール | 枠1
id=6481  fes      New Acoustic Camp 2026 | 2026年9月19日(土)〜2026年9月20日(日) 群馬 水上高原リゾート2 | 枠9
id=6484  jpop     Tokyo Pop Chronicle | 2026年9月26日(土) 東京 SGC HALL ARIAKE | 枠1
id=6486  fes      a-nation 2026 | 2026年10月3日(土)〜2026年10月4日(日) 東京 お台場a-nati | 枠1
