ぴあ以外の新着 22件（振り分けはユーザーの確認後）
  id=7492  Paradox Live 4th SEASON KICKOFF EVENT in Shibu 2026-09-29 東京 [rakuten] _genre=anime
  id=7493  舞台『いつかアイツに会いに行く -BEYOND THE MOON-』             2026-09-22 東京 [rakuten] _genre=engeki
  id=7494  木下グループジャパンオープンテニスチャンピオンシップス2026                2026-10-06 東京 [rakuten] _genre=sports
  id=7495  アップアップガールズ（２） にきちゃん大決戦っ！！後夜祭                   2026-09-21 東京 [rakuten] _genre=idol
  id=7496  ハリウッドザコシショウのミニ単独ライブシリーズSEASON17 嫌な気持ちにさせツアー    2026-09-20 東京 [rakuten] _genre=owarai
  id=7497  骨髄バンクチャリティー第58回オープントーナメント全日本空手道選手権大会           2026-10-11 東京 [rakuten] _genre=sports
  id=7498  CDジャーナル連載10周年コンサート秋 〜柚木麻子・朝井リョウ・でか美ちゃん 書籍化記念スッ 2026-09-12 東京 [rakuten] _genre=
  id=7499  アップアップガールズ（仮） × アップアップガールズ（プロレス）               2026-09-13 東京 [rakuten] _genre=idol
  id=7500  アップアップガールズ（プロレス）                               2026-09-20 東京 [rakuten] _genre=idol
  id=7501  ラフ×ラフPresents アイドル オモカワトークNo.1決定戦              2026-09-25 東京 [rakuten] _genre=idol
  id=7502  ラフ×ラフ47都道府県巡業2026〜2027                         2027-04-03 全国 [rakuten] _genre=jpop
  id=7503  「@JAM PARTY vol.124」                           2026-09-13 神奈川 [rakuten] _genre=idol
  id=7504  りんご音楽祭2026                                     2026-09-27 長野 [rakuten] _genre=fes
  id=7505  THE ORCHESTRA TOKYO                            2026-09-27 全国 [rakuten] _genre=idol
  id=7506  Chalca「BLOODLINE TOUR」                         2026-10-01 全国 [rakuten] _genre=idol
  id=7507  ちゃーむぽっしゅ                                       2026-09-17 東京 [rakuten] _genre=idol
  id=7582  世田谷区たまがわ花火大会                                   2026-10-03 東京 [rakuten] _genre=hanabi
  id=7583  春猿火 4th ONE-MAN LIVE「UNITY – Our Resonance -」  2026-12-12 東京 [rakuten] _genre=jpop
  id=7584  KOKO 4th ONE-MAN LIVE 「PATHFINDER」             2026-12-13 東京 [rakuten] _genre=jpop
  id=7585  理芽 4th ONE-MAN LIVE 「NEUROMANCE IV」            2026-12-11 東京 [rakuten] _genre=jpop
  id=7706  藤井風 ピアノリサイタル                                   2026-11-21 東京 [eplus] _genre=jpop
  id=7707  はなもも マリンバ&打楽器コンサート                             2026-09-26 岐阜 [eplus] _genre=classic
