7417 9mm候補(秋田岩手10/3-4)	2627496	９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ(ｃｌｕｂ ｃｈａｎｇｅ ＷＡＶＥ Ｃｌｕｂ ＳＷＩＮＤＬＥ)をチケットぴあで今すぐチェック！	[期間] 
4366 9mm既存ツアー(11/7-1/31)	2627501	９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ(仙台Ｒｅｎｓａ 山形ミュージック昭和Ｓｅｓｓｉｏｎ)をチケットぴあで今すぐチェック！	[期間] 
7360 サニーデイ候補(9/18-9/27)	b2563931	全国ツアー「SUNNY DAY SERVICE TOUR 2026」開催！	[期間] 
1236 サニーデイ既存(東京10/14)	2623747	サニーデイ・サービス(Ｓｐｏｔｉｆｙ Ｏ－ＥＡＳＴ)をチケットぴあで今すぐチェック！	[期間] 
7362 バンアパ候補(10/4-12/6)	b2669905	the band apart(ｃｕｂｅ ｇａｒｄｅｎ ＫＥＥＰ ＴＨＥ ＢＥＡＴ ＫＥＳＥＮ ＲＯＣＫ ＦＲＥＡＫＳ 仙台 ｄａｒｗｉｎ ＮＩＩＧＡＴＡ ＬＯＴＳ ＥＶＡＮＳ ＣＡＳＴＬＥ ＨＡＬＬ ＹＥＢＩＳＵ ＹＡ ＰＲＯ)をチケットぴあで今すぐチェック！	[期間] 
5846 バンアパ既存(新潟10/3)	2630843	ｔｈｅ ｂａｎｄ ａｐａｒｔ(ＮＩＩＧＡＴＡ ＬＯＴＳ)をチケットぴあで今すぐチェック！	[期間] 
7377 ねぐせ候補(北海道11/15)	2633271	ねぐせ。(Ｚｅｐｐ Ｓａｐｐｏｒｏ)をチケットぴあで今すぐチェック！	[期間] 
4883 ねぐせ既存(福岡11/22)	2633085	ねぐせ。(Ｚｅｐｐ Ｆｕｋｕｏｋａ)をチケットぴあで今すぐチェック！	[期間] 
7381 PassCode候補(9/24-11/28)	2624372	ＰａｓｓＣｏｄｅ(小樽 ＧＯＬＤＳＴＯＮＥ ペニーレーン２４ 仙台Ｒｅｎｓａ 山形ミュージック昭和Ｓｅｓｓｉｏｎ Ｓｐｏｔｉｆｙ Ｏ－ＥＡＳＴ 横浜ベイホール ＮＩＩＧＡＴＡ ＬＯＴＳ 金沢ＥＩＧＨＴ ＨＡＬＬ ボトムライン Ｕ★ＳＴＯＮＥ ＫＹＯＴＯ ＭＵＳＥ ＢＩＧＣＡＴ 神戸 Ｈａｒｂｏｒ...	[期間] 
6923 PassCode既存(東京12/17-18)	2634920	ＰａｓｓＣｏｄｅ(Ｚｅｐｐ ＤｉｖｅｒＣｉｔｙ（ＴＯＫＹＯ）)をチケットぴあで今すぐチェック！	[期間] 
7383 ビッケ候補(北海道9/19)	2626792	「VK Blanka Joyride to 10th Tour」開催！	[期間] 
5781 ビッケ既存(10/2-10/25)	2616397	ビッケブランカ(仙台市若林区文化センター)をチケットぴあで今すぐチェック！	[期間] 
7394 摩天楼候補(北海道12/18-19)	2623366	摩天楼オペラ(ペニーレーン２４)をチケットぴあで今すぐチェック！	[期間] 
3139 摩天楼既存(8/11-10/31)	2623237	摩天楼オペラ(ｃｌｕｂ ｃｈａｎｇｅ ＷＡＶＥ)をチケットぴあで今すぐチェック！	[期間] 
7418 近藤真彦候補(10/31-11/1)	2618751	全国コンサートツアー「今度も最高！KONDOも最高！近藤真彦コンサートツアー2026」開催！	[期間] 
7423 PEDRO候補(12/19-1/8)	2627966	PEDRO TOUR 2026-2027 「This is PEDRO TOUR」開催。	[期間] 
3126 PEDRO既存(10/17-1/10)	b2669770	PEDRO(ペニーレーン２４ 函館ＡＲＡＲＡ ｃｌｕｂ ｃｈａｎｇｅ ＷＡＶＥ 仙台Ｒｅｎｓａ Ｈｉｐ Ｓｈｏｔ Ｊａｐａｎ 水戸ライトハウス 柏ＰＡＬＯＯＺＡ Ｚｅｐｐ ＤｉｖｅｒＣｉｔｙ（ＴＯＫＹＯ） Ｆ．Ａ．Ｄ ＹＯＫＯＨＡＭＡ 金沢ＥＩＧＨＴ ＨＡＬＬ 長野ＣＬＵＢ ＪＵＮＫ ＢＯＸ 岐...	[期間] 
7432 Guiano候補(宮城9/25)	2624486	Ｇｕｉａｎｏ(仙台 ｄａｒｗｉｎ)をチケットぴあで今すぐチェック！	[期間] 
5791 Guiano既存(10/2-10/30)	2617973	Ｇｕｉａｎｏ(ＤＲＵＭ Ｂｅ－１)をチケットぴあで今すぐチェック！	[期間] 
7435 高瀬候補(宮城11/29)	2628826	高瀬統也(誰も知らない劇場)をチケットぴあで今すぐチェック！	[期間] 
3130 高瀬既存(9/22-12/12)	2628024	5th Album『∞』を携え、「TAKASE TOYA JAPAN TOUR 2026 “∞”」 の開催決定！	[期間] 
7436 ちゃくら候補(宮城9/18)	2621227	ちゃくら(仙台ＭＡＣＡＮＡ)をチケットぴあで今すぐチェック！	[期間] 
5284 ちゃくら既存(東京12/3)	2626475	ちゃくら(Ｓｐｏｔｉｆｙ Ｏ－ＥＡＳＴ)をチケットぴあで今すぐチェック！	[期間] 
7405 和田唱候補(北海道10/12)	2633419	和田唱(ＳＰｉＣＥ)をチケットぴあで今すぐチェック！	[期間] 
