=== id=2805 読売ジャイアンツ対中日ドラゴンズ 公式戦
   一般発売【勝欲の秋シート】（東京 9/8公演）〜9/8 18:00  (date=2026-09-08)
   一般発売（東京 9/8公演）〜9/8 18:00  (date=2026-09-08)
   一般発売【はじめての熱狂!ドーム応援デビューシート】（東京 9/9公演）〜9/9 18:00  (date=2026-09-09)
   一般発売【勝欲の秋シート】（東京 9/9公演）〜9/9 18:00  (date=2026-09-09)
   一般発売（東京 9/9公演）〜9/9 18:00  (date=2026-09-09)
   一般発売【勝欲の秋シート】（東京 9/10公演）〜9/10 18:00  (date=2026-09-10)
   一般発売（東京 9/10公演）〜9/10 18:00  (date=2026-09-10)

=== id=3347 浦和レッズ対東京ヴェルディ 明治安田J1リーグ
   一般発売（埼玉 9/19公演）8/1 10:00発売  (date=2026-08-01)
   一般発売【メインアッパー指定席・ビジター指定席・ビジター自由席】（埼玉 9/19公演）8/1 10:00発売  (date=2026-08-01)

=== id=3348 浦和レッズ対ファジアーノ岡山 明治安田J1リーグ
   一般発売（埼玉 9/13公演）8/1 10:00発売  (date=2026-08-01)
   一般発売【メインアッパー指定席・ビジター指定席・ビジター自由席】（埼玉 9/13公演）8/1 10:00発売  (date=2026-08-01)

=== id=3457 ギラヴァンツ北九州対松本山雅FC 明治安田J3リーグ
   一般発売（福岡 8/30公演）8/2 10:00発売  (date=2026-08-02)
   一般発売【テーブルシート販売】（福岡 8/30公演）8/2 10:00発売  (date=2026-08-02)
