受付中 | None | when=～ 2026/8/23(日) 23:59 | perf=2026-09-04 | venue=ユナイテッド・シネマ アクアシティお台場 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=24056
受付中 | None | when=～ 2026/8/23(日) 23:59 | perf=2026-09-05 | venue=イオンシネマ板橋 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=24049
受付中 | None | when=～ 2026/8/23(日) 23:59 | perf=2026-09-05 | venue=ｋｉｎｏ ｃｉｎｅｍａ 新宿 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=24058
受付中 | None | when=～ 2026/8/23(日) 23:59 | perf=2026-09-06 | venue=大阪ステーションシティシネマ | pref=大阪府 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=24055
受付中 | None | when=～ 2026/8/23(日) 23:59 | perf=2026-09-06 | venue=ミッドランドスクエアシネマ | pref=愛知県 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=24057
発売前 | None | when=2026/8/25(火) 10:00より発売 | perf=2026-09-04 | venue=ユナイテッド・シネマ アクアシティお台場 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2631376&rlsCd=001
発売前 | None | when=2026/8/25(火) 10:00より発売 | perf=2026-09-05 | venue=イオンシネマ板橋 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2631253&rlsCd=001
発売前 | None | when=2026/8/25(火) 10:00より発売 | perf=2026-09-05 | venue=ｋｉｎｏ ｃｉｎｅｍａ 新宿 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2631425&rlsCd=001
発売前 | None | when=2026/8/25(火) 10:00より発売 | perf=2026-09-06 | venue=大阪ステーションシティシネマ | pref=大阪府 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2631362&rlsCd=001
発売前 | None | when=2026/8/25(火) 10:00より発売 | perf=2026-09-06 | venue=ミッドランドスクエアシネマ | pref=愛知県 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2631390&rlsCd=001
受付終了 | None | when= | perf=2026-08-19 | venue=ｋｉｎｏ ｃｉｎｅｍａ 新宿 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?lotRlsCd=24776
受付終了 | None | when= | perf=2026-08-19 | venue=ｋｉｎｏ ｃｉｎｅｍａ 新宿 | pref=東京都 | https://t.pia.jp/pia/ticketInformation.do?eventCd=2628213&rlsCd=001
