URL: https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669313
全14券種 / 買える(受付中・発売前)3件
  [受付中] 2026-09-19 新潟県 新潟県民会館 大ホール | 一般発売 ／ 「第三舞台２０２６」『パレイドリア』 | ～ 2026/9/14(月) 23:59
  [受付中] 2026-09-26〜2026-09-27 福岡県 Ｊ：ＣＯＭ北九州芸術劇場 大ホール | 一般発売 ／ 「第三舞台２０２６」『パレイドリア』 | ～ 2026/9/26(土) 23:59
  [発売前] 2026-09-19 新潟県 新潟県民会館 大ホール | 当日引換券販売 ／ 「第三舞台２０２６」『パレイドリア』 | 2026/9/15(火) 0:00より発売
  [受付終了] 2026-08-09〜2026-08-30 東京都 紀伊國屋ホール | 「第三舞台2026」『パレイドリア』〔東京〕※プレイガイド最速先行 | 
  [受付終了] 2026-08-09〜2026-08-30 東京都 紀伊國屋ホール | 「第三舞台2026」『パレイドリア』★2次受付〔東京〕 | 
  [受付終了] 2026-09-04〜2026-09-06 大阪府 サンケイホールブリーゼ | 「第三舞台2026」『パレイドリア』 プレイガイド最速先行＜大阪公演＞ | 
  [受付終了] 2026-09-26〜2026-09-27 福岡県 Ｊ：ＣＯＭ北九州芸術劇場 大ホール | 「第三舞台2026」『パレイドリア』〔福岡〕 | 
  [受付終了] 2026-09-19 新潟県 新潟県民会館 大ホール | 「第三舞台2026」『パレイドリア』〔新潟〕 | 
  [受付終了] 2026-09-04〜2026-09-06 大阪府 サンケイホールブリーゼ | 「第三舞台2026」『パレイドリア』★2次受付〔大阪〕 | 
  [受付終了] 2026-09-26〜2026-09-27 福岡県 Ｊ：ＣＯＭ北九州芸術劇場 大ホール | 「第三舞台2026」『パレイドリア』★2次受付〔福岡〕 | 
  [受付終了] 2026-08-09〜2026-08-30 東京都 紀伊國屋ホール | 一般発売 ／ 「第三舞台２０２６」『パレイドリア』 | 
  [受付終了] 2026-09-04〜2026-09-06 大阪府 サンケイホールブリーゼ | 一般発売 ／ 「第三舞台２０２６」『パレイドリア』 | 
  [受付終了] 2026-08-09〜2026-08-30 東京都 紀伊國屋ホール | 当日引換券販売 ／ 【当日引換券】「第三舞台２０２６」『パレイドリア』 | 
  [受付終了] 2026-09-04〜2026-09-06 大阪府 サンケイホールブリーゼ | 当日引換券販売 ／ 【当日引換券】「第三舞台２０２６」『パレイドリア』 | 
