lg=02 total=198 pages=20
parsed items: 121 (fetched up to page 22)
already in DB: 87 | NOT in DB (new candidates): 34
written tmp/onsale_engeki_0816.json
 NEW |  | 2026 LEE SANG JUN SHOW 4 | 2026/9/21(月・祝) | 東京都
 NEW |  | Ｏｓａｋａ ＧＬＯＷ Ｇｌｏｗ－ｉｎ－ｔｈｅ－Ｄ | 2026/10/24(土) ～ 2027/3 | 大阪府
 NEW |  | Owarai-night Sensation 『 | 2026/9/24(木) | 東京都
 NEW |  | Owarai-night Sensation 『 | 2026/10/8(木) | 大阪府
 NEW |  | かが屋の亀の間ライブ２０２６ －賀屋先生の漫画お | 2026/10/30(金) | 東京都
 NEW |  | カナメストーン全国ライブ「粉吹いてんのかよ」 | 2026/8/6(木) ～ 2026/9/2 | 北海道／宮城県／茨城県／東京都／愛知県／大阪府
 NEW |  | 完全寄席武蔵2 | 2026/9/24(木) | 東京都
 NEW |  | 神奈月 ソロライブツアー ものまねLOVE202 | 2026/11/7(土) ・ 2026/11 | 愛知県／大阪府
 NEW |  | ２０２６年劇団☆新感線４６周年興行・冬公演 いの | 2027/1/21(木) ～ 2027/1/ | 長野県
 NEW |  | ２０２６年劇団☆新感線４６周年興行・冬公演 いの | 2027/1/21(木) ～ 2027/2/ | 石川県／長野県
 NEW |  | コメディ朗読劇CONTELLING「だから秘密だ | 2026/10/3(土) ・ 2026/10 | 東京都
 NEW |  | 最強！ものまねフェスｉｎ宇都宮 | 2027/1/24(日) | 栃木県
 NEW |  | 最強！ものまねフェスｉｎ香川 | 2027/1/16(土) | 香川県
 NEW |  | 最強！ものまねフェスｉｎ名古屋 | 2027/1/8(金) | 愛知県
 NEW |  | ３０－ＤＥＬＵＸ ＮＥＸＴ ＳＴＡＧＥ ＴＨＥＡ | 2026/9/26(土) ～ 2026/10 | 埼玉県／東京都／愛知県／大阪府
 NEW |  | SHOW×MUSICAL『ドリームハイ』プレミア | 2026/9/3(木) ～ 2026/9/6 | 東京都
 NEW |  | 新春 小江戸川越特選落語 立川志らく／柳家喬太郎 | 2027/1/11(月・祝) | 埼玉県
 NEW |  | せやねん！寄席～放送２５周年記念公演やねん！～ | 2026/10/25(日) | 大阪府
 NEW |  | 「転校生は、かぐや」with 猿博打 | 2026/9/3(木) ～ 2026/9/8 | 東京都
 NEW |  | 第28回東京03単独公演『満更じゃないから』 | 2026/8/14(金) ～ 2026/8/ | 福岡県／熊本県
 NEW |  | ハナコ第１０回単独公演２０２６『これ』 | 2026/10/1(木) ～ 2026/10 | 東京都
 NEW |  | 『春よ来い、マジで来い』 | 2026/10/27(火) ～ 2026/1 | 東京都
 NEW |  | 爆笑喜劇 三婆 | 2026/11/11(水) | 京都府
 NEW |  | Paradox Live on Stage -R | 2026/10/2(金) ～ 2026/10 | 東京都
 NEW |  | 舞台「桶狭間の義経」 | 2026/11/6(金) ・ 2026/11 | 宮城県
