lg=01 total=958 pages=96
parsed items: 668 (fetched up to page 98)
already in DB: 522 | NOT in DB (new candidates): 146
written tmp/onsale_music_0816.json
 NEW |  | 浅井健一 | 2027/5/29(土) ・ 2027/6/ | 広島県／香川県
 NEW |  | Ａｙｕｍｕ Ｉｍａｚｕ | 2027/1/31(日) | 東京都
 NEW |  | ＵＮＬＩＭＩＴＳ | 2026/10/31(土) ・ 2026/1 | 千葉県／神奈川県／静岡県
 NEW |  | Ａｒｃｈｅ | 2027/6/4(金) ～ 2027/7/2 | 北海道／宮城県／東京都／愛知県／大阪府／福岡県
 NEW |  | yeti let you notice | 2026/10/4(日) ～ 2026/11 | 東京都／愛知県／大阪府／福岡県
 NEW |  | ITABASHI×TANITA×asian go | 2026/10/24(土) ・ 2026/1 | 東京都
 NEW |  | INORAN | 2026/10/30(金) | 東京都
 NEW |  | iri | 2026/10/22(木) | 神奈川県
 NEW |  | 上原ひろみ×熊谷和徳 | 2026/11/23(月・祝) | 静岡県
 NEW |  | ＥＤＥＮ’ｓ ＣＬＩＮＥ Ｌｉｖｅ ｔｕｒｎ ４ | 2026/10/3(土) | 東京都
 NEW |  | FTISLAND | 2026/9/6(日) ～ 2026/9/2 | 東京都／愛知県／兵庫県
 NEW |  | ＡＱ | 2026/10/12(月・祝) | 東京都
 NEW |  | OKINAWA FES Milafete HOK | 2026/9/5(土) ・ 2026/9/6 | 北海道
 NEW |  | ＯＤＤ Ｆｏｏｔ Ｗｏｒｋｓ | 2026/12/26(土) | 東京都
 NEW |  | Omoinotake | 2026/11/8(日) | 北海道
 NEW |  | ＯＮＥＷ | 2026/9/22(火・祝) ・ 2026/ | 東京都
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ２０ｔｈ Ａｎｎｉｖｅｒ | 2026/10/16(金) | 東京都
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ＬＩＶＥ ＴＯＵＲ ２０ | 2026/9/21(月・祝) ～ 2026/ | 北海道／宮城県／新潟県／香川県
 NEW |  | 上白石萌音 | 2026/10/3(土) | 神奈川県
 NEW |  | 上白石萌音 | 2026/9/20(日) ・ 2026/9/ | 鹿児島県
 NEW |  | GACKT 魔王シンフォニー 2026 -INF | 2026/8/18(火) | 北海道
 NEW |  | Ｇｉｒｌｓ２ | 2026/10/4(日) | 福岡県
 NEW |  | Ｇｉｒｌｓ２ | 2026/10/18(日) | 大阪府
 NEW |  | 吉川晃司 | 2026/8/22(土) ・ 2026/8/ | 鳥取県／広島県
 NEW |  | 木村カエラ | 2026/11/1(日) ・ 2027/2/ | 東京都／広島県
