✅ ヨーヨー・マ id7324 | poco会員限定先行販売【追加公演】（東京 10/28公演）9/16 10:00発売 | 発売9/16:True 公演10/28:True
✅ ヨーヨー・マ id7324 | 一般発売【追加公演】（東京 10/28公演）9/19 10:00発売 | 発売9/19:True 公演10/28:True
✅ サントリーホールの年末年始 id4771 | プリセール（東京 12/24公演）9/15 10:00発売 | 発売9/15:True 公演12/24:True
✅ サントリーホールの年末年始 id4771 | 一般発売（東京 12/24公演）9/18 10:00発売 | 発売9/18:True 公演12/24:True
✅ サントリーホールの年末年始 id4772 | 一般発売（東京 12/25公演）9/18 10:00発売 | 発売9/18:True 公演12/25:True
✅ サントリーホールの年末年始 id4772 | プリセール（東京 12/25公演）9/15 10:00発売 | 発売9/15:True 公演12/25:True
✅ サントリーホールの年末年始 id4850 | 一般発売（東京 12/31公演）9/19 10:00発売 | 発売9/19:True 公演12/31:True
✅ サントリーホールの年末年始 id4850 | プリセール（東京 12/31公演）9/16 10:00発売 | 発売9/16:True 公演12/31:True
✅ サントリーホールの年末年始 id4845 | 一般発売（東京 R9年 1/1公演）9/19 10:00発売 | 発売9/19:True 公演1/1:True
✅ サントリーホールの年末年始 id4845 | 一般発売（東京 R9年 1/2公演）9/19 10:00発売 | 発売9/19:True 公演1/2:True
✅ サントリーホールの年末年始 id4845 | 一般発売（東京 R9年 1/3公演）9/19 10:00発売 | 発売9/19:True 公演1/3:True
✅ サントリーホールの年末年始 id4845 | 一般発売（東京 R9年 1/1公演・他の日程も見る）9/19 10:00発売 | 発売9/19:True 公演1/1:True
✅ サントリーホールの年末年始 id4845 | 一般発売（東京 R9年 1/2公演・他の日程も見る）9/19 10:00発売 | 発売9/19:True 公演1/2:True
✅ サントリーホールの年末年始 id4845 | 一般発売（東京 R9年 1/3公演・他の日程も見る）9/19 10:00発売 | 発売9/19:True 公演1/3:True
✅ サントリーホールの年末年始 id4845 | プリセール（東京 R9年 1/1公演）9/16 10:00発売 | 発売9/16:True 公演1/1:True
✅ サントリーホールの年末年始 id4845 | プリセール（東京 R9年 1/2公演）9/16 10:00発売 | 発売9/16:True 公演1/2:True
✅ サントリーホールの年末年始 id4845 | プリセール（東京 R9年 1/3公演）9/16 10:00発売 | 発売9/16:True 公演1/3:True
✅ 女王蜂 id4802 | 一般発売（北海道 10/11公演）9/19 10:00発売 | 発売9/19:True 公演10/11:True
✅ 女王蜂 id4802 | 一般発売（愛知 10/23公演）9/19 10:00発売 | 発売9/19:True 公演10/23:True
✅ 女王蜂 id4802 | 一般発売（大阪 10/18公演）9/19 10:00発売 | 発売9/19:True 公演10/18:True
✅ 女王蜂 id4802 | 一般発売（東京 10/30公演）9/19 10:00発売 | 発売9/19:True 公演10/30:True
✅ GENERATIONS id3568 | 一般発売（静岡 12/11公演）9/19 10:00発売 | 発売9/19:True 公演12/11:True
✅ GENERATIONS id3568 | 一般発売（静岡 12/11公演）9/19 10:00発売 | 発売9/19:True 公演12/11:True
✅ コーラスライン id4898 | 一般発売（三重 12/2公演）9/19 10:00発売 | 発売9/19:True 公演12/2:True
✅ コーラスライン id4898 | 一般発売（岐阜 12/6公演）9/19 10:00発売 | 発売9/19:True 公演12/6:True
✅ コーラスライン id4898 | 一般発売（愛知 12/8〜12/11公演）9/19 10:00発売 | 発売9/19:True 公演12/8:True
✅ コーラスライン id4898 | 一般発売（愛知 12/13公演）9/19 10:00発売 | 発売9/19:True 公演12/13:True
✅ コーラスライン id4898 | 一般発売（埼玉 11/24公演）9/20 11:00発売 | 発売9/20:True 公演11/24:True
✅ コーラスライン id4898 | 一般発売（京都 12/23〜12/28公演）9/19 10:00発売 〜12/22 23:59 | 発売9/19:True 公演12/23:True
✅ コーラスライン id4898 | 一般発売（大阪 12/30〜R9年 1/5公演）9/19 10:00発売 〜12/30 23:59 | 発売9/19:True 公演12/30:True

取りこぼし 0 ／ 経歴語 なし ／ 導入の禁句 なし ／ 「。」のあと改行なし 0行
