110
大樹生命 Wリーグ	sports	枠28	県10	発売日10-03	大箱:アリーナ・代々木・武道館	id11259,11260,11261,11262,11263,11264,11265,11266,11267,11268,11269,11270,11271,11272
【舞台公演】ワニズなんとか芝居３ 〜４人芝居と５人芝居〜	engeki	枠28	県1	発売日09-28	大箱:-	id16133,16181,16244
プロレスリング・ノア	sports	枠8	県7	発売日09-28	大箱:アリーナ・ドーム・代々木・城ホール・横浜BUNTAI	id3635
わんわんウオーク in 福島	kids	枠17	県1	発売日10-02	大箱:-	id16383
めろめろダメディネロアイドルプロジェクト	idol	枠16	県1	発売日09-30	大箱:-	id13055
パンダドラゴン ツーショット撮影会 SUMMER TOUR	jpop	枠12	県2	発売日09-28	大箱:ドーム	id21174
すっちー／末成映薫／島田一の介	owarai	枠12	県1	発売日09-28,10-03	大箱:-	id19977,19978,19999,20000
福田転球／山内圭哉	owarai	枠12	県2	発売日10-04	大箱:-	id20053,20063,20064,20088,20145,20152,20153,20181,20204,20207,20208,20217
佐野元春&THE COYOTE BAND	jpop	枠5	県3	発売日10-03	大箱:ガーデンシアター・フェスティバルホール・城ホール	id3117,20348
NMB48	owarai	枠10	県1	発売日09-29,09-30,10-04	大箱:-	id18351,18352,18430,18431,22718,22723
ストロベリーソングオーケストラ／乙萌 つば希／役者でない	jpop	枠10	県1	発売日10-04	大箱:-	id16718
SCANDAL	jpop	枠9	県9	発売日10-03	大箱:-	id6284,7031,11068
MeseMoa.	idol	枠7	県7	発売日10-01	大箱:-	id77
SHERBETS	rock	枠7	県7	発売日10-03	大箱:-	id6281,6282,7028,10776,21310
Billyrrom	jpop	枠6	県6	発売日10-03	大箱:-	id8396
Milky Monster ツーショット撮影会 DDハロウィン大メロメロタイム	jpop	枠6	県1	発売日10-01	大箱:-	id21193
ONE ASIA WORLD メダリストセレブレーション	sports	枠6	県1	発売日09-28,09-29,09-30,10-01,10-02,10-03	大箱:-	id10471
