4893	jpop	音楽/J-POP・ROCK	和田唱（TRICERATOPS）	ROOMS	https://t.pia.jp/pia/event/event.do?eventCd=2633160
4894	owarai	演劇/寄席・お笑い	入船亭扇遊・扇辰 新春兄弟会2027	日本橋社会教育会館	https://t.pia.jp/pia/event/event.do?eventCd=2633556
4895	owarai	演劇/寄席・お笑い	桂二葉独演会	キセラ川西プラザ キセラホール	https://t.pia.jp/pia/event/event.do?eventCd=2631691
4898	musical	演劇/ミュージカル・ショー	劇団四季ミュージカル『コーラスライン』／全国ツアー	全国ツアー（ホクト文化ホール 大ホール／レザンホール 大ホール／本多の森北電ホール／フェニックス・プラザ エルピス 大ホール／新川文化ホール 大ホール／富士市文化会館ロゼシアター 大ホール／ひこね市文化プラザ グランドホール／サンシティ越谷市民ホール 大ホール／ウェスタ川越 ヤオコー大ホール）	https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669148
4899	kids	演劇/人形劇・キャラクター	劇団飛行船マスクプレイミュージカル「シンドバッドの大冒険」	全国ツアー（吹田市文化会館（メイシアター） 大ホール／松山市民会館 大ホール）	https://t.pia.jp/pia/event/event.do?eventCd=2632726
4900	owarai	演劇/寄席・お笑い	神戸新開地・喜楽館 10月【昼席】	神戸新開地・喜楽館	https://t.pia.jp/pia/event/event.do?eventCd=2629423
4901	owarai	演劇/寄席・お笑い	<最終販売分>古今亭文菊9月の独演会 文菊of PARADISE	なかの芸能小劇場	https://t.pia.jp/pia/event/event.do?eventCd=2633204
4902	owarai	演劇/寄席・お笑い	笑福亭鶴光と六代目松鶴を知らない若手たち	近鉄アート館	https://t.pia.jp/pia/event/event.do?eventCd=2629297
4903	owarai	演劇/寄席・お笑い	新作紀行1	武蔵野芸能劇場 小劇場	https://t.pia.jp/pia/event/event.do?eventCd=2632011
4904	owarai	演劇/寄席・お笑い	隅田川馬石 11月のコツコツ的毎月連続落語会『子別れ 中・下』他	なかの芸能小劇場	https://t.pia.jp/pia/event/event.do?eventCd=2633553
4905	owarai	演劇/寄席・お笑い	隅田川馬石 12月のコツコツ的毎月連続落語会 『淀五郎』他	なかの芸能小劇場	https://t.pia.jp/pia/event/event.do?eventCd=2633554
4906	classic	演劇/バレエ・ダンス	宝くじ文化公演 キーウ・クラシック・バレエ	ラブリーホール supported by osakajuken 大ホール	https://t.pia.jp/pia/event/event.do?eventCd=2623570
4907	owarai	演劇/寄席・お笑い	第6回 宝井琴鶴・田辺いちか二人会 テーマ「愛」、トーク付き	日本橋社会教育会館	https://t.pia.jp/pia/event/event.do?eventCd=2633557
4908	owarai	演劇/寄席・お笑い	鶴光の会その二十四最終回	月島社会教育会館	https://t.pia.jp/pia/event/event.do?eventCd=2632909
4909	owarai	演劇/寄席・お笑い	完全寄席武蔵2	PIA LIVE STREAM	https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670496
4910	engeki	演劇/演劇	舞台「桶狭間の義経」	全国ツアー（COOL JAPAN PARK OSAKA TTホール／電力ホール／キャナルシティ劇場）	https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669771
4911	owarai	演劇/寄席・お笑い	春風亭一之輔・桂宮治 二人会 -秋の二番勝負-	NHK大阪ホール	https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669976
4912	owarai	演劇/寄席・お笑い	弁論2026	全国ツアー（東京エレクトロンホール宮城／SAWARAPIA 大ホール／ロームシアター京都 メインホール／東京ガーデンシアター）	https://t.pia.jp/pia/event/event.do?eventCd=2623645
4913	owarai	演劇/寄席・お笑い	よしもとお笑いライブ in 市原 2026～市原に人気芸人が大集合!爆笑必至のスペシャルライブ～	市原市市民会館 大ホール	https://t.pia.jp/pia/event/event.do?eventCd=2632239
4914	owarai	演劇/寄席・お笑い	よしもと落語 二人会	LAUGH&PEACE ART GALLERY	https://t.pia.jp/pia/event/event.do?eventCd=2633069
4915	owarai	演劇/寄席・お笑い	よしもと落語 二人会	LAUGH&PEACE ART GALLERY	https://t.pia.jp/pia/event/event.do?eventCd=2633071
4916	owarai	演劇/寄席・お笑い	吉原あさひ・鈴々舎美馬 二人会 お楽しみトーク付き	日本橋社会教育会館	https://t.pia.jp/pia/event/event.do?eventCd=2633555
4917	owarai	演劇/寄席・お笑い	ワタナベお笑いライブ supported by にしたんクリニック	丸ビルホール	https://t.pia.jp/pia/event/event.do?eventCd=2631899
4918	classic	クラシック/吹奏楽	第76回 関西吹奏楽コンクール	全国ツアー（ひこね市文化プラザ グランドホール／堺市民芸術文化ホール（フェニーチェ堺） 大ホール）	https://t.pia.jp/pia/event/event.do?eventCd=2624302
