lg=02 total=1933 pages=194
parsed items: 749 (fetched up to page 195)
already in DB (eventCd一致): 472 | NOT in DB (new candidates): 277
  うち 55件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_02_0101_0914.json
 NEW |  | 碧き海～サイドストーリー～ | 2026/11/7(土) ・ 2026/11 | 山口県
 NEW |  | 『旭川演芸祭２０２６』旭川をみんなで盛り上げよう | 2026/11/8(日) | 北海道
 NEW |  | あっちこっちカンパニ～ | 2026/7/5(日) ・ 2026/9/2 | 宮城県／大阪府／愛媛県
 NEW |  | ＡＴＳＵＫＯ ＯＫＡＴＳＵＫＡ | 2026/11/17(火) | 東京都
 NEW |  | あやかしのこえ－雪解－ | 2026/11/28(土) ・ 2026/1 | 静岡県
 NEW |  | 綾小路きみまろ 爆笑！スーパーライブ2026 | 2026/10/6(火) ・ 2026/10 | 宮崎県
 NEW |  | 綾小路きみまろ 爆笑！！スーパーライブ２０２７ | 2027/1/19(火) ・ 2027/1/ | 兵庫県／岡山県
 NEW |  | アリス・リポル／Ｃｉａ．ＲＥＣ 「Ａｄｏｒｎｏ  | 2026/10/17(土) ・ 2026/1 | 京都府
 NEW |  | ＡＡＲＯＮ ＣＨＥＮ | 2026/10/28(水) | 東京都
 NEW |  | いきいき爆笑寄席 | 2026/11/4(水) | 長崎県
 NEW |  | 石原菜々子、金子仁司／ｋｏｎｄａｂａ 「コンダバ | 2026/10/22(木) ～ 2026/1 | 京都府
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/9/20(日) | 京都府
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/12/17(木) | 神奈川県
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/10/19(月) | 神奈川県
 NEW |  | 第三回 市川團子 新翔 春秋会 | 2026/10/16(金) ・ 2026/1 | 京都府
 NEW |  | 市原佐都子／Ｑ 『キティ』 | 2026/9/26(土) | 福岡県
 NEW |  | 市原佐都子／Ｑ『キティ』 | 2026/10/31(土) ・ 2026/1 | 北海道
 NEW |  | イッセー尾形の右往沙翁劇場２０２６ ｉｎ 札幌 | 2026/9/22(火・祝) ・ 2026/ | 北海道
 NEW |  | イーゴリ・モイセーエフ生誕１２０周年記念モイセー | 2026/10/27(火) ～ 2026/1 | 東京都
 NEW |  | 「water」 | 2026/9/27(日) ～ 2026/10 | 東京都
 NEW |  | 魚沼産夢ひかりミュージカル「ハーメルンの笛吹き」 | 2026/9/21(月・祝) ・ 2026/ | 新潟県
 NEW |  | 梅沢富美男／研ナオコ | 2026/10/19(月) | 佐賀県
 NEW |  | 梅沢富美男劇団 | 2026/10/27(火) ・ 2026/1 | 北海道
 NEW |  | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2026/8/19(水) ～ 2026/9/ | 茨城県／群馬県／千葉県／東京都
 NEW |  | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2026/10/1(木) ・ 2026/10 | 埼玉県／東京都／神奈川県
