lg=02 total=1938 pages=194
parsed items: 751 (fetched up to page 195)
already in DB (eventCd一致): 678 | NOT in DB (new candidates): 73
  うち 35件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_02_0101_0915.json
 NEW |  | ＡＴＳＵＫＯ ＯＫＡＴＳＵＫＡ | 2026/11/17(火) | 東京都
 NEW |  | 綾小路きみまろ 爆笑！スーパーライブ2026 | 2026/10/6(火) ・ 2026/10 | 宮崎県
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/10/19(月) | 神奈川県
 NEW |  | 第三回 市川團子 新翔 春秋会 | 2026/10/16(金) ・ 2026/1 | 京都府
 NEW |  | イッセー尾形の右往沙翁劇場２０２６ ｉｎ 札幌 | 2026/9/22(火・祝) ・ 2026/ | 北海道
 NEW |  | 「water」 | 2026/9/27(日) ～ 2026/10 | 東京都
 NEW |  | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2026/8/19(水) ～ 2026/9/ | 茨城県／群馬県／千葉県／東京都
 NEW |  | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2026/10/1(木) ・ 2026/10 | 埼玉県／東京都／神奈川県
 NEW |  | 越中ホール寄席２０２６＜講談編＞ 神田伯山独演会 | 2026/10/18(日) | 富山県
 NEW |  | 第２９回 大分「万作・萬斎の会」 | 2026/9/26(土) | 大分県
 NEW |  | 第九十六回大手町落語会スペシャル さん喬・権太楼 | 2026/10/24(土) | 東京都
 NEW |  | 大濠公園能楽堂 開館４０周年記念公演 能「道成寺 | 2026/10/11(日) | 福岡県
 NEW |  | 「オトブミ集～絆」の集い | 2026/9/20(日) | 東京都
 NEW |  | おとぼけ四景 | 2026/9/24(木) | 東京都
 NEW |  | 尾上右近自主公演 第十回「研の會」 FINAL | 2026/10/2(金) ・ 2026/10 | 東京都
 NEW |  | 音楽座ミュージカル「カイブツはささやく」 | 2026/10/11(日) ～ 2026/1 | 東京都
 NEW |  | 『蛙昇天』 | 2026/10/24(土) ～ 2026/1 | 神奈川県
 NEW |  | カゲヤマｐｒｅｓｅｎｔｓ １４期大暴れツアーｉｎ | 2026/9/23(水・祝) | 沖縄県
 NEW |  | カズキのタネツアー 2026 S4K | 2026/10/11(日) | 北海道
 NEW |  | 桂こけ枝・風間杜夫 落語二人会 | 2026/9/27(日) | 香川県
 NEW |  | 桂二葉独演会 | 2026/9/23(水・祝) | 東京都
 NEW |  | 桂二葉独演会 | 2026/9/20(日) | 大阪府
 NEW |  | 桂二葉独演会 | 2026/10/1(木) | 神奈川県
 NEW |  | 桂二葉 独演会 | 2026/10/11(日) | 大阪府
 NEW |  | 桂文珍 独演会 ＪＡＰＡＮ ＴＯＵＲ ～一期一笑 | 2026/11/20(金) | 大阪府
