lg=02 total=321 pages=33
parsed items: 252 (fetched up to page 34)
already in DB (eventCd一致): 238 | NOT in DB (new candidates): 14
  うち 6件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_02_0102_0914.json
 NEW | 2026/9/15 | 【当日引換券】『アメリカン・ドリーム』 | 2026/9/17(木) ～ 2026/9/ | 京都府
 NEW | 2026/9/30 | 桂米團治 独演会 | 2027/1/9(土) | 東京都
 NEW | 2026/11/21 | 2026年劇団☆新感線46周年興行・冬公演 いの | 2027/1/21(木) ～ 2027/2/ | 石川県／長野県
 NEW | 2026/9/17 | 三遊亭兼好 ３月の平日昼の独演会 二ツ目ゲストあ | 2027/3/3(水) | 東京都
 NEW | 2026/9/17 | 三遊亭兼好 ２月の平日昼の独演会 二ツ目ゲストあ | 2027/2/16(火) | 東京都
 NEW | 2026/9/26 | 『ジャズ大名』 | 2026/12/19(土) ～ 2026/1 | 神奈川県
 NEW | TODAY | 玉川太福独演会 威風堂々Ｖｏｌ．６ | 2026/9/22(火・祝) | 東京都
 NEW | 2026/9/17 | 第１１回 隅田川わたし 毎月連続落語勉強会 | 2027/1/31(日) | 東京都
 NEW | 2026/9/17 | 第１２回 隅田川わたし 毎月連続落語勉強会 勉強 | 2027/2/20(土) | 東京都
 NEW | 2026/9/15 | 【当日引換券】東京バレエ団「白鳥の湖」 | 2026/9/17(木) | 京都府
 NEW | 2026/9/15 | なみき落語会 令和８年度東区芸術文化祭事業 柳亭 | 2026/12/6(日) | 福岡県
 NEW | 2026/9/19 | 庭劇団ペニノ『埋火(うずみび)』 | 2026/11/12(木) ～ 2026/1 | 神奈川県
 NEW | 2026/9/20 | 舞台「ぼくのドラゴンがごはんを食べない!!」 | 2026/11/5(木) ～ 2026/12 | 東京都／大阪府
 NEW | 2026/10/3 | Bunkamura Production 202 | 2026/11/6(金) ～ 2026/11 | 東京都
