lg=03 total=802 pages=81
parsed items: 604 (fetched up to page 82)
already in DB (eventCd一致): 522 | NOT in DB (new candidates): 82
  うち 22件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_03_0101_0916.json
 NEW |  | 令和８年 秋巡業 大相撲狭山場所 | 2026/10/8(木) | 埼玉県
 NEW |  | アサヒスーパードライ パシフィックネーションズカ | 2026/9/19(土) | 東京都
 NEW |  | 第20回アジア競技大会／カバディ | 2026/9/21(月・祝) ～ 2026/ | 愛知県
 NEW |  | 第20回アジア競技大会／自転車競技(BMXフリー | 2026/9/26(土) ・ 2026/9/ | 愛知県
 NEW |  | 第20回アジア競技大会／スポーツクライミング | 2026/9/29(火) ～ 2026/10 | 愛知県
 NEW |  | 第20回アジア競技大会／体操(体操) | 2026/9/21(月・祝) ～ 2026/ | 愛知県
 NEW |  | 第20回アジア競技大会／卓球 | 2026/9/20(日) ～ 2026/9/ | 愛知県
 NEW |  | 第20回アジア競技大会／テニス | 2026/9/27(日) ～ 2026/10 | 愛知県
 NEW |  | 第20回アジア競技大会／ハンドボール | 2026/9/22(火・祝) ～ 2026/ | 愛知県
 NEW |  | 第20回アジア競技大会／馬術 | 2026/9/21(月・祝) ～ 2026/ | 東京都
 NEW |  | 第20回アジア競技大会／バドミントン | 2026/9/20(日) ～ 2026/9/ | 愛知県
 NEW |  | 第20回アジア競技大会／バレーボール | 2026/9/16(水) ～ 2026/10 | 愛知県
 NEW |  | 第20回アジア競技大会／フェンシング | 2026/9/22(火・祝) ～ 2026/ | 愛知県
 NEW |  | 第20回アジア競技大会／武術太極拳 | 2026/9/20(日) ～ 2026/9/ | 愛知県
 NEW |  | 第20回アジア競技大会／レスリング | 2026/9/30(水) ～ 2026/10 | 愛知県
 NEW |  | 第5回アジアパラ競技大会／車いすテニス | 2026/10/19(月) ～ 2026/1 | 愛知県
 NEW |  | 第5回アジアパラ競技大会／車いすラグビー | 2026/10/20(火) ～ 2026/1 | 愛知県
 NEW |  | ＦＣ今治対湘南ベルマーレ 明治安田Ｊ２リーグ | 2026/9/26(土) | 愛媛県
 NEW |  | APF EXE MACHO MACHO CUP  | 2026/10/3(土) | 大阪府
 NEW |  | 大阪市長杯 2026 世界スーパージュニアテニス | 2026/9/26(土) ～ 2026/9/ | 大阪府
 NEW |  | 大阪プロレス | 2026/10/11(日) | 大阪府
 NEW |  | ＯＺアカデミー女子プロレス | 2026/11/14(土) | 沖縄県
 NEW |  | オリックス・バファローズ対福岡ソフトバンクホーク | 2026/9/25(金) | 大阪府
 NEW |  | ２０２６ ＡＵＴＯＢＡＣＳ ＳＵＰＥＲ ＧＴ Ｒ | 2026/9/19(土) ～ 2026/9/ | 宮城県
 NEW |  | カマタマーレ讃岐対ＦＣ岐阜 明治安田Ｊ３リーグ | 2026/9/26(土) | 香川県
