lg=06 total=874 pages=88
parsed items: 645 (fetched up to page 89)
already in DB (eventCd一致): 593 | NOT in DB (new candidates): 52
  うち 19件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_06_0101_0915.json
 NEW |  | AJINOMOTO 未確認フードコート | 2026/10/3(土) | 東京都
 NEW |  | 石川プレミアム公演 声優トークショー＆オリジナル | 2026/10/18(日) | 石川県
 NEW |  | 今井文也写真集ｃｏｎｃｅｐｔ？再重版記念イベント | 2026/9/26(土) | 東京都
 NEW |  | 映画名探偵プリキュア！ × TOWER RECO | 2026/9/18(金) ～ 2026/9/ | 東京都
 NEW |  | 映画名探偵プリキュア！ × TOWER RECO | 2026/10/3(土) ～ 2026/10 | 東京都
 NEW |  | ＳＭＴＯＷＮ ＲＵＮ ＣＬＵＢ ２６ × ａｕウ | 2026/9/28(月) ～ 2026/10 | 
 NEW |  | 大阪芸術花火2026 | 2026/10/31(土) | 大阪府
 NEW |  | 岡咲美保・関根瞳の２４時のシンデレラ １周年記念 | 2026/10/4(日) | 東京都
 NEW |  | 奥野壮 ２０２７ ＣＡＬＥＮＤＡＲ 発売記念イベ | 2026/12/5(土) | 愛知県
 NEW |  | おしりたんていさん スペシャルおたんじょうびラン | 2026/11/3(火・祝) | 東京都
 NEW |  | カズキのタネツアー 2026 S4K | 2026/10/11(日) | 北海道
 NEW |  | キャシーマムと雅奈恵＆洋輔のＨａｐｐｙ Ａｌｏｈ | 2026/9/27(日) | 山口県
 NEW |  | さかなクントークショー ギョギョッとびっくり！お | 2026/9/26(土) | 岐阜県
 NEW |  | 桜島フェリー乗船券 | 2026/1/1(木・祝) ～ 2026/1 | 
 NEW |  | 『佐々木彩夏の０１００』 ｐｒｅｓｅｎｔｓ ごは | 2026/9/23(水・祝) | 東京都
 NEW |  | 島田秀平×三上丈晴編集長 ｗｉｔｈ 丸山ゴンザレ | 2026/9/20(日) | 青森県
 NEW |  | siruko Fan Meeting Tour  | 2026/11/23(月・祝) | 北海道
 NEW |  | 城陽秋花火 2026 | 2026/10/4(日) | 京都府
 NEW |  | ＧＭＭＴＶ ＦＡＮＤＡＹ ３３ ＩＮ ＯＳＡＫＡ | 2026/9/19(土) | 大阪府
 NEW |  | ストーリーを追体験する探索型ミステリーイベント「 | 2026/10/30(金) ・ 2026/1 | 東京都
 NEW |  | スピルバーグ監督ディスクロージャーデイ三上丈晴× | 2026/10/17(土) | 沖縄県
 NEW |  | 関根勤チャンネル トークライブ２０２６ ～ある意 | 2026/9/26(土) ・ 2026/9/ | 東京都
 NEW |  | Ｓｏｋａ Ｃｉｔｙ Ｐｒｅｍｉｕｍ Ｎｉｇｈｔ  | 2026/9/21(月・祝) | 埼玉県
 NEW |  | 筑後ＳＡＫＥフェスタ２０２６ | 2026/10/10(土) ～ 2026/1 | 福岡県
 NEW |  | 2026 JISUNG FANMEETING I | 2026/9/19(土) | 大阪府
