lg=07 total=2009 pages=201
parsed items: 837 (fetched up to page 202)
already in DB (eventCd一致): 760 | NOT in DB (new candidates): 77
  うち 36件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_07_0101_0916.json
 NEW |  | 葵トリオ | 2026/12/7(月) | 東京都
 NEW |  | アレキサンダーホルンアンサンブルジャパン第１３回 | 2026/10/5(月) | 東京都
 NEW |  | アレクサンダー・ガヴリリュク ピアノ・リサイタル | 2026/11/24(火) | 東京都
 NEW |  | 五十嵐紅｜ギターと静寂『秋』 | 2026/9/17(木) | 山形県
 NEW |  | 五十嵐紅｜ギターと静寂『クリスマス』 | 2026/12/7(月) | 千葉県
 NEW |  | 五十嵐紅｜ギターと静寂「クリスマスと映画音楽」（ | 2026/12/17(木) | 京都府
 NEW |  | 五十嵐紅｜ギターと静寂 特別公演『バロック』 | 2026/10/1(木) | 埼玉県
 NEW |  | 五十嵐紅｜ギターと静寂 特別公演『星と祈り』 | 2026/11/5(木) | 滋賀県
 NEW |  | 五十嵐紅トリオ｜クリスマス 2026 | 2026/12/2(水) | 東京都
 NEW |  | イシダとマツダ vol.2 | 2026/11/30(月) | 東京都
 NEW |  | 石田泰尚音模様 | 2026/11/24(火) | 京都府
 NEW |  | 石田泰尚（ｖｌ）／角田鋼亮（指揮）／神奈川フィル | 2026/11/11(水) | 神奈川県
 NEW |  | 石田泰尚（ｖｌ）／務川慧悟（ｐ） | 2026/10/4(日) | 山形県
 NEW |  | 石田泰尚＆渡辺雄一 デュオ・リサイタル | 2026/10/21(水) | 埼玉県
 NEW |  | 伊藤悠貴＆福間洸太朗 デュオ・リサイタル | 2026/10/1(木) | 東京都
 NEW |  | 上野耕平・住谷美帆サクソフォンデュオ・リサイタル | 2026/10/18(日) | 福島県
 NEW |  | 上野通明（ｖｃ） | 2026/11/28(土) | 京都府
 NEW |  | 牛田智大室内楽プロジェクト Vol.4 若き日の | 2026/11/18(水) | 東京都
 NEW |  | 宇宙戦艦ヤマト祭り≪YAMATO ＆ VILLA | 2026/10/3(土) | 神奈川県
 NEW |  | NHK音楽祭2026 | 2026/9/27(日) ・ 2026/11 | 東京都
 NEW |  | NHK交響楽団 第2072回 定期公演Aプログラ | 2026/10/17(土) ・ 2026/1 | 東京都
 NEW |  | NHK交響楽団 第2074回 定期公演Aプログラ | 2026/11/7(土) ・ 2026/11 | 東京都
 NEW |  | NHK交響楽団 第2071回 定期公演Cプログラ | 2026/9/25(金) ・ 2026/9/ | 東京都
 NEW |  | NHK交響楽団 第2073回 定期公演Cプログラ | 2026/10/23(金) ・ 2026/1 | 東京都
 NEW |  | NHK交響楽団 第2075回 定期公演Cプログラ | 2026/11/13(金) ・ 2026/1 | 東京都
