lg=07 total=273 pages=28
parsed items: 250 (fetched up to page 29)
already in DB (eventCd一致): 233 | NOT in DB (new candidates): 17
  うち 9件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_07_0102_0914.json
 NEW | TODAY | 足利真貴×古田友哉ＣＯＵＮＴＥＲＰＯＩＮＴことば | 2026/12/28(月) | 岐阜県
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | TODAY | 上野優子リサイタル「プロコフィエフ・ソナタ全曲シ | 2027/4/29(木・祝) | 東京都
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | 2026/9/19 | 大阪桐蔭高等学校吹奏楽部 高梁市特別公演２０２６ | 2026/11/15(日) | 岡山県
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | 2026/9/18 | サントリーホール クリスマスコンサート 2026 | 2026/12/24(木) | 東京都
 NEW | 2026/10/4 | 高木凜々子（ｖｌ） | 2027/2/11(木・祝) | 神奈川県
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | 2026/9/26 | 西村由紀江（ｐ） | 2026/12/12(土) | 新潟県
 NEW | TODAY | 原田奏子ピアノリサイタル | 2027/3/20(土) | 大阪府
 NEW | 2026/9/15 | 横浜交響楽団第７５０回定期演奏会 | 2026/11/4(水) | 神奈川県
 NEW | 2026/10/11 | 読響名曲シリーズ | 2027/1/28(木) | 東京都
 NEW | 2026/10/11 | 読響横浜マチネーシリーズ | 2027/1/30(土) | 神奈川県
