=== 発売前スイープ 新規候補 95件 (today=2026-08-02 / 発売まで4日以上を先頭) ===
  1 | アート | 発売2026/8/31(あと29日) | 『時をかける少女』２０周年記念 細田守の原点/展 大阪会場 | 2026/10/28(水) ～ 2027/1/4(月) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2626362
  2 | 演劇 | 発売2026/8/30(あと28日) | 爆生！！お笑い ｉｎ 那須塩原 | 2026/11/22(日) | 栃木県 | https://ticket.pia.jp/pia/event.do?eventCd=2626367
  3 | クラシック | 発売2026/8/30(あと28日) | ターリストリオ | 2026/11/3(火・祝) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2623064
  4 | 映画 | 発売2026/8/29(あと27日) | 宝塚歌劇 宙組東京宝塚劇場公演『黒蜥蜴』『Diamond IMPULSE(ダイヤモンド インパルス)』千秋楽 ライブ中継 | 2026/9/6(日) | 北海道／青森県／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県／新潟県／富山県／石川県／福井県／山梨県／長野県／岐阜県／静岡県／愛知県／滋賀県／京都府／大阪府／兵庫県／奈良県／和歌山県／鳥取県／島根県／岡山県／広島県／山口県／香川県／愛媛県／高知県／福岡県／長崎県／熊本県／大分県／宮崎県／沖縄県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669823
  5 | イベント | 発売2026/8/29(あと27日) | アイ工務店 ｐｒｅｓｅｎｔｓ ふわふわアドベンチャーツアー ハロウィンパーティー ｉｎ 函館サーモン・まるなまアリーナ | 2026/10/31(土) ～ 2026/11/1(日) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2622795
  6 | アート | 発売2026/8/25(あと23日) | 竹久夢二 時代を創る表現者 | 2026/10/23(金) ～ 2027/1/11(月・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2622511
  7 | 音楽 | 発売2026/8/22(あと20日) | 白鳥英美子 | 2026/10/3(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670103
  8 | クラシック | 発売2026/8/20(あと18日) | ０歳からのコンサート～うたって！あそんで！はじめての音楽会！～ | 2026/11/7(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2628113
  9 | クラシック | 発売2026/8/20(あと18日) | フェリス・フラウエンコーアが歌う珠玉の名曲 | 2026/11/7(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2628114
 10 | 映画 | 発売2026/8/18(あと16日) | 映画「国宝」 特別上映ｉｎ御園座 | 2026/9/22(火・祝) ・ 2026/9/23(水・祝) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2626145
 11 | 映画 | 発売2026/8/18(あと16日) | 『スクライド』２５周年記念上映会 | 2026/8/22(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2629626
 12 | イベント | 発売2026/8/18(あと16日) | 新浜レオン ディナーショー | 2026/10/18(日) | 千葉県 | https://ticket.pia.jp/pia/event.do?eventCd=2630402
 13 | アート | 発売2026/8/16(あと14日) | 所蔵企画展 画家とモデル | 2026/10/6(火) ～ 2026/12/20(日) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2618924
 14 | 演劇 | 発売2026/8/15(あと13日) | さやかミニ落語会 ２０２６年度全６回シリーズ （第４回～第６回分）／＜セット券＞ | 2026/10/3(土) ～ 2027/2/27(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2623659
