=== 発売前スイープ 新規候補 135件 (today=2026-08-26 / 発売まで4日以上を先頭) ===
  1 | 音楽 | 発売2026/9/1(あと6日) | きたまえ↑２０２６ | 2026/12/25(金) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2627772
  2 | 音楽 | 発売2026/9/1(あと6日) | Ｔｈｅ Ｓｏｎｓ ｏｆ Ｅｖｅ／Ｄ！ＦＵＮＫ Ｌ．Ｏ．Ｕ．Ｄ．Ｒａｉｌｗａｙｓ | 2027/4/17(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2629793
  3 | 演劇 | 発売2026/9/1(あと6日) | 大須演芸場 １０月定席寄席 | 2026/10/1(木) ～ 2026/10/7(水) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2630903
  4 | 演劇 | 発売2026/9/1(あと6日) | 第６回 日立システムズホール仙台 パフォーマンスフェスティバル | 2026/11/28(土) | 宮城県 | https://ticket.pia.jp/pia/event.do?eventCd=2623453
  5 | 映画 | 発売2026/9/1(あと6日) | 東大阪映画劇場『ＴＯＫＹＯタクシー』 | 2026/11/18(水) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2625125
  6 | イベント | 発売2026/9/1(あと6日) | 野原川 しいたけ食べ放題 | 2026/9/1(火) ～ 2026/11/30(月) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2612139
  7 | クラシック | 発売2026/9/1(あと6日) | 東京オラトリエンコール | 2026/11/29(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628864
  8 | アート | 発売2026/8/31(あと5日) | 『時をかける少女』２０周年記念 細田守の原点/展 大阪会場 | 2026/10/28(水) ～ 2027/1/4(月) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2626362
  9 | 演劇 | 発売2026/8/30(あと4日) | 爆生！！お笑い ｉｎ 那須塩原 | 2026/11/22(日) | 栃木県 | https://ticket.pia.jp/pia/event.do?eventCd=2626367
 10 | クラシック | 発売2026/8/30(あと4日) | ターリストリオ | 2026/11/3(火・祝) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2623064
 11 | 音楽 | 発売不明(-) | オカヤマストリートフェスティバル２０２６ | 2026/11/15(日) | 岡山県 | https://ticket.pia.jp/pia/event.do?eventCd=2629580
 12 | 音楽 | 発売不明(-) | 小曽根真（ｐ） | 2026/10/8(木) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2623831
 13 | 音楽 | 発売不明(-) | Ovall | 2026/10/29(木) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668439
 14 | 音楽 | 発売不明(-) | 菊池桃子 | 2026/9/21(月・祝) ・ 2026/9/22(火・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2628737
 15 | 音楽 | 発売不明(-) | 北岡ひろしスペシャルライブ | 2026/9/5(土) | 京都府 | https://ticket.pia.jp/pia/event.do?eventCd=2630749
 16 | 音楽 | 発売不明(-) | ＧＬＡＹ | 2026/12/5(土) | 新潟県 | https://ticket.pia.jp/pia/event.do?eventCd=2627147
 17 | 音楽 | 発売不明(-) | ＧＬＡＹ | 2026/12/13(日) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2627654
 18 | 音楽 | 発売不明(-) | ＧＬＡＹ | 2026/12/19(土) ・ 2026/12/20(日) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2627037
 19 | 音楽 | 発売不明(-) | ＧＬＡＹ | 2027/1/30(土) ・ 2027/1/31(日) | 広島県 | https://ticket.pia.jp/pia/event.do?eventCd=2627636
 20 | 音楽 | 発売不明(-) | 駒田早代 津軽三味線ライブ ｉｎ 祇園ＪＴＮ | 2026/10/3(土) | 京都府 | https://ticket.pia.jp/pia/event.do?eventCd=2630678
 21 | 音楽 | 発売不明(-) | 坂田佳子ＬＩＶＥ | 2026/10/2(金) | 京都府 | https://ticket.pia.jp/pia/event.do?eventCd=2630677
 22 | 音楽 | 発売不明(-) | Stray Kids | 2026/8/29(土) ～ 2026/10/24(土) | 東京都／愛知県／大阪府／福岡県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670074
 23 | 音楽 | 発売不明(-) | スピラ・スピカ | 2026/10/31(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2625367
 24 | 音楽 | 発売不明(-) | チェ・ユリ | 2026/8/30(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630277
 25 | 音楽 | 発売不明(-) | NOISEMAKER | 2026/11/20(金) | 香川県 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2669607
 26 | 音楽 | 発売不明(-) | ｈｉｄｅ ｗｉｔｈ Ｓｐｒｅａｄ Ｂｅａｖｅｒ | 2026/10/2(金) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2630046
 27 | 音楽 | 発売不明(-) | 三波春夫没後２５年特別企画 | 2026/11/24(火) | 福井県 | https://ticket.pia.jp/pia/event.do?eventCd=2627933
 28 | 演劇 | 発売不明(-) | 浮世亭三吾追悼公演 | 2026/10/11(日) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2629140
 29 | 演劇 | 発売不明(-) | 京都文博 噺の会 Ｖｏｌ．３４ 笑福亭たま 独演会 | 2026/12/12(土) | 京都府 | https://ticket.pia.jp/pia/event.do?eventCd=2613031
 30 | 演劇 | 発売不明(-) | Ｓｈｉｎｏｈａｒｕ Ｅｎｇｌｉｓｈ Ｒａｋｕｇｏ １９ | 2026/12/1(火) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630694
 31 | 演劇 | 発売不明(-) | 第２６１回／第２６２回道新寄席 落語教育委員会 | 2026/11/25(水) ・ 2026/11/26(木) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2630066
 32 | 演劇 | 発売不明(-) | 無伴奏ソナタ -The Musical- | 2026/8/8(土) ・ 2026/8/9(日) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2666781
 33 | スポーツ | 発売不明(-) | 第74回 全日本実業団対抗陸上競技選手権大会 | 2026/9/11(金) ・ 2026/9/12(土) ・ 2026/9/13(日) | 京都府 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670163
 34 | スポーツ | 発売不明(-) | 全日本プロレス＜新木場大会＞ | 2026/9/16(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630707
 35 | スポーツ | 発売不明(-) | 全日本プロレス＜新木場大会＞ | 2026/9/17(木) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630708
 36 | スポーツ | 発売不明(-) | ２０２６ＭＦＪ全日本トライアル選手権 第５戦 広島・三次灰塚大会 | 2026/9/13(日) | 広島県 | https://ticket.pia.jp/pia/event.do?eventCd=2629216
 37 | スポーツ | 発売不明(-) | 北海道コンサドーレ札幌対大分トリニータ ■■■車いす・シニア・手帳割引・Ｕ－２３他 | 2026/9/19(土) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2626913
 38 | スポーツ | 発売不明(-) | 北海道コンサドーレ札幌対大分トリニータ 明治安田Ｊ２リーグ | 2026/9/19(土) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2626908
 39 | スポーツ | 発売不明(-) | 北海道コンサドーレ札幌対大分トリニータ 明治安田Ｊ２リーグ 大和ハウス プレミストドーム 駐車券 | 2026/9/19(土) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2629184
 40 | スポーツ | 発売不明(-) | 北海道コンサドーレ札幌対栃木シティ ■■■車いす・シニア・手帳割引・Ｕ－２３他 | 2026/9/6(日) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2626910
 41 | スポーツ | 発売不明(-) | 北海道コンサドーレ札幌対栃木シティ 明治安田Ｊ２リーグ | 2026/9/6(日) | 北海道 | https://ticket.pia.jp/pia/event.do?eventCd=2626742
 42 | 映画 | 発売不明(-) | わたしは、ダニエル・ブレイク | 2026/11/7(土) | 神奈川県 | https://ticket.pia.jp/pia/event.do?eventCd=2627138
 43 | イベント | 発売不明(-) | 瀬戸利樹 写真集 『３０／３０～いま～』発売記念イベント | 2026/9/13(日) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2630003
 44 | イベント | 発売不明(-) | 「即動力」 田村淳 講演会 ｂｙ岡山青年会議所 | 2026/10/22(木) | 岡山県 | https://ticket.pia.jp/pia/event.do?eventCd=2630419
 45 | イベント | 発売不明(-) | 山田邦子＆杉村太蔵と学ぶ！めちゃくちゃイケてるお金の増やし方！ | 2026/10/25(日) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2630794
 46 | クラシック | 発売不明(-) | 奥野由紀子コンサート | 2026/11/23(月・祝) | 京都府 | https://ticket.pia.jp/pia/event.do?eventCd=2630680
