=== reconcile_pia (today=2026-07-19) 対象14件 ===

✅ id=944 マセキ芸人コレクション in 長野 | 登録1=ぴあ1 一致
✅ id=1087 マセキ芸人コレクション | 登録1=ぴあ1 一致
✅ id=1379 アレクサンドル・カントロフ（p） | 登録1=ぴあ1 一致
✅ id=1716 アレクサンドル・カントロフ ピアノ・リサイタル  | 登録1=ぴあ1 一致
✅ id=1962 現田茂夫（指揮）／森麻季（S）／東京交響楽団 ク | 登録1=ぴあ1 一致
✅ id=1963 小山実稚恵（p）／下野竜也（指揮）／東京交響楽団 | 登録1=ぴあ1 一致
✅ id=2112 笹沼樹（vc）／秋田勇魚（g） | 登録1=ぴあ1 一致
✅ id=2349 現田茂夫(指揮)／森麻季(ソプラノ)／東京交響楽 | 登録1=ぴあ1 一致
✅ id=2350 小山実稚恵&下野竜也指揮 東京交響楽団ニューイヤ | 登録1=ぴあ1 一致
✅ id=2451 成田達輝（vl）／福間洸太朗（p）／伊藤悠貴（v | 登録2=ぴあ2 一致
✅ id=2509 笹沼 樹×秋田勇魚 アンサンブル | 登録1=ぴあ1 一致
✅ id=2620 住谷美帆（sax） | 登録2=ぴあ2 一致
✅ id=2692 住谷美帆 デビュー10周年記念 サクソフォン・リ | 登録2=ぴあ2 一致
✅ id=2788 成田達輝&福間洸太朗&伊藤悠貴 《British | 登録2=ぴあ2 一致

=== 集計: OK 14 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 ===
