=== reconcile_pia (today=2026-08-02) 対象46件 ===

✅ id=3572 奥野真哉 | 登録1=ぴあ1 一致
✅ id=3573 横須賀芸術劇場リニューアル記念 YOKOSUKA | 登録2=ぴあ2 一致
✅ id=3574 The Dead of Night CitY | 登録1=ぴあ1 一致
✅ id=3575 谷山浩子 | 登録1=ぴあ1 一致
✅ id=3576 舞太鼓あすか組 | 登録1=ぴあ1 一致
✅ id=3577 ロックロックこんにちは!ver.28 ～にゃーロ | 登録2=ぴあ2 一致
✅ id=3578 Electone Concert Music i | 登録1=ぴあ1 一致
✅ id=3579 ～沖縄の夜に迷い込む～ シマウタメイロ（大阪） | 登録1=ぴあ1 一致
✅ id=3580 RAY ONE-MAN SHOW「#MOD_GR | 登録2=ぴあ2 一致
✅ id=3581 假屋崎省吾×三木康子-花とピアノのコンチェルト- | 登録1=ぴあ1 一致
✅ id=3582 水瀬いのり | 登録3=ぴあ3 一致
✅ id=3583 木村徹二コンサート2026 | 登録2=ぴあ2 一致
✅ id=3584 劇団岸野組 | 登録1=ぴあ1 一致
✅ id=3585 新国立劇場の演劇 上村聡史演劇芸術監督シーズン開 | 登録1=ぴあ1 一致
✅ id=3586 新国立劇場の演劇「巨匠とマルガリータ」 | 登録2=ぴあ2 一致
✅ id=3587 宝塚歌劇宙組 全国ツアー公演 ミュージカル・プレ | 登録1=ぴあ1 一致
✅ id=3588 土田英生 作・演出 新作朗読劇『洛中洛外に綿がふ | 登録1=ぴあ1 一致
✅ id=3590 舞台『スクラップ アンド コーラス』 -君が灯し | 登録2=ぴあ2 一致
✅ id=3591 MANSAI FANTASY BOX 野村萬斎& | 登録1=ぴあ1 一致
✅ id=3592 2026伝承ホール寺子屋 「渋谷金王丸伝説」&歌 | 登録2=ぴあ2 一致
✅ id=3593 年忘れ 春風亭小朝とナイツのおもしろ寄席 | 登録1=ぴあ1 一致
✅ id=3594 真一文字の会 ～春風亭一之輔勉強会～ | 登録1=ぴあ1 一致
✅ id=3595 はらぺこあおむしショー | 登録1=ぴあ1 一致
✅ id=3596 兵庫県立ピッコロ劇団第86回公演 「カフェ・リバ | 登録1=ぴあ1 一致
✅ id=3597 柳亭こみち落語ときどき唄・踊り「掛取万歳」の巻 | 登録1=ぴあ1 一致
✅ id=3598 石見神楽松阪上演会 | 登録1=ぴあ1 一致
✅ id=3599 歌舞伎座 秀山祭九月大歌舞伎 | 登録1=ぴあ1 一致
✅ id=3600 「桂小春團治独演会」 | 登録1=ぴあ1 一致
✅ id=3601 第23回あんこ椿は一の花 | 登録1=ぴあ1 一致
✅ id=3602 名取事務所公演『追熟しない果実』 | 登録1=ぴあ1 一致
✅ id=3603 よしもとお笑いライブin大津2026～秋晴れに笑 | 登録2=ぴあ2 一致
✅ id=3604 吉本新喜劇&バラエティーショー in 周南 | 登録1=ぴあ1 一致
✅ id=3605 『connexion -芥川龍之介「蜘蛛の糸」よ | 登録1=ぴあ1 一致
✅ id=3606 初秋の落語会 春風亭一之輔・三遊亭萬橘・桂宮治 | 登録1=ぴあ1 一致
✅ id=3607 ソーゾーシーTOUR2026 仙台公演 | 登録1=ぴあ1 一致
✅ id=3609 N響オーチャード定期2026／2027 東横シリ | 登録1=ぴあ1 一致
✅ id=3610 仙台フィルハーモニー管弦楽団 | 登録1=ぴあ1 一致
✅ id=3611 リリア第九演奏会 | 登録1=ぴあ1 一致
✅ id=3612 新進演奏家育成プロジェクト リサイタル・シリーズ | 登録1=ぴあ1 一致
✅ id=3613 国際ハープフェスティバル2026-草加市 | 登録1=ぴあ1 一致
✅ id=3616 市制110周年記念 親子コンサートvol.19  | 登録1=ぴあ1 一致
✅ id=3617 ジャン・チャクムル（p）／コルクマズ・ジャン・サ | 登録1=ぴあ1 一致
✅ id=3618 前橋汀子 ヴィヴァルディ「四季」&珠玉の名曲集 | 登録1=ぴあ1 一致
✅ id=3619 上村文乃チェロ・リサイタル | 登録1=ぴあ1 一致
✅ id=3620 新宿フィルハーモニー管弦楽団 第94回定期演奏会 | 登録1=ぴあ1 一致
✅ id=3621 天野薫（p） | 登録2=ぴあ2 一致

=== 集計: OK 46 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 57/57 ===
