=== reconcile_pia (today=2026-08-04) 対象43件 ===

✅ id=3672 メ～テレ×サンライズワールド ロボットアニメ上映 | 登録1=ぴあ1 一致
✅ id=3673 金沢おいも万博2026 | 登録1=ぴあ1 一致
✅ id=3674 シルク・ドゥ・ソレイユ アース製薬 クーザ 東京 | 登録7=ぴあ7 一致
✅ id=3675 ジャパンレプタイルズショー2026 in 東京  | 登録2=ぴあ2 一致
✅ id=3676 【福岡】ナゾトキ街歩きゲーム『福岡謎解き街歩き  | 登録6=ぴあ6 一致
✅ id=3677 アンセットシス | 登録1=ぴあ1 一致
✅ id=3678 親子のためのクラシックコンサート 音楽の絵本～ダ | 登録1=ぴあ1 一致
✅ id=3679 気軽にクラシック | 登録1=ぴあ1 一致
✅ id=3680 室内管弦楽団『辯天』 第31回演奏会 | 登録1=ぴあ1 一致
✅ id=3681 広島ウインドオーケストラ | 登録1=ぴあ1 一致
✅ id=3682 東レ パン パシフィック オープンテニストーナメ | 登録3=ぴあ3 一致
✅ id=3683 『超かぐや姫!』ムビチケカード型前売り券 | 登録1=ぴあ1 一致
✅ id=3684 わたしたちのルノワール 日本が愛した、幸せの画家 | 登録3=ぴあ3 一致
✅ id=3685 秋酒祭 愛知～AUTUMN SAKE FEST  | 登録1=ぴあ1 一致
✅ id=3686 メトロ怪談×北野誠の茶屋町怪談in緑木車両工場 | 登録2=ぴあ2 一致
✅ id=3687 第12回みなと第九を歌う会演奏会 | 登録1=ぴあ1 一致
✅ id=3688 オカヤマストリートフェスティバル2026 | 登録1=ぴあ1 一致
✅ id=3690 Ovall | 登録2=ぴあ2 一致
✅ id=3691 菊池桃子 | 登録1=ぴあ1 一致
✅ id=3692 北岡ひろしスペシャルライブ | 登録1=ぴあ1 一致
✅ id=3693 GLAY | 登録4=ぴあ4 一致
✅ id=3694 駒田早代 津軽三味線ライブ in 祇園JTN | 登録1=ぴあ1 一致
✅ id=3695 坂田佳子LIVE | 登録1=ぴあ1 一致
✅ id=3696 Stray Kids | 登録2=ぴあ2 一致
✅ id=3697 スピラ・スピカ | 登録1=ぴあ1 一致
✅ id=3698 チェ・ユリ | 登録1=ぴあ1 一致
✅ id=3699 NOISEMAKER | 登録2=ぴあ2 一致
✅ id=3700 hide with Spread Beaver | 登録1=ぴあ1 一致
✅ id=3701 三波春夫没後25年特別企画 | 登録1=ぴあ1 一致
✅ id=3702 浮世亭三吾追悼公演 | 登録1=ぴあ1 一致
✅ id=3703 京都文博 噺の会 Vol.34 笑福亭たま 独演 | 登録2=ぴあ2 一致
✅ id=3704 Shinoharu English Rakugo | 登録1=ぴあ1 一致
✅ id=3705 第261回／第262回道新寄席 落語教育委員会 | 登録1=ぴあ1 一致
✅ id=3706 無伴奏ソナタ -The Musical- | 登録1=ぴあ1 一致
✅ id=3707 第74回 全日本実業団対抗陸上競技選手権大会 | 登録1=ぴあ1 一致
✅ id=3708 全日本プロレス<新木場大会> | 登録2=ぴあ2 一致
✅ id=3709 2026MFJ全日本トライアル選手権 第5戦 広 | 登録1=ぴあ1 一致
✅ id=3710 北海道コンサドーレ札幌対大分トリニータ | 登録3=ぴあ3 一致
✅ id=3711 北海道コンサドーレ札幌対栃木シティ | 登録2=ぴあ2 一致
✅ id=3712 わたしは、ダニエル・ブレイク | 登録1=ぴあ1 一致
✅ id=3713 瀬戸利樹 写真集 『30／30～いま～』発売記念 | 登録1=ぴあ1 一致
✅ id=3714 「即動力」 田村淳 講演会 by岡山青年会議所 | 登録1=ぴあ1 一致
✅ id=3715 山田邦子&杉村太蔵と学ぶ!めちゃくちゃイケてるお | 登録1=ぴあ1 一致

=== 集計: OK 43 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 56/71 / 未照合 skip15(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
