=== reconcile_pia (today=2026-09-02) 対象241件 ===

✅ id=6270 ASA-CHANG エマーソン北村 | 登録1=ぴあ1 一致
✅ id=6271 A Hundred Birds Orchestr | 登録1=ぴあ1 一致
✅ id=6272 アルカスジャズカフェ Marty Holoube | 登録1=ぴあ1 一致
✅ id=6273 石川県立音楽堂開館25周年記念 和洋コラボレーシ | 登録1=ぴあ1 一致
✅ id=6275 Xmasファミリー☆コンサート クリスマスのおく | 登録1=ぴあ1 一致
✅ id=6276 原始神母 | 登録1=ぴあ1 一致
✅ id=6277 錯乱前戦 | 登録2=ぴあ2 一致
✅ id=6278 佐々木亮介 | 登録1=ぴあ1 一致
✅ id=6279 THE GELUGUGU | 登録1=ぴあ1 一致
✅ id=6280 塩谷哲 | 登録1=ぴあ1 一致
✅ id=6281 SHERBETS | 登録1=ぴあ1 一致
✅ id=6282 SHERBETS | 登録1=ぴあ1 一致
✅ id=6283 JSC presents 「 TEPPEN 」  | 登録1=ぴあ1 一致
✅ id=6284 SCANDAL | 登録1=ぴあ1 一致
💤 id=6285 SCANDAL | 登録3枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2635169
    💤STALE 登録「一般発売（群馬 R9年 3/7公演）1/9 10:00発売」(2027-01-09) がぴあの買える枠に無い
    💤STALE 登録「一般発売（栃木 R9年 3/13公演）1/9 10:00発売」(2027-01-09) がぴあの買える枠に無い
    💤STALE 登録「一般発売（山梨 R9年 3/27公演）1/9 10:00発売」(2027-01-09) がぴあの買える枠に無い
✅ id=6286 SCANDAL | 登録3=ぴあ3 一致
✅ id=6289 所さんのフェス～用事ないなら、みんな来てよLIV | 登録2=ぴあ2 一致
✅ id=6291 パソコン音楽クラブ | 登録1=ぴあ1 一致
✅ id=6292 Bigfumi | 登録2=ぴあ2 一致
✅ id=6293 MISIA | 登録2=ぴあ2 一致
✅ id=6294 MORRIE／木暮“shake”武彦 | 登録1=ぴあ1 一致
✅ id=6296 ガールズバンドクライ Special LIVE“ | 登録1=ぴあ1 一致
✅ id=6297 ROCKY | 登録1=ぴあ1 一致
✅ id=6298 秋空に響く!よしもとお笑いライブinいたみ 20 | 登録2=ぴあ2 一致
✅ id=6299 いちはな春日亭～春風亭一花独演会 vol.1～ | 登録1=ぴあ1 一致
✅ id=6300 梅棒 22nd dish『eat Beat』 | 登録1=ぴあ1 一致
✅ id=6301 越中ホール寄席2026 林家たい平独演会 | 登録1=ぴあ1 一致
✅ id=6302 桂二葉 高崎落語会 | 登録1=ぴあ1 一致
✅ id=6305 川畑泰史・小野坂昌也presentsボイコメ!～ | 登録1=ぴあ1 一致
✅ id=6307 寛平GMプロデュース公演『新喜劇出前ツアー202 | 登録2=ぴあ2 一致
✅ id=6308 新春ナイター寄席 | 登録1=ぴあ1 一致
✅ id=6309 すみだ落語会関連企画 すみだ落語会後夜祭「若手演 | 登録1=ぴあ1 一致
✅ id=6310 すみだ落語会関連企画 落語レクチャー「今さら聞け | 登録1=ぴあ1 一致
✅ id=6311 高野辰之生誕150周年記念事業 「～落語っておも | 登録1=ぴあ1 一致
✅ id=6312 繋いだ手と手 カナメストーン一家 VS 金魚番長 | 登録1=ぴあ1 一致
✅ id=6313 ななまがり漫才単独公演 ななまんざい 第五回 | 登録1=ぴあ1 一致
✅ id=6314 ブロードウェイ クリスマス・ワンダーランド202 | 登録1=ぴあ1 一致
