=== reconcile_pia (today=2026-09-02) 対象103件 ===

✅ id=6070 一路真輝 クリスマススペシャル2026 with | 登録1=ぴあ1 一致
✅ id=6071 【1回目】ブレーメンの音楽隊がやってくる! | 登録1=ぴあ1 一致
✅ id=6072 井上芳雄 | 登録1=ぴあ1 一致
✅ id=6073 大熊和奏 | 登録2=ぴあ2 一致
✅ id=6074 開館3周年記念 RINA Trio スペシャル・ | 登録1=ぴあ1 一致
✅ id=6075 真田ナオキ／田中あいみ | 登録1=ぴあ1 一致
✅ id=6076 サンタラ | 登録1=ぴあ1 一致
✅ id=6077 THE COLLECTORS | 登録2=ぴあ2 一致
✅ id=6078 XANVALA | 登録2=ぴあ2 一致
✅ id=6079 SHELTER 35th Anniversary | 登録1=ぴあ1 一致
✅ id=6080 灼熱のマンボVS輝けるスイング! 東京キューバン | 登録1=ぴあ1 一致
✅ id=6081 神聖かまってちゃん | 登録1=ぴあ1 一致
✅ id=6082 THE ALFEE | 登録1=ぴあ1 一致
✅ id=6083 jammin’ Zeb | 登録1=ぴあ1 一致
✅ id=6084 ジョン・ウィリアムズ:シネマ・スペクタキュラー・ | 登録2=ぴあ2 一致
✅ id=6085 センチメンタル・シティ・ロマンス | 登録1=ぴあ1 一致
✅ id=6086 田川の土佐犬追悼 アコースティックLIVE | 登録1=ぴあ1 一致
✅ id=6087 橘花怜〈いぎなり東北産〉 | 登録1=ぴあ1 一致
✅ id=6088 たなかりかクリスマス・ジャズ・コンサート 202 | 登録1=ぴあ1 一致
✅ id=6089 たまたま東京で会った3人でライブやります | 登録2=ぴあ2 一致
✅ id=6090 中島愛 | 登録1=ぴあ1 一致
✅ id=6091 【2回目】ブレーメンの音楽隊がやってくる! | 登録1=ぴあ1 一致
✅ id=6092 ポルトガル ソプラノ・ピアノデュオリサイタル お | 登録1=ぴあ1 一致
✅ id=6093 MEGADETH | 登録1=ぴあ1 一致
✅ id=6094 新しい学校のリーダーズ | 登録2=ぴあ2 一致
✅ id=6095 クレイジーウォウウォ!! | 登録2=ぴあ2 一致
✅ id=6096 レミオロメン | 登録3=ぴあ3 一致
✅ id=6097 IMM THEATER 寄席 | 登録1=ぴあ1 一致
✅ id=6098 朝日上方落語 桂吉弥のお仕事です | 登録1=ぴあ1 一致
✅ id=6099 朝日上方落語 桂南光噺の世界 | 登録1=ぴあ1 一致
✅ id=6100 お同期さん | 登録1=ぴあ1 一致
✅ id=6101 角座でジョニーvol.8 | 登録2=ぴあ2 一致
✅ id=6102 歌舞伎座 錦秋十月大歌舞伎 | 登録1=ぴあ1 一致
✅ id=6103 川崎学園祭 お笑いライブ!! | 登録1=ぴあ1 一致
✅ id=6104 楽市楽座 | 登録1=ぴあ1 一致
✅ id=6105 劇団「ハイキュー!!」“勝者と敗者”／東京 | 登録2=ぴあ2 一致
✅ id=6106 劇団「ハイキュー!!」“勝者と敗者”／大阪 | 登録2=ぴあ2 一致
✅ id=6107 古今亭菊志ん落語会守破離 | 登録1=ぴあ1 一致
✅ id=6108 ゴリオキナワお疲れ様会 supported by | 登録1=ぴあ1 一致
✅ id=6109 第107回 三三・左龍の会 | 登録1=ぴあ1 一致
✅ id=6110 三遊亭好太郎 里帰り落語会 -好太郎と愉快な仲間 | 登録1=ぴあ1 一致
✅ id=6111 第13回 三遊亭遊雀独演会「遊雀印」 ～掘りだし | 登録1=ぴあ1 一致
✅ id=6112 昭和57年会五派勢揃い | 登録1=ぴあ1 一致
✅ id=6113 新春!特撰落語会 | 登録3=ぴあ3 一致
✅ id=6114 第30回 新春森町寄席 | 登録1=ぴあ1 一致
✅ id=6115 新春寄席 柳家三三 独演会 | 登録1=ぴあ1 一致
✅ id=6116 青年団 子ども参加型演劇 『サンタクロース会議』 | 登録1=ぴあ1 一致
✅ id=6117 ゾゾッとTOWN大ライブ2026ツアー ～30周 | 登録1=ぴあ1 一致
✅ id=6118 立川志の八落語会「しのはちの巣IN横浜Vol.3 | 登録1=ぴあ1 一致
✅ id=6119 第2回 金原亭馬好・春風亭一花夫婦会 ゲスト:ヨ | 登録1=ぴあ1 一致
✅ id=6120 2026伝承ホール寺子屋 古典の日 公開講座 | 登録2=ぴあ2 一致
✅ id=6121 『花咲く館の執事たち -The Perfect  | 登録1=ぴあ1 一致
✅ id=6122 林家菊丸 独演会 | 登録1=ぴあ1 一致
✅ id=6123 林家希林落語ツアー「希」 | 登録2=ぴあ2 一致
✅ id=6124 『HAROLD AND MAUDE』 ハロルドと | 登録1=ぴあ1 一致
✅ id=6125 七代目三遊亭円楽独演会 | 登録1=ぴあ1 一致
✅ id=6126 昼・『タケトのオトナ道徳TOWN初ライブ～クラス | 登録1=ぴあ1 一致
✅ id=6127 弁財亭和泉 新春ものんびり独演会 「和泉噺」尽く | 登録1=ぴあ1 一致
✅ id=6128 第27回 万作・萬斎 狂言公演 | 登録1=ぴあ1 一致
✅ id=6129 みどり市制施行20周年記念「ながめ爆笑寄席」 | 登録1=ぴあ1 一致
✅ id=6130 ミュージカル「拝啓 ナイチンゲール様」 | 登録2=ぴあ2 一致
✅ id=6131 よしもとお笑いライブin市川2026～笑って幸せ | 登録1=ぴあ1 一致
✅ id=6132 よしもとお笑いライブin和光2026～秋の大爆笑 | 登録1=ぴあ1 一致
✅ id=6133 夜・『ゾゾッとTOWN大ライブ2026ツアー ～ | 登録1=ぴあ1 一致
✅ id=6134 柳亭小痴楽 痴楽を知る会 ゲスト:ヨネスケ・三遊 | 登録1=ぴあ1 一致
✅ id=6135 柳亭こみち×長唄吉住会 雪・女・噺・唄 | 登録1=ぴあ1 一致
✅ id=6136 舞台「呪術廻戦」-渋谷事変前編-／東京 | 登録2=ぴあ2 一致
✅ id=6137 舞台「呪術廻戦」-渋谷事変前編-／大阪 | 登録2=ぴあ2 一致
✅ id=6138 STARDOM NEW YEAR DREAM 2 | 登録2=ぴあ2 一致
✅ id=6139 2026年 プロ野球ファーム日本選手権 | 登録1=ぴあ1 一致
✅ id=6140 MAROOMS presents KNOCK O | 登録1=ぴあ1 一致
✅ id=6141 令和八年 冬巡業 大相撲三田場所 | 登録3=ぴあ3 一致
✅ id=6142 レノファ山口FC対ギラヴァンツ北九州 明治安田J | 登録1=ぴあ1 一致
✅ id=6143 レノファ山口FC対高知ユナイテッドSC 明治安田 | 登録1=ぴあ1 一致
✅ id=6144 TVアニメ「FX戦士くるみちゃん」先行上映会 | 登録2=ぴあ2 一致
✅ id=6145 Oちゃん、キミはだあれ?松永真のデザインと大分市 | 登録1=ぴあ1 一致
✅ id=6146 写真家ソール・ライターの原点 Origins i | 登録1=ぴあ1 一致
✅ id=6147 エジプト研究調査の最前線 | 登録1=ぴあ1 一致
✅ id=6148 怪談和尚・三木大雲の怪談説法 | 登録1=ぴあ1 一致
✅ id=6149 さるびあ落語 真打 ～東西よったり競演会～ | 登録1=ぴあ1 一致
✅ id=6150 師匠が語る 弟子・藤井聡太という才能 | 登録1=ぴあ1 一致
✅ id=6151 でんじろう先生のドキドキわくわくサイエンスショー | 登録1=ぴあ1 一致
✅ id=6152 HARA イリュージョンマジックショー | 登録1=ぴあ1 一致
✅ id=6153 ライフピアDEクリスマス | 登録1=ぴあ1 一致
✅ id=6154 生きる ～2027 若い命を支えるコンサート～ | 登録2=ぴあ2 一致
✅ id=6155 石上真由子&ロー磨秀 | 登録1=ぴあ1 一致
✅ id=6156 今井信子&レグルス・クァルテット ジョイント・コ | 登録1=ぴあ1 一致
✅ id=6157 小曽根 真 Now and Beyond! Vo | 登録2=ぴあ2 一致
✅ id=6158 関西学院クリスマス at ザ・シンフォニーホール | 登録1=ぴあ1 一致
✅ id=6159 藝大定期邦楽 第92回 | 登録1=ぴあ1 一致
✅ id=6160 新湘南室内合奏団ニューイヤーコンサート2027 | 登録1=ぴあ1 一致
