lg=01 total=536 pages=54
parsed items: 769 (fetched up to page 401)
already in DB: 743 | NOT in DB (new candidates): 26
written tmp/recheck_furin.json
 NEW |  | ANI-ROCK FES.2026「僕のヒーロー | 2026/11/22(日) ・ 2026/1 | 東京都
 NEW |  | 尾崎裕哉 | 2026/9/20(日) | 愛知県
 NEW |  | 尾崎裕哉 | 2026/9/19(土) | 大阪府
 NEW |  | 尾崎裕哉 | 2026/9/27(日) | 東京都
 NEW |  | ｃｌｉｍｂｇｒｏｗ | 2026/9/6(日) | 滋賀県
 NEW | 2026/7/4 | ＧＡＭＥ ＭＵＳＩＣ ＪＡＭ | 2026/7/18(土) | 千葉県
 NEW | 2026/7/4 | ＧＡＭＥ ＭＵＳＩＣ ＪＡＭ | 2026/7/20(月・祝) | 千葉県
 NEW | 2026/7/1 | ここがラジオの夢番地！ | 2026/9/22(火・祝) | 広島県
 NEW | 2026/7/1 | 澤野弘之 | 2026/7/4(土) | 東京都
 NEW | 2026/7/11 | ＳＫＹＬＩＮＥ ｆｔ． ＴＡＩＷＡＮ ＡＬＬ－Ｓ | 2026/8/14(金) | 福岡県
 NEW | 2026/7/1 | ＳＯＲＡＯＮ ２０２６ | 2026/7/12(日) | 北海道
 NEW | 2026/7/1 | ＳＯＲＡＯＮ ２０２６ | 2026/7/12(日) | 北海道
 NEW | 2026/7/11 | ＴＵＲＮＳＴＩＬＥ | 2026/7/22(水) | 神奈川県
 NEW |  | TMG | 2026/10/5(月) ～ 2026/10 | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | Toua | 2026/9/20(日) | 東京都
 NEW |  | 仲村宗悟 | 2026/8/30(日) | 東京都
 NEW | TODAY | ＮＸＭＥＲＣＹ ２ＮＤ ＬＩＶＥ ＩＮ ＪＡＰＡ | 2026/7/4(土) ～ 2026/7/2 | 東京都
 NEW | TODAY | ＮＸＭＥＲＣＹ ２ＮＤ ＬＩＶＥ ＩＮ ＪＡＰＡ | 2026/7/29(水) | 東京都
 NEW |  | Ｈｅｄｉｇａｎ’ｓ | 2026/9/10(木) | 東京都
 NEW |  | ヨコスカ ジャズ ドリームス ライブシリーズ２０ | 2026/11/7(土) | 神奈川県
 NEW |  | ラックライフ | 2026/10/10(土) ・ 2026/1 | 埼玉県／千葉県／神奈川県
 NEW |  | ラックライフ | 2026/10/17(土) | 京都府
 NEW |  | ラックライフ | 2026/10/18(日) ～ 2026/1 | 北海道／宮城県／静岡県／広島県／福岡県
 NEW | TODAY | ＬＡＮＡ | 2026/8/4(火) | 東京都
 NEW | TODAY | ＲＡＺＯＲＳ ＥＤＧＥ ｐｒｅｓｅｎｔｓ ＳＴＯ | 2026/11/7(土) | 大阪府
