reconcile�Ώ� 89��
=== reconcile_pia (today=2026-07-06) 対象89件 ===

🚨 id=402 KIM JUNSU | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/8 23:59 (2026-07-08) があるが登録に無い | 一般発売＜７／９（木）公演＞. ／ ＫＩＭ ＪＵＮＳＵ
✅ id=425 milet | 登録0=ぴあ0 一致
✅ id=711 SiM | 登録0=ぴあ0 一致
✅ id=926 渡辺貞夫 | 登録0=ぴあ0 一致
🚨 id=1117 礎の響「天下の分け目に立つ者」－Ｔｈｏｓｅ Ｗｈｏ Ｓｔａｎ | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/13 23:59 (2026-08-13) があるが登録に無い | 一般発売 ／ 礎の響「天下の分け目に立つ者」－Ｔｈｏｓｅ Ｗｈｏ Ｓｔａｎｄ ａ
🚨 id=1118 風間杜夫ひとり芝居 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜11/1 23:59 (2026-11-01) があるが登録に無い | 一般発売 ／ 風間杜夫ひとり芝居
🚨 id=1135 舞台『メイジ・ザ・キャッツアイ』 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [発売前] 7/18 10:00発売 (2026-07-18) があるが登録に無い | 一般発売 ／ 舞台『メイジ・ザ・キャッツアイ』
🚨 id=1160 音楽と髭達２０２６ ＜臨時駐車券＞ | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜8/29 20:00 (2026-08-29) があるが登録に無い | 一般発売 ／ 音楽と髭達２０２６ ＜臨時駐車券＞
🚨 id=1166 亀山ＪＡＺＺフェス 特別企画 高木里代子 ピアノトリオ | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/24 23:59 (2026-09-24) があるが登録に無い | 一般発売 ／ 亀山ＪＡＺＺフェス 特別企画 高木里代子 ピアノトリオ
🚨 id=1200 ちゃんみな | 登録0枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜7/8 23:59 (2026-07-08) があるが登録に無い | 追加販売受付＜７／１１公演＞ ／ ちゃんみな
    🚨MISSING ぴあに [受付中] 〜7/9 23:59 (2026-07-09) があるが登録に無い | 追加販売受付＜７／１２公演＞ ／ ちゃんみな
    ⚠️DROP 解析不能 [発売前] when='' | ※特別サイトよりお申込み下さい※セブン-イレブン先行 ／ ちゃんみな
✅ id=1232 EIGHT-JAM FES 2026 | 登録0=ぴあ0 一致
✅ id=1241 GFEST.2026 | 登録0=ぴあ0 一致
✅ id=1283 ano | 登録0=ぴあ0 一致
✅ id=1290 大塚 愛 | 登録0=ぴあ0 一致
🚨 id=1301 THE GROOVERS | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/16 23:59 (2026-09-16) があるが登録に無い | 一般発売 ／ ＴＨＥ ＧＲＯＯＶＥＲＳ
✅ id=1325 日食なつこ | 登録0=ぴあ0 一致
✅ id=1327 般若 | 登録0=ぴあ0 一致
✅ id=1336 おいしくるメロンパン | 登録0=ぴあ0 一致
🚨 id=1367 レディオサイエンス | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/30 23:59 (2026-10-30) があるが登録に無い | 一般発売 ／ レディオサイエンス
🚨 id=1370 愛知室内オーケストラ 文化会館再開記念演奏会 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/30 23:59 (2026-09-30) があるが登録に無い | 一般発売 ／ 愛知室内オーケストラ 文化会館再開記念演奏会
✅ id=1391 BLUE ENCOUNT | 登録0=ぴあ0 一致
✅ id=1402 岩崎宏美 | 登録0=ぴあ0 一致
✅ id=1407 ACE COLLECTION | 登録0=ぴあ0 一致
✅ id=1409 おねがいアイプリ×ひみつのアイプリ プリプリライ | 登録0=ぴあ0 一致
✅ id=1410 Augusta Camp 2026 | 登録0=ぴあ0 一致
✅ id=1423 kurage pre. 『COSMIC DIVE | 登録0=ぴあ0 一致
✅ id=1430 さとりモンスター | 登録0=ぴあ0 一致
✅ id=1432 ZION presents「Live in Wh | 登録0=ぴあ0 一致
✅ id=1440 SHIN-ONSAI 2026 | 登録0=ぴあ0 一致
✅ id=1446 HY | 登録0=ぴあ0 一致
✅ id=1451 風見和香 | 登録0=ぴあ0 一致
✅ id=1455 Canna Lily | 登録0=ぴあ0 一致
🚨 id=1457 きのホ。 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/6 23:59 (2026-07-06) があるが登録に無い | ●一般発売 ／ きのホ。
✅ id=1458 KUZIRA | 登録0=ぴあ0 一致
🚨 id=1466 GENERATIONS from EXILE TRIBE | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/29 23:59 (2026-07-29) があるが登録に無い | 「GENERATIONS from EXILE TRIBE」プレリザーブ5次
✅ id=1474 sumika×瑠東東一郎 CINEMA&LIVE | 登録0=ぴあ0 一致
🚨 id=1475 青春のアイドルヒットステージ 松本伊代・早見優・森口博子 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [発売前] 7/24 10:00発売 (2026-07-24) があるが登録に無い | 一般発売 ／ 青春のアイドルヒットステージ 松本伊代・早見優・森口博子
✅ id=1480 TAGRIGHT | 登録0=ぴあ0 一致
✅ id=1483 橘ひなの | 登録0=ぴあ0 一致
✅ id=1496 桜井えま | 登録0=ぴあ0 一致
✅ id=1497 桜木心菜 | 登録0=ぴあ0 一致
✅ id=1514 tricot | 登録0=ぴあ0 一致
✅ id=1516 TOTALFAT | 登録0=ぴあ0 一致
✅ id=1522 ドミコ | 登録0=ぴあ0 一致
✅ id=1523 ナガノアニエラフェスタ2026 | 登録0=ぴあ0 一致
✅ id=1527 nobinobi 2026 | 登録0=ぴあ0 一致
✅ id=1528 Northern19／39degrees | 登録0=ぴあ0 一致
✅ id=1534 栄喜 | 登録0=ぴあ0 一致
✅ id=1539 BE WONDERFUL!! | 登録0=ぴあ0 一致
✅ id=1542 FOMARE | 登録0=ぴあ0 一致
✅ id=1543 福山雅治 | 登録0=ぴあ0 一致
✅ id=1549 COPES | 登録0=ぴあ0 一致
✅ id=1561 BRAVE SONIC | 登録0=ぴあ0 一致
✅ id=1575 持田香織 | 登録0=ぴあ0 一致
✅ id=1579 山崎ハコ | 登録0=ぴあ0 一致
✅ id=1582 U&pia | 登録0=ぴあ0 一致
✅ id=1585 リ・クレシェンド!-LIVE×LIVE- | 登録0=ぴあ0 一致
🚨 id=1587 REJAY | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [発売前] 7/11 19:00発売 (2026-07-11) があるが登録に無い | 一般発売 ／ ＲＥＪＡＹ
