=== reconcile_pia (today=2026-07-10) 対象138件 ===

✅ id=12 東京スカパラダイスオーケストラ | 登録1=ぴあ1 一致
✅ id=21 ORANGE RANGE | 登録16=ぴあ16 一致
✅ id=69 仮面ライダースーパーライブ | 登録5=ぴあ5 一致
✅ id=90 サー・サイモン・ラトル／バイエルン放送交響楽団 | 登録2=ぴあ2 一致
✅ id=91 ロンドン交響楽団／サー・アントニオ・パッパーノ | 登録1=ぴあ1 一致
✅ id=93 反田恭平＆ジャパン・ナショナル・オーケストラ | 登録4=ぴあ4 一致
✅ id=100 丸美屋食品ミュージカル | 登録3=ぴあ3 一致
✅ id=125 浜崎あゆみ | 登録2=ぴあ2 一致
⚠️ id=130 宝塚歌劇団 雪組 | 登録1枠 / ぴあ買える1枠
    ⚠️DROP 解析不能 [発売前] when='' | 一般発売 ／ 宝塚歌劇雪組 宝塚大劇場公演 ミュージカル・ゴシック『ポーの一族』
    ⚠️DROP 解析不能 [発売前] when='' | 一般発売 ／ 宝塚歌劇雪組 東京宝塚劇場公演 ミュージカル・ゴシック 『ポーの一
✅ id=177 山内惠介 | 登録2=ぴあ2 一致
✅ id=187 小池徹平／小西遼生／美弥るりか ほか | 登録4=ぴあ4 一致
✅ id=237 葉加瀬太郎 | 登録17=ぴあ17 一致
✅ id=269 望海風斗／坂本昌行 ほか | 登録6=ぴあ6 一致
✅ id=312 アンパンマン | 登録7=ぴあ7 一致
✅ id=397 郷ひろみ | 登録4=ぴあ4 一致
✅ id=406 RISING SUN ROCK FESTIVAL | 登録2=ぴあ2 一致
✅ id=450 プリキュア | 登録10=ぴあ10 一致
✅ id=452 米村でんじろう | 登録12=ぴあ12 一致
✅ id=520 踊ってばかりの国 | 登録13=ぴあ13 一致
✅ id=529 華原朋美 | 登録6=ぴあ6 一致
✅ id=564 SINON | 登録3=ぴあ3 一致
✅ id=567 鈴木実貴子ズ | 登録2=ぴあ2 一致
✅ id=612 杏里 | 登録2=ぴあ2 一致
✅ id=620 イルカ | 登録11=ぴあ11 一致
✅ id=622 岩佐美咲／津吹みゆ | 登録1=ぴあ1 一致
✅ id=668 佐藤竹善 | 登録2=ぴあ2 一致
✅ id=678 島田歌穂 | 登録1=ぴあ1 一致
✅ id=693 高中正義 | 登録11=ぴあ11 一致
✅ id=701 中村耕一+JAYWALK | 登録7=ぴあ7 一致
✅ id=729 平原綾香 | 登録8=ぴあ8 一致
✅ id=748 May J. | 登録2=ぴあ2 一致
✅ id=755 I Don't Like Mondays. | 登録2=ぴあ2 一致
✅ id=756 ゴスペラーズ | 登録6=ぴあ6 一致
✅ id=824 HUSKING BEE | 登録7=ぴあ7 一致
✅ id=827 BS11若手人気スター歌謡ショー特別編 「パクタ | 登録1=ぴあ1 一致
💤 id=833 FREEDOM NAGOYA 2026 | 登録7枠 / ぴあ買える5枠
    💤STALE 登録「一般発売（愛知 7/30公演）〜7/21 23:59」(2026-07-21) がぴあの買える枠に無い
    💤STALE 登録「一般発売（愛知 8/12公演）〜8/11 23:59」(2026-08-11) がぴあの買える枠に無い
✅ id=844 森恵 | 登録2=ぴあ2 一致
✅ id=845 山川豊 | 登録1=ぴあ1 一致
✅ id=874 コブクロ | 登録3=ぴあ3 一致
✅ id=876 斉藤和義 | 登録1=ぴあ1 一致
✅ id=892 高田漣 | 登録2=ぴあ2 一致
✅ id=911 BREAKERZ | 登録6=ぴあ6 一致
✅ id=922 Rei | 登録5=ぴあ5 一致
✅ id=940 春風亭一之輔 らくごDE全国ツアー VOL.14 | 登録6=ぴあ6 一致
✅ id=942 キーウ・クラシック・バレエ | 登録16=ぴあ16 一致
✅ id=950 天満天神繁昌亭 | 登録7=ぴあ7 一致
✅ id=966 神戸新開地・喜楽館 8月【昼席】 | 登録6=ぴあ6 一致
✅ id=1003 立川談春 独演会 2026 秋 | 登録2=ぴあ2 一致
✅ id=1008 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 登録2=ぴあ2 一致
✅ id=1022 お多福寄席 柳家喬太郎 桃月庵白酒 | 登録2=ぴあ2 一致
✅ id=1048 チャイコフスキー・バレエ劇場「くるみ割り人形」「 | 登録5=ぴあ5 一致
✅ id=1055 桂文珍・春風亭小朝 東西落語名人会 | 登録1=ぴあ1 一致
✅ id=1059 『アメリカン・ドリーム』 | 登録4=ぴあ4 一致
✅ id=1060 けんこう一番！秋スペシャル 第３８回三遊亭兼好独 | 登録1=ぴあ1 一致
✅ id=1101 リア王 -King Lear- | 登録5=ぴあ5 一致
✅ id=1127 さとなかほがらか第２回単独ライブ『褒美曜日』 | 登録2=ぴあ2 一致
✅ id=1128 ニッチェ単独ライブ「ビフテキ」 | 登録6=ぴあ6 一致
✅ id=1130 一之輔のいまコレ！～２０２６残暑編～ | 登録1=ぴあ1 一致
✅ id=1134 第１回狂言 万作・萬斎・裕基の会ｉｎ大阪 | 登録1=ぴあ1 一致
✅ id=1151 石井竜也 | 登録7=ぴあ7 一致
✅ id=1162 海援隊 トーク＆ライブ ２０２６ | 登録1=ぴあ1 一致
✅ id=1172 木村家ファミリー | 登録1=ぴあ1 一致
✅ id=1174 HOT STUFF presents Ruby  | 登録3=ぴあ3 一致
✅ id=1178 最強！！歌マネＬＩＶＥ ｉｎ 水戸 荒牧陽子×松 | 登録2=ぴあ2 一致
✅ id=1191 四星球 | 登録2=ぴあ2 一致
💤 id=1214 布施明 | 登録4枠 / ぴあ買える3枠
    💤STALE 登録「一般発売（埼玉 10/3公演）7/17 10:00発売」(2026-07-17) がぴあの買える枠に無い
✅ id=1216 Ｍｙ Ｌｉｔｔｌｅ Ｌｏｖｅｒ ☆ Ａｋｋｏ Ｂ | 登録1=ぴあ1 一致
✅ id=1218 三浦祐太朗 | 登録2=ぴあ2 一致
✅ id=1224 リルキア ロックフェスティバル | 登録1=ぴあ1 一致
✅ id=1299 Kroi | 登録9=ぴあ9 一致
✅ id=1313 w.o.d. | 登録9=ぴあ9 一致
