=== reconcile_pia (today=2026-08-21) 対象37件 ===

✅ id=4739 おやじバンド合戦 松阪の陣 | 登録1=ぴあ1 一致
✅ id=4741 大江千里 | 登録1=ぴあ1 一致
✅ id=4744 PUFFY | 登録1=ぴあ1 一致
✅ id=4745 堀内孝雄 | 登録1=ぴあ1 一致
✅ id=4746 増田惠子 | 登録1=ぴあ1 一致
✅ id=4747 第50回春日井まつり前夜祭 相川七瀬 | 登録1=ぴあ1 一致
✅ id=4754 三遊亭白鳥独演会 白鳥ジャパン Vol.26 i | 登録1=ぴあ1 一致
✅ id=4756 爆笑!!お笑いスーパーライブ in 青森 202 | 登録1=ぴあ1 一致
✅ id=4757 柳亭小痴楽独演会 | 登録1=ぴあ1 一致
✅ id=4760 新春スペシャル公演 春風亭一之輔・一蔵・一花 兄 | 登録1=ぴあ1 一致
✅ id=4761 新春スペシャル公演 春風亭昇太・柳家三三 wit | 登録1=ぴあ1 一致
✅ id=4762 博品館劇場名作リーディングシアター「シャーロック | 登録2=ぴあ2 一致
✅ id=4765 スターダンサーズ・バレエ団公演「くるみ割り人形」 | 登録1=ぴあ1 一致
✅ id=4766 スターダンサーズ・バレエ団公演「くるみ割り人形」 | 登録1=ぴあ1 一致
✅ id=4767 新国立劇場演劇研修所 第20期生公演 『あの子は | 登録1=ぴあ1 一致
✅ id=4768 第11回きく麿レストラン 北九州出張編 | 登録1=ぴあ1 一致
✅ id=4769 コチソバ創立15周年記念落語会vol.0 第15 | 登録1=ぴあ1 一致
✅ id=4770 ワンツーワークス | 登録1=ぴあ1 一致
✅ id=4771 サントリーホール クリスマスコンサート 2026 | 登録1=ぴあ1 一致
✅ id=4772 サントリーホールのクリスマス2026 | 登録1=ぴあ1 一致
✅ id=4774 東京都交響楽団 第1061回定期演奏会Aシリーズ | 登録1=ぴあ1 一致
✅ id=4775 都響スペシャル | 登録1=ぴあ1 一致
✅ id=4776 筑前琵琶保存会 第62回定期演奏会 みのりの秋 | 登録1=ぴあ1 一致
✅ id=4778 新日本フィル「第九」特別演奏会2026 クリスマ | 登録2=ぴあ2 一致
✅ id=4779 新日本フィル「第九」特別演奏会2026 スターツ | 登録2=ぴあ2 一致
✅ id=4780 新日本フィル「第九」特別演奏会2026 ユニオン | 登録2=ぴあ2 一致
✅ id=4781 新日本フィルハーモニー交響楽団 SMBC pre | 登録2=ぴあ2 一致
✅ id=4782 新日本フィルハーモニー交響楽団「第九」特別演奏会 | 登録2=ぴあ2 一致
✅ id=4783 フレッシュ名曲コンサート「第42回板橋第九演奏会 | 登録1=ぴあ1 一致
✅ id=4784 宮里直樹 テノール・リサイタルVol.2 | 登録1=ぴあ1 一致
✅ id=4785 ウィーン=ベルリン ブラス・クインテット | 登録1=ぴあ1 一致
✅ id=4786 ルーマニアのクリスマス | 登録2=ぴあ2 一致
✅ id=4787 全日本ぎょうざ祭り2026秋 in モリコロパー | 登録1=ぴあ1 一致
✅ id=4788 前川清クリスマスディナーショー2026 ～GIF | 登録1=ぴあ1 一致
✅ id=4789 天皇杯 JFA 第106回全日本サッカー選手権大 | 登録35=ぴあ35 一致
✅ id=4790 USA チアリーディング&ダンス フェスティバル | 登録1=ぴあ1 一致
✅ id=4791 Lemino BOXING フェニックスバトル1 | 登録1=ぴあ1 一致

=== 集計: OK 37 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 43/78 / 未照合 skip35(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
