=== reconcile_pia (today=2026-09-16) 対象93件 ===

✅ id=7558 Tommy february6・Tommy he | 登録1=ぴあ1 一致 ／ 売り切れ1枠は対象外
✅ id=8172 瑛人×SANIMYOK PUAN Live202 | 登録1=ぴあ1 一致
✅ id=8351 Chevon | 登録0=ぴあ0 一致 ／ 売り切れ3枠は対象外
✅ id=8385 江上遥オータムソロコンサート | 登録0=ぴあ0 一致
✅ id=8658 三遊亭わん丈独演会・落語わん丈 | 登録0=ぴあ0 一致
✅ id=8693 スクールアイドルミュージカル | 登録0=ぴあ0 一致
✅ id=8698 青年劇場 | 登録0=ぴあ0 一致
✅ id=9506 アレッサンドロ・カルボナーレ（cl） 室内楽の夕 | 登録0=ぴあ0 一致
✅ id=9805 榛葉樹人&今井俊輔デュオコンサート2026～秋の | 登録0=ぴあ0 一致
❌ id=9382 「ピクサーの世界展」〈9/15～9/17〉 | 登録2枠 / ぴあ買える1枠
✅ id=8765 第20回アジア競技大会／応援Plus<応援グッズ | 登録1=ぴあ1 一致
✅ id=8770 第20回アジア競技大会／ソフトボール | 登録1=ぴあ1 一致
✅ id=8790 第5回アジアパラ競技大会／応援Plus<応援グッ | 登録1=ぴあ1 一致
✅ id=9859 大阪フィルハーモニー交響楽団 | 登録0=ぴあ0 一致
✅ id=9885 ～3大シリーズ～3大交響曲 | 登録0=ぴあ0 一致
✅ id=10429 黒坂黒太郎 歌とコカリナのコンサート ～故郷の山 | 登録1=ぴあ1 一致
✅ id=10430 笹川美和 | 登録2=ぴあ2 一致
✅ id=10431 佐藤実絵子／あきいちこ／袈裟丸祐介 | 登録1=ぴあ1 一致
✅ id=10439 goethe | 登録4=ぴあ4 一致
✅ id=10763 ESPOIR TRIBE-エスポワール・トライブ | 登録1=ぴあ1 一致
✅ id=10765 辛島美登里・中西保志・中西圭三 コンサート | 登録1=ぴあ1 一致
✅ id=10766 カーネーション | 登録1=ぴあ1 一致
✅ id=10767 きばやし／ひおり | 登録1=ぴあ1 一致
✅ id=10770 ギグフェスタ ダンステリア「一夜限りの小松GIN | 登録1=ぴあ1 一致
✅ id=10771 KERA SOLO UNIT featuring | 登録1=ぴあ1 一致
✅ id=10772 さだまさし クリスマスディナー&コンサート202 | 登録1=ぴあ1 一致
✅ id=10778 THE INSPECTOR CLUZO | 登録2=ぴあ2 一致
✅ id=10779 Jane Remover | 登録1=ぴあ1 一致
✅ id=10780 太鼓祭2026 第18回日本一決定戦 | 登録1=ぴあ1 一致
✅ id=10782 ドリアン・ロロブリジーダ | 登録2=ぴあ2 一致
✅ id=10783 NOWhere | 登録1=ぴあ1 一致
✅ id=10784 NOTD | 登録1=ぴあ1 一致
💤 id=10785 NOTD | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2636577
    💤STALE 登録「一般発売（大阪 R9年 2/26公演）10/10 10:00発売」(2026-10-10) がぴあの買える枠に無い
✅ id=10786 日野真一郎 | 登録1=ぴあ1 一致
✅ id=10787 FANTASTICS from EXILE TR | 登録2=ぴあ2 一致
✅ id=10790 PENICILLIN | 登録1=ぴあ1 一致
✅ id=10791 星屑スキャット ディナーショー2026 | 登録1=ぴあ1 一致
✅ id=10792 松本玲奈生誕祭 | 登録1=ぴあ1 一致
✅ id=10793 南野陽子 クリスマスディナー&コンサート2026 | 登録1=ぴあ1 一致
✅ id=10794 MELT4 | 登録1=ぴあ1 一致
✅ id=10795 夢のコラボ チャリティーライブ with 日野美 | 登録1=ぴあ1 一致
✅ id=10796 Rival Consoles | 登録2=ぴあ2 一致
✅ id=10797 ランチタイムコンサートVol.42 大林武司 J | 登録1=ぴあ1 一致
✅ id=10799 令和8年熊本地震復興支援 浜崎貴司GACHIスペ | 登録1=ぴあ1 一致
✅ id=10801 アンと私 | 登録1=ぴあ1 一致
✅ id=10802 ART GARFUNKEL | 登録1=ぴあ1 一致
✅ id=10804 DIAURA | 登録1=ぴあ1 一致
✅ id=10805 工房芝居 旗揚げ公演『鉛の斧』 | 登録2=ぴあ2 一致
✅ id=10806 第26回さがみはら若手落語家選手権<本選会> | 登録1=ぴあ1 一致
✅ id=10807 第26回さがみはら若手落語家選手権<予選会 第1 | 登録1=ぴあ1 一致
✅ id=10808 第26回さがみはら若手落語家選手権<予選会 第2 | 登録1=ぴあ1 一致
✅ id=10809 第26回さがみはら若手落語家選手権<予選会 第3 | 登録1=ぴあ1 一致
✅ id=10810 第26回さがみはら若手落語家選手権<予選会 第4 | 登録1=ぴあ1 一致
✅ id=10811 サンケイホールブリーゼ米朝一門落語会シリーズ20 | 登録1=ぴあ1 一致
✅ id=10812 笑激!!お笑いカーニバルin府中 | 登録2=ぴあ2 一致
✅ id=10813 新春四景（上） | 登録1=ぴあ1 一致
✅ id=10816 第10回Muでらくご | 登録1=ぴあ1 一致
✅ id=10817 第4回 林家きよ彦・鈴々舎美馬二人会 | 登録1=ぴあ1 一致
✅ id=10818 WAHAHA本舗PRESENTS ワハハ本舗特別 | 登録7=ぴあ7 一致
✅ id=10823 エスポラーダ北海道対バルドラール浦安 メットライ | 登録3=ぴあ3 一致
✅ id=10825 サガン鳥栖対RB大宮アルディージャ 明治安田J2 | 登録1=ぴあ1 一致
✅ id=10828 東京ヤクルトスワローズ 対 広島東洋カープ 20 | 登録1=ぴあ1 一致
✅ id=10829 東京ヤクルトスワローズ 対 広島東洋カープ 20 | 登録1=ぴあ1 一致
✅ id=10834 令和八年九州場所大相撲 お土産引換券 ※本券では | 登録1=ぴあ1 一致
✅ id=10835 『映画名探偵プリキュア!不思議な庭と2人の秘密』 | 登録2=ぴあ2 一致
✅ id=10837 舞台「源 -minamoto- 銀灰の時旅人」上 | 登録1=ぴあ1 一致
✅ id=10840 デジタル能舞 in 高台寺 | 登録1=ぴあ1 一致
✅ id=10841 ミステリー・オブ・ツタンカーメン～体感型古代エジ | 登録1=ぴあ1 一致
✅ id=10842 秋川雅史プロデュース 7人のテノール ガラ・コン | 登録2=ぴあ2 一致
✅ id=10844 牛田智大（p） | 登録1=ぴあ1 一致
✅ id=10845 牛田智大（p） | 登録1=ぴあ1 一致
✅ id=10846 大谷康子（vl） | 登録1=ぴあ1 一致
✅ id=10847 さくらde古楽 トラヴェルソとヴィオールの調べ  | 登録1=ぴあ1 一致
✅ id=10849 シャイニング・シリーズVol.21 東京文化会館 | 登録1=ぴあ1 一致
✅ id=10851 東京音楽大学シンフォニーオーケストラ定期演奏会 | 登録1=ぴあ1 一致
✅ id=10852 永峰高志デビュー50周年記念デュオコンサートwi | 登録1=ぴあ1 一致
✅ id=10853 みえる かんじる 新しい第九 2026 ～「歓び | 登録1=ぴあ1 一致
✅ id=10855 山縣美季（p） | 登録1=ぴあ1 一致
✅ id=10776 SHERBETS | 登録1=ぴあ1 一致
✅ id=10820 アクトレスガールズ | 登録1=ぴあ1 一致
✅ id=10821 アクトレスガールズ | 登録1=ぴあ1 一致
