=== reconcile_pia (today=2026-08-23) 対象48件 ===

✅ id=4979 こがねいシネマ シネマ歌舞伎「二人藤娘／日本振袖 | 登録1=ぴあ1 一致
✅ id=5002 ぶらり塩竈 秋の酒蔵めぐり2026 | 登録1=ぴあ1 一致
✅ id=5005 2026【宵祭】岸和田だんじり祭商店街観覧ベース | 登録1=ぴあ1 一致
✅ id=5010 令和八年度 将棋公開模範対局 | 登録1=ぴあ1 一致
✅ id=5011 花江夏樹 | 登録2=ぴあ2 一致
✅ id=5014 RAY YUZUKA AUTUMN EVENT  | 登録2=ぴあ2 一致
✅ id=5035 名古屋城金シャチ横丁 ワイン魂 | 登録1=ぴあ1 一致
✅ id=5038 宮田愛萌さん『夏までに』発売記念サイン本お渡し会 | 登録1=ぴあ1 一致
✅ id=5044 打首獄門同好会 | 登録2=ぴあ2 一致
✅ id=5045 FTISLAND | 登録4=ぴあ4 一致
✅ id=5047 「DAW:trace」 | 登録1=ぴあ1 一致
✅ id=5048 久松史奈 | 登録1=ぴあ1 一致
✅ id=5049 スウィング・ジュニア・オーケストラ第1回定期演奏 | 登録1=ぴあ1 一致
✅ id=5050 坂東玉三郎 プレミアムシンフォニックコンサート  | 登録1=ぴあ1 一致
✅ id=5051 ヤングスキニー | 登録2=ぴあ2 一致
✅ id=5052 未来プロジェクト 町田智子対談シリーズ Vol. | 登録1=ぴあ1 一致
✅ id=5053 タデクイ presents “デルタ” | 登録2=ぴあ2 一致
✅ id=5054 研ナオコ | 登録1=ぴあ1 一致
✅ id=5055 第48回熊本よかちょろ会寄席 林家つる子三遊亭円 | 登録1=ぴあ1 一致
✅ id=5056 ロングコートダディ単独ライブツアー「月光もたらす | 登録1=ぴあ1 一致
✅ id=5057 カベポスターのコラボスター | 登録1=ぴあ1 一致
✅ id=5058 マセキ芸人コレクション in 神戸 2027 | 登録1=ぴあ1 一致
💤 id=5059 山里亮太の140 東京公演～東京一週間～ | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2631748
    💤STALE 登録「一般発売（東京 11/9〜11/15公演）9/19 10:00発売」(2026-09-19) がぴあの買える枠に無い
✅ id=5061 みんなで歌う第九の会 第40回記念演奏会 | 登録1=ぴあ1 一致
✅ id=5062 第66回 東京都吹奏楽コンクール | 登録1=ぴあ1 一致
✅ id=5063 ウィハン弦楽四重奏団With岩井奈美 | 登録1=ぴあ1 一致
✅ id=5064 東京シティ・フィルハーモニック管弦楽団 ニューイ | 登録2=ぴあ2 一致
✅ id=5065 竹澤恭子（vl） | 登録1=ぴあ1 一致
✅ id=5066 Osaka Shion Wind Orchest | 登録2=ぴあ2 一致
✅ id=5068 小川典子（p） | 登録1=ぴあ1 一致
✅ id=5069 スーパースターたちによる新春特別コンサート Vo | 登録1=ぴあ1 一致
💤 id=5070 スーパースターたちによる新春特別コンサート Vol.2 | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2623872
    💤STALE 登録「一般発売（東京 R9年 1/6公演）9/20 10:00発売」(2026-09-20) がぴあの買える枠に無い
✅ id=5071 スーパースターたちによる新春特別コンサート Vo | 登録1=ぴあ1 一致
✅ id=5072 ピアノ四重奏団 アンサンブル・ラロ | 登録1=ぴあ1 一致
✅ id=5073 新潟レプタイルズワールド | 登録2=ぴあ2 一致
✅ id=5077 片っ端から偏愛レトロ喫茶展 | 登録1=ぴあ1 一致
✅ id=5079 ジャパンレプタイルズショー in 東京 2026 | 登録2=ぴあ2 一致
✅ id=5080 MFJ全日本トライアル選手権シリーズ第6戦 宮城 | 登録1=ぴあ1 一致
✅ id=5081 第21回K-1アマチュア全日本大会～アマチュア日 | 登録1=ぴあ1 一致
✅ id=5082 名古屋グランパス対セレッソ大阪 明治安田J1リー | 登録2=ぴあ2 一致
✅ id=5083 名古屋グランパス対横浜F・マリノス 明治安田J1 | 登録2=ぴあ2 一致
✅ id=5084 第一回全世界ウェイト制空手道選手権大会 | 登録1=ぴあ1 一致
✅ id=5085 髭 | 登録2=ぴあ2 一致
✅ id=5086 プロジェクションマッピング×パイプオルガン 新作 | 登録2=ぴあ2 一致
✅ id=5087 間宮芳生の声 1952→2012・・・ | 登録1=ぴあ1 一致
✅ id=5088 南なほき（p） | 登録1=ぴあ1 一致
✅ id=5089 BihokuFireworks&ファンタジーステ | 登録1=ぴあ1 一致
✅ id=5096 特別展「岸田劉生 美の軌跡」 | 登録1=ぴあ1 一致

=== 集計: OK 46 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 2 / ❌FETCH 2 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 56/62 / 未照合 skip6(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
