=== reconcile_pia (today=2026-06-29) 対象66件 ===

⚠️ id=115 FRUITS ZIPPER | 登録0枠 / ぴあ買える0枠
    ⚠️DROP 解析不能 [発売前] when='10:00より発売' | 当日引換券販売（７／３公演） ／ 【当日引換券】ＦＲＵＩＴＳ ＺＩＰＰＥＲ
🚨 id=125 浜崎あゆみ | 登録0枠 / ぴあ買える5枠
    🚨MISSING ぴあに [受付中] 〜7/5 23:59 (2026-07-05) があるが登録に無い | プリセール ／ 浜崎あゆみ
    🚨MISSING ぴあに [受付中] 〜7/9 23:59 (2026-07-09) があるが登録に無い | 立見販売 ／ 浜崎あゆみ
    🚨MISSING ぴあに [受付中] 〜7/6 11:00 (2026-07-06) があるが登録に無い | 「浜崎あゆみ」プレリザーブ2次
    🚨MISSING ぴあに [受付中] 〜7/7 11:00 (2026-07-07) があるが登録に無い | 「浜崎あゆみ」プレリザーブ(京都公演)
    🚨MISSING ぴあに [受付中] 〜7/7 11:00 (2026-07-07) があるが登録に無い | 「浜崎あゆみ」プレリザーブ(神戸公演)
🚨 id=292 ASIAN KUNG-FU GENERATION／[Alex | 登録0枠 / ぴあ買える7枠
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜８／２１（金）１日券＞ ／ ＷＩＬＤ ＢＵＮＣＨ ＦＥ
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜８／２１（金）２２（土）２日通し券＞ ／ ＷＩＬＤ Ｂ
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜３日通し券＞ ／ ＷＩＬＤ ＢＵＮＣＨ ＦＥＳＴ．２０
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜８／２１（金）２３（日）２日通し券＞ ／ ＷＩＬＤ Ｂ
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜８／２２（土）１日券＞ ／ ＷＩＬＤ ＢＵＮＣＨ ＦＥ
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜８／２２（土）２３（日）２日通し券＞ ／ ＷＩＬＤ Ｂ
    🚨MISSING ぴあに [発売前] 6/30 12:00発売 (2026-06-30) があるが登録に無い | セブン-イレブン４次先行＜８／２３（日）１日券＞ ／ ＷＩＬＤ ＢＵＮＣＨ ＦＥ
✅ id=316 Vaundy | 登録0=ぴあ0 一致
✅ id=474 モモンガ・コンプレックス／白神ももこ | 登録0=ぴあ0 一致
✅ id=577 FouRTe | 登録0=ぴあ0 一致
🚨 id=607 尼崎市市制１１０周年記念特別事業 『ジャズ＆宝塚』 | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/7 23:59 (2026-10-07) があるが登録に無い | 一般発売 ／ 尼崎市市制１１０周年記念特別事業 『ジャズ＆宝塚』
🚨 id=695 TOMOVSKY | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜9/4 23:59 (2026-09-04) があるが登録に無い | 一般発売 ／ ＴＯＭＯＶＳＫＹ トモフ出航６０周年記念ツアー 『３度目のハタチ』
🚨 id=700 辰巳ゆうと | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜10/4 23:59 (2026-10-04) があるが登録に無い | 一般発売 ／ 辰巳ゆうと
🚨 id=712 Sho-ta with Tenpack riverside  | 登録0枠 / ぴあ買える3枠
