=== reconcile_pia (today=2026-06-29) 対象27件 ===

✅ id=125 浜崎あゆみ | 登録5=ぴあ5 一致
❌ id=292 ASIAN KUNG-FU GENERATION／[Alex | 登録1枠 / ぴあ買える7枠
✅ id=607 尼崎市市制１１０周年記念特別事業 『ジャズ＆宝塚 | 登録1=ぴあ1 一致
✅ id=695 TOMOVSKY | 登録1=ぴあ1 一致
✅ id=700 辰巳ゆうと | 登録1=ぴあ1 一致
✅ id=712 Sho-ta with Tenpack rive | 登録3=ぴあ3 一致
✅ id=820 蝶花楼桃花 | 登録1=ぴあ1 一致
✅ id=835 THE MICRO HEAD 4N'S | 登録1=ぴあ1 一致
✅ id=848 山根航海 | 登録1=ぴあ1 一致
✅ id=931 Performing Arts Festival | 登録1=ぴあ1 一致
✅ id=1037 おどる絵本『みえるとか みえないとか』 | 登録1=ぴあ1 一致
✅ id=1038 よしもとお笑いライブｉｎ所沢 | 登録1=ぴあ1 一致
✅ id=1039 ザ☆笑撃！！スペシャルものまねライブ２０２６ | 登録1=ぴあ1 一致
✅ id=1040 三谷文楽『人形ぎらい』 | 登録1=ぴあ1 一致
✅ id=1041 新潟漫才選集 | 登録1=ぴあ1 一致
✅ id=1042 次代育成落語会 | 登録1=ぴあ1 一致
✅ id=1043 舞台『ペパロニ・ヴァンパイア』 | 登録2=ぴあ2 一致
✅ id=1135 舞台『メイジ・ザ・キャッツアイ』 | 登録1=ぴあ1 一致
✅ id=1228 ロックのほそ道2026 ～15th Annive | 登録1=ぴあ1 一致
✅ id=1249 BEAT AX -SUMMER EDITION  | 登録1=ぴあ1 一致
✅ id=1256 アイスリボン | 登録1=ぴあ1 一致
✅ id=1258 大阪プロレス | 登録1=ぴあ1 一致
✅ id=1266 DDT | 登録1=ぴあ1 一致
✅ id=1271 hotシュシュ | 登録1=ぴあ1 一致
✅ id=1275 RIZIN.54 | 登録1=ぴあ1 一致
✅ id=1279 令和八年 冬巡業 大相撲宇治場所 | 登録2=ぴあ2 一致
✅ id=1425 黒崎雅文 | 登録1=ぴあ1 一致

=== 集計: OK 26 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 ===
