=== reconcile_pia (today=2026-06-30) 対象11件 ===

✅ id=1686 秋の特選落語競演会2026 | 登録1=ぴあ1 一致
✅ id=1687 朝日上方落語 桂南光一門会 | 登録1=ぴあ1 一致
✅ id=1689 第十一回 あべの歌舞伎「晴の会(そらのかい)」 | 登録2=ぴあ2 一致
✅ id=1690 綾小路きみまろ爆笑スーパーライブ in 浜松 | 登録2=ぴあ2 一致
✅ id=1691 『Yerma イェルマ』 | 登録5=ぴあ5 一致
✅ id=1692 「伊東四朗一座リターンズ!? in浅草公会堂」～ | 登録1=ぴあ1 一致
✅ id=1693 入船亭扇兆 二ツ目昇進披露落語会 | 登録2=ぴあ2 一致
✅ id=1694 歌を歌わないように食べる昨日 | 登録1=ぴあ1 一致
✅ id=1695 梅津瑞樹 夜／読 耳（ヨミミ）寄り | 登録1=ぴあ1 一致
✅ id=1697 大阪城西の丸薪能2026 | 登録2=ぴあ2 一致
✅ id=1700 尾上右近自主公演 第十回「研の會」 FINAL | 登録1=ぴあ1 一致

=== 集計: OK 11 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 ===
