=== reconcile_pia (today=2026-07-03) 対象50件 ===

✅ id=1980 前橋汀子 アフタヌーン・コンサートVol.23 | 登録2=ぴあ2 一致
✅ id=1929 東京都交響楽団 プロムナードコンサート No.4 | 登録1=ぴあ1 一致
✅ id=1928 東京都交響楽団 第1059回定期演奏会Bシリーズ | 登録1=ぴあ1 一致
✅ id=1938 ヴォルフガング・ツェラー（org） | 登録1=ぴあ1 一致
✅ id=1930 歌ネタフェス 爆笑リズム天国 | 登録1=ぴあ1 一致
✅ id=1937 ヴィクトリア・ムローヴァ ヴァイオリンリサイタル | 登録2=ぴあ2 一致
✅ id=1931 クシシュトフ・ウルバニアク（org） | 登録1=ぴあ1 一致
✅ id=1934 Music Fusion in Kyoto 音楽 | 登録3=ぴあ3 一致
✅ id=1933 府中の森芸術劇場開館35周年記念 どりーむコンサ | 登録3=ぴあ3 一致
✅ id=1944 第5回 ザハール・ブロン ヴァイオリン・マスター | 登録1=ぴあ1 一致
❌ id=1947 仙台クラシックフェスティバル2026 <10/2(金)公演> | 登録8枠 / ぴあ買える1枠
❌ id=1948 仙台クラシックフェスティバル2026 <10/3(土)公演> | 登録8枠 / ぴあ買える1枠
❌ id=1949 仙台クラシックフェスティバル2026 <10/4(日)公演> | 登録8枠 / ぴあ買える1枠
✅ id=1952 メンデルスゾーン×ピアソラ～伝統と革新～ | 登録1=ぴあ1 一致
✅ id=1939 アテフ・ハリムプロジェクト 伝統コラボレーション | 登録1=ぴあ1 一致
✅ id=1942 Quartet Explloce | 登録1=ぴあ1 一致
✅ id=1946 周防亮介（vl） | 登録1=ぴあ1 一致
✅ id=1950 田部京子（p） | 登録1=ぴあ1 一致
✅ id=1943 近藤瑠伊（vl） | 登録1=ぴあ1 一致
✅ id=1941 川口成彦（フォルテピアノ） | 登録1=ぴあ1 一致
✅ id=1940 伊藤めぐみ（p） | 登録1=ぴあ1 一致
✅ id=1951 兵庫芸術文化センター管弦楽団 第40回名曲コンサ | 登録1=ぴあ1 一致
✅ id=1953 渋谷で毎月落語会「立川志らく・柳家喬太郎二人会」 | 登録1=ぴあ1 一致
✅ id=1954 能・狂言 第18回 桂諷會 | 登録1=ぴあ1 一致
✅ id=1955 野村万作・萬斎・裕基 狂言三代の夕べ | 登録2=ぴあ2 一致
✅ id=1956 歌舞伎座 八月納涼歌舞伎 | 登録1=ぴあ1 一致
✅ id=1960 大阪フィルハーモニー交響楽団 | 登録1=ぴあ1 一致
✅ id=1958 ONEOR8「台所の女たちへ」 | 登録2=ぴあ2 一致
✅ id=1959 石川県立音楽堂25周年記念&パイプオルガンリニュ | 登録1=ぴあ1 一致
✅ id=1961 大阪フィルハーモニー交響楽団 | 登録1=ぴあ1 一致
✅ id=1964 作曲家の秘密 シーズンVII 第27回 ダリウス | 登録2=ぴあ2 一致
✅ id=1957 喬若改メ 三代目 笑福亭三喬 襲名披露公演 | 登録1=ぴあ1 一致
✅ id=1962 現田茂夫（指揮）／森麻季（S）／東京交響楽団 ク | 登録2=ぴあ2 一致
✅ id=1963 小山実稚恵（p）／下野竜也（指揮）／東京交響楽団 | 登録2=ぴあ2 一致
✅ id=1970 ギタージョイントコンサート | 登録1=ぴあ1 一致
✅ id=1976 パイプオルガンってどんな音?夏のわくわくコンサー | 登録1=ぴあ1 一致
✅ id=1974 第71回相模原でよい音楽をきく会 | 登録1=ぴあ1 一致
✅ id=1967 ファミリーバレエショー おもちゃ箱 パ★パーン! | 登録1=ぴあ1 一致
✅ id=1966 第28回友枝昭世「厳島観月能」 | 登録1=ぴあ1 一致
✅ id=1972 セントラル愛知交響楽団超!有名曲シリーズVol. | 登録2=ぴあ2 一致
✅ id=1975 豊島区管弦楽団 第102回定期演奏会 | 登録1=ぴあ1 一致
✅ id=1971 十六歳のモーツァルト 天才作曲家・加藤旭が遺した | 登録1=ぴあ1 一致
✅ id=1973 セントラル愛知交響楽団 第221回定期演奏会 「 | 登録1=ぴあ1 一致
✅ id=1969 オーケストラ・プロジェクト 2026 | 登録1=ぴあ1 一致
✅ id=1968 アレクサンドル・クリュチコ ピアノリサイタル | 登録1=ぴあ1 一致
✅ id=1977 小原孝（p） | 登録1=ぴあ1 一致
✅ id=1982 山形交響楽団 第336回定期演奏会 | 登録1=ぴあ1 一致
✅ id=1978 笑激!!お笑いカーニバルin八王子 | 登録2=ぴあ2 一致
✅ id=1983 ヴェネツィア室内合奏団コンサート～ヴィヴァルディ | 登録1=ぴあ1 一致
✅ id=1981 皆神陽太(ファゴット) | 登録1=ぴあ1 一致

=== 集計: OK 47 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 ===
