=== reconcile_pia (today=2026-08-19) 対象39件 ===

✅ id=4377 BE WONDERFUL!! | 登録2=ぴあ2 一致
✅ id=4400 MASTERPIECE 2026 | 登録1=ぴあ1 一致
✅ id=4417 2026 LEE SANG JUN SHOW 4 | 登録1=ぴあ1 一致
✅ id=4418 Osaka GLOW Glow-in-the-D | 登録1=ぴあ1 一致
✅ id=4639 二胡とピアノでめぐる名曲の旅～響きあう東西の音色 | 登録1=ぴあ1 一致
✅ id=4642 能舞台に響く琵琶の音色 ～琵琶絵巻～ 坂田美子 | 登録1=ぴあ1 一致
✅ id=4644 日本製鉄紀尾井ホール再開場記念 邦楽三昧1 | 登録1=ぴあ1 一致
✅ id=4645 日本製鉄紀尾井ホール再開場記念 邦楽三昧2 | 登録1=ぴあ1 一致
✅ id=4646 松平健 マツケンサンバ コンサート | 登録1=ぴあ1 一致
✅ id=4647 菊田雪心／Ka-mue／龍星／幻奏法師／宮田大樹 | 登録1=ぴあ1 一致
✅ id=4648 幻奏法師／IBUKI／宮田大樹／菊田雪心／縁来人 | 登録1=ぴあ1 一致
✅ id=4652 虹音／龍星／山本隼也／ひいらぎ繭 | 登録1=ぴあ1 一致
✅ id=4653 宮田大樹／末藤亜季／MuNi | 登録1=ぴあ1 一致
✅ id=4654 yuka／Enfini／にじのにじたろう／Ka- | 登録1=ぴあ1 一致
✅ id=4655 龍星／KITA坊主with石川賢次 | 登録1=ぴあ1 一致
✅ id=4656 LINKL PLANET | 登録1=ぴあ1 一致
✅ id=4657 Jazz meets Classics! -Te | 登録1=ぴあ1 一致
✅ id=4660 SAPPORO CITY JAZZ 2026 T | 登録2=ぴあ2 一致
✅ id=4662 劇団四季「オペラ座の怪人」1月／名古屋 ぴあスペ | 登録1=ぴあ1 一致
✅ id=4663 劇団四季「オペラ座の怪人」2月／名古屋 ぴあスペ | 登録1=ぴあ1 一致
✅ id=4664 劇団四季「オペラ座の怪人」3月／名古屋 ぴあスペ | 登録1=ぴあ1 一致
✅ id=4667 『Close Up -クローズ・アップ-』 | 登録1=ぴあ1 一致
✅ id=4668 劇団四季ファミリーミュージカル「はじまりの樹の神 | 登録2=ぴあ2 一致
✅ id=4669 立川吉笑独演会 | 登録1=ぴあ1 一致
✅ id=4670 桂文珍独演会 | 登録1=ぴあ1 一致
✅ id=4672 饗宴 徳島の洋舞 | 登録1=ぴあ1 一致
✅ id=4674 紀尾井らくご 柳家三三独演会 | 登録1=ぴあ1 一致
✅ id=4675 第24回 柳家三三 平日昼の独演会 質問コーナー | 登録1=ぴあ1 一致
✅ id=4676 星屑の会『星屑の町～忘却篇』 | 登録2=ぴあ2 一致
✅ id=4677 柳家の矜持 柳家花緑 柳家三三ふたり会 Vol. | 登録1=ぴあ1 一致
✅ id=4679 第23回五街道雲助独演会 -雲助冬噺- | 登録1=ぴあ1 一致
✅ id=4680 林家つる子独演会 -クリスマススペシャル- | 登録1=ぴあ1 一致
✅ id=4682 劇団四季「アラジン」2027年1月／東京 ぴあシ | 登録1=ぴあ1 一致
✅ id=4683 劇団四季「アラジン」2027年5月／東京 ぴあシ | 登録1=ぴあ1 一致
✅ id=4684 劇団四季「アラジン」2027年3月／東京 ぴあシ | 登録1=ぴあ1 一致
✅ id=4685 劇団四季「アラジン」2027年4月／東京 ぴあシ | 登録1=ぴあ1 一致
✅ id=4686 劇団四季「アラジン」2027年2月／東京 ぴあシ | 登録1=ぴあ1 一致
✅ id=4687 劇団四季「アラジン」2027年6月／東京 ぴあシ | 登録1=ぴあ1 一致
✅ id=4688 第六回『五節句の会』 ～星まつりから住吉の神へ～ | 登録1=ぴあ1 一致

=== 集計: OK 39 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 43/43 ===
