=== reconcile_pia (today=2026-09-05) 対象31件 ===

💤 id=6613 可愛いだけじゃない!?ピングー展 | 登録1枠 / ぴあ買える0枠
    ❌FETCH 無効URL(ご確認ください)=eventCd削除/差替 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669974
    💤STALE 登録「一般発売（福岡 11/21〜R9年 1/11公演）9/5 10:00発売」(2026-09-05) がぴあの買える枠に無い
✅ id=6904 五木ひろし／由紀さおり | 登録1=ぴあ1 一致
✅ id=6905 onちゃん!6チャン!アイドルまつり | 登録2=ぴあ2 一致
✅ id=6906 KYOMAF MUSIC LIVE 2026 | 登録2=ぴあ2 一致
✅ id=6907 さにこ会 vol.3 ～最強さにこ伝説「不滅」～ | 登録1=ぴあ1 一致
✅ id=6908 THE BACK HORN | 登録2=ぴあ2 一致
✅ id=6909 SINON 奇跡の歌声 ～カーペンターズコンサー | 登録1=ぴあ1 一致
✅ id=6910 城田優 | 登録2=ぴあ2 一致
✅ id=6911 SHIN SOOHYUN | 登録1=ぴあ1 一致
✅ id=6912 真・世が世なら!!! | 登録3=ぴあ3 一致
✅ id=6913 SCRUBB LIVE IN TOKYO 202 | 登録1=ぴあ1 一致
✅ id=6914 スターダスト☆レビュー〈駐車券〉 | 登録1=ぴあ1 一致
✅ id=6915 谷山浩子・猫森集会2026 | 登録1=ぴあ1 一致
✅ id=6916 CHAPTERHOUSE | 登録2=ぴあ2 一致
✅ id=6917 ツワモノたちの記憶～E.L.L50周年プロジェク | 登録1=ぴあ1 一致
✅ id=6918 DISCO Classics | 登録1=ぴあ1 一致
✅ id=6919 TOGE4 pre. TOGE TOGE | 登録1=ぴあ1 一致
✅ id=6920 怒髪天／フラワーカンパニーズ | 登録3=ぴあ3 一致
✅ id=6921 能登・金沢伝統文化復興国際芸術創造事業-饗宴する | 登録1=ぴあ1 一致
✅ id=6922 Hi-STANDARD | 登録4=ぴあ4 一致
✅ id=6923 PassCode | 登録2=ぴあ2 一致
✅ id=6924 HIMEHINA | 登録1=ぴあ1 一致
✅ id=6925 HUE with 「心の瞳合唱団」 | 登録1=ぴあ1 一致
✅ id=6926 フレデリック | 登録1=ぴあ1 一致
✅ id=6927 Base Ball Bear／蓮見翔 | 登録1=ぴあ1 一致
✅ id=6928 Miiakiis | 登録1=ぴあ1 一致
✅ id=6929 May Forth | 登録6=ぴあ6 一致
✅ id=6930 杜このみ／彩青 | 登録1=ぴあ1 一致
✅ id=6931 吉田兄弟（兄）吉田良一郎プロデュース 新・純邦楽 | 登録1=ぴあ1 一致
✅ id=6932 ルサンチマン | 登録1=ぴあ1 一致
✅ id=6933 レイラ | 登録1=ぴあ1 一致

=== 集計: OK 30 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 1 / ❌FETCH 1 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 48/48 ===
