=== reconcile_pia (today=2026-09-08) 対象154件 ===

✅ id=7187 稲垣潤一 | 登録1=ぴあ1 一致
✅ id=7188 稲垣潤一 | 登録1=ぴあ1 一致
✅ id=7189 稲垣潤一 | 登録1=ぴあ1 一致
✅ id=7190 稲垣潤一 | 登録1=ぴあ1 一致
✅ id=7191 ウルトラ寿司ふぁいやー | 登録1=ぴあ1 一致
✅ id=7192 小沼ようすけ×中川英二郎 with Specia | 登録1=ぴあ1 一致
✅ id=7194 ガラフェス ～渋谷 文化的衝撃センセーション 秋 | 登録1=ぴあ1 一致
✅ id=7195 「GirlPoP 90’s VOL1」 | 登録1=ぴあ1 一致
✅ id=7196 木村拓哉 | 登録1=ぴあ1 一致
✅ id=7197 THOU（SA）NDS 2026 | 登録1=ぴあ1 一致
✅ id=7198 THEカルテットの昭和歌謡コンサート（青葉11月 | 登録1=ぴあ1 一致
✅ id=7199 T.C.R.横浜銀蝿R.S. | 登録1=ぴあ1 一致
✅ id=7200 椎名佐千子 | 登録1=ぴあ1 一致
✅ id=7201 白井貴子 & THE CRAZY BOYS | 登録1=ぴあ1 一致
✅ id=7202 Gentle Forest Jazz Band | 登録1=ぴあ1 一致
✅ id=7206 Chage<振替公演> | 登録1=ぴあ1 一致
✅ id=7208 TOWA TEI | 登録1=ぴあ1 一致
✅ id=7211 No Centre 1 Moving Pictu | 登録1=ぴあ1 一致
✅ id=7214 氷川きよし クリスマスディナー&コンサート202 | 登録1=ぴあ1 一致
✅ id=7215 平原誠之音楽会「未来を拓く～つなぐ～」 | 登録1=ぴあ1 一致
✅ id=7216 平松愛理 | 登録1=ぴあ1 一致
✅ id=7217 平松愛理 | 登録1=ぴあ1 一致
✅ id=7219 fav me | 登録12=ぴあ12 一致
✅ id=7220 舟木一夫 | 登録1=ぴあ1 一致
✅ id=7221 古瀬ゆうきと磯谷大樹の昭和歌謡コンサート（相模1 | 登録1=ぴあ1 一致
✅ id=7222 ブレッド&バター | 登録1=ぴあ1 一致
✅ id=7223 ベリーグッドマン | 登録1=ぴあ1 一致
✅ id=7224 Base Ball Bear | 登録2=ぴあ2 一致
✅ id=7226 HOME | 登録1=ぴあ1 一致
✅ id=7227 松井秀太郎 CONCERT HALL LIVE  | 登録1=ぴあ1 一致
✅ id=7228 三山ひろし | 登録1=ぴあ1 一致
✅ id=7230 森雪之丞 50th Anniversary Mu | 登録2=ぴあ2 一致
✅ id=7231 山内総一郎 | 登録1=ぴあ1 一致
✅ id=7232 ゆあさみちる～ジャズみ～（大分） | 登録1=ぴあ1 一致
✅ id=7233 ゆあさみちる～ジャズみ～（福岡） | 登録1=ぴあ1 一致
✅ id=7234 ゆあさみちるの夜の音楽室～出張編・秋～（仙台） | 登録1=ぴあ1 一致
✅ id=7235 ゆあさみちるの夜の音楽室～出張編・秋～（熊本） | 登録1=ぴあ1 一致
✅ id=7236 桂竹千代落語会 魚津公演 | 登録1=ぴあ1 一致
✅ id=7237 桂竹千代落語会 黒部公演 | 登録1=ぴあ1 一致
✅ id=7238 加藤健一事務所 | 登録1=ぴあ1 一致
✅ id=7239 寛平GMプロデュース公演 新喜劇出前ツアー202 | 登録1=ぴあ1 一致
✅ id=7240 京都特選落語会～林家菊丸落語会～ | 登録1=ぴあ1 一致
✅ id=7241 ギンギラ太陽’s 「チョコレーツ・オブ・チロリア | 登録1=ぴあ1 一致
✅ id=7242 高校生と創る演劇『わたしの星』 | 登録1=ぴあ1 一致
✅ id=7243 三遊亭兼好 新春の平日昼の独演会 二ツ目ゲストあ | 登録1=ぴあ1 一致
✅ id=7244 三遊亭兼好独演会～よこはま落語会～ | 登録1=ぴあ1 一致
✅ id=7245 笑福亭呂鶴独演会 | 登録1=ぴあ1 一致
✅ id=7246 昭和歌謡劇「歌の銀座パラダイス♪」 | 登録1=ぴあ1 一致
✅ id=7247 ～実録ドキュメンタリー漫談～ コラアゲンはいごう | 登録1=ぴあ1 一致
✅ id=7250 タカハ劇団『プール』 | 登録1=ぴあ1 一致
✅ id=7251 第1回「琴星噺」の会 琴星・琴鶴親子会 『ミケラ | 登録1=ぴあ1 一致
✅ id=7252 第三回全力扇白 入船亭扇白落語会 | 登録1=ぴあ1 一致
✅ id=7253 第11回 神田松麻呂独演会 | 登録1=ぴあ1 一致
✅ id=7255 第四十九回なら芝能 | 登録1=ぴあ1 一致
✅ id=7257 とくい能「巻絹 神楽留」 | 登録1=ぴあ1 一致
✅ id=7258 日本列島大捜査網 THE柳沢慎吾劇場 ★ ROC | 登録4=ぴあ4 一致
✅ id=7265 ヤーレンズ×ジグザグジギーツーマンライブ其の十一 | 登録1=ぴあ1 一致
✅ id=7266 FCティアモ枚方対VONDS市原FC JFLリー | 登録1=ぴあ1 一致
✅ id=7267 MCSCラリーハイランドマスターズ2026 | 登録1=ぴあ1 一致
✅ id=7269 川口オートレース（10／4～10／7）第5特別観 | 登録1=ぴあ1 一致
✅ id=7270 川口オートレース（10／13～10／15）第5特 | 登録1=ぴあ1 一致
✅ id=7271 川口オートレース（10／4～10／7）ホールショ | 登録1=ぴあ1 一致
✅ id=7272 川口オートレース（10／13～10／15）ホール | 登録1=ぴあ1 一致
✅ id=7273 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7274 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7275 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7276 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7277 第16回 ゴッデス・オブ・スターダム ～タッグリ | 登録1=ぴあ1 一致
✅ id=7278 新日本キックボクシング | 登録1=ぴあ1 一致
✅ id=7281 千葉ロッテマリーンズ対福岡ソフトバンクホークス  | 登録1=ぴあ1 一致
✅ id=7287 横浜DeNAベイスターズ主催 ファーム・リーグ公 | 登録2=ぴあ2 一致
✅ id=7288 『映画名探偵プリキュア!不思議な庭と2人の秘密』 | 登録2=ぴあ2 一致
✅ id=7289 『縁の手紙』舞台挨拶 | 登録2=ぴあ2 一致
✅ id=7290 『ナギダイアリー』 大阪先行上映会 | 登録2=ぴあ2 一致
✅ id=7291 時代祭 | 登録1=ぴあ1 一致
✅ id=7292 全国花火師競技大会「第5回にし阿波の花火」<駐車 | 登録1=ぴあ1 一致
✅ id=7295 NAKED meets 二条城 2026 | 登録1=ぴあ1 一致
✅ id=7296 パンどろぼうひろば さっぽろ | 登録3=ぴあ3 一致
✅ id=7297 不滅の力 永井豪 -永井豪記念館リバイバル- | 登録2=ぴあ2 一致
✅ id=7298 米村でんじろう先生のドキドキわくわくサイエンスシ | 登録1=ぴあ1 一致
✅ id=7300 映像の世紀コンサート | 登録1=ぴあ1 一致
✅ id=7301 九州管楽合奏団コンサートwith福岡工業大学吹奏 | 登録1=ぴあ1 一致
✅ id=7302 煌めきの午後 バロックダンスとともに | 登録1=ぴあ1 一致
✅ id=7306 「佐渡×シエナ」ブラスの祭典2026 | 登録1=ぴあ1 一致
✅ id=7307 須川展也プロデュース・くららSpecialコンサ | 登録1=ぴあ1 一致
✅ id=7308 スピリット・オブ・ジョージア | 登録1=ぴあ1 一致
✅ id=7309 第20回声楽アンサンブルコンテスト全国大会〈1日 | 登録1=ぴあ1 一致
✅ id=7310 第20回声楽アンサンブルコンテスト全国大会〈4日 | 登録1=ぴあ1 一致
✅ id=7311 0歳～音楽と映像のファミリークラシックハロウィン | 登録1=ぴあ1 一致
✅ id=7312 反田恭平&ザルツブルク・モーツァルテウム管弦楽団 | 登録1=ぴあ1 一致
✅ id=7316 東京フィルハーモニー交響楽団 ニューイヤーコンサ | 登録1=ぴあ1 一致
✅ id=7318 西本裕矢×Kuchen Quartet | 登録1=ぴあ1 一致
✅ id=7319 日本テレマン協会 鷲見敏リサイタル バッハ「無伴 | 登録1=ぴあ1 一致
✅ id=7320 日本テレマン協会定期演奏会 高田泰治 ゴルトベル | 登録1=ぴあ1 一致
✅ id=7321 日本テレマン協会マンスリーコンサート 高田泰治ゴ | 登録1=ぴあ1 一致
✅ id=7324 ヨーヨー・マ サントリーホール40周年スペシャル | 登録2=ぴあ2 一致
✅ id=7325 レオナルド・ブラーボ ギターソロリサイタル | 登録1=ぴあ1 一致
✅ id=7326 35.7 | 登録1=ぴあ1 一致
✅ id=7328 なとり | 登録1=ぴあ1 一致
✅ id=7329 YOASOBI | 登録2=ぴあ2 一致
✅ id=7332 ACTORS☆LEAGUE in Futsal  | 登録2=ぴあ2 一致
✅ id=7333 桂宮治 全国ツアー2026 ～Remember  | 登録1=ぴあ1 一致
✅ id=7334 コンドルズ福岡スペシャル公演2026 『ノーウー | 登録1=ぴあ1 一致
✅ id=7335 ミュージカル『南くんの恋人』 | 登録1=ぴあ1 一致
✅ id=7336 万博花火プロジェクト『第5回 万博夜空がアートに | 登録2=ぴあ2 一致
✅ id=7225 細坪基佳 | 登録1=ぴあ1 一致
✅ id=7317 東京ヴィヴァルディ合奏団 | 登録1=ぴあ1 一致

=== 集計: OK 107 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 122/134 / 未照合 skip12(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
