=== reconcile_pia (today=2026-06-27) 対象44件 ===

✅ id=1445 阿部真央 | 登録1=ぴあ1 一致
✅ id=1446 HY | 登録1=ぴあ1 一致
✅ id=1447 HY | 登録1=ぴあ1 一致
✅ id=1448 Oaiko FES 2026 winter | 登録1=ぴあ1 一致
✅ id=1449 大石哲平 | 登録1=ぴあ1 一致
✅ id=1450 大橋ちっぽけ | 登録1=ぴあ1 一致
✅ id=1451 風見和香 | 登録1=ぴあ1 一致
✅ id=1455 Canna Lily | 登録1=ぴあ1 一致
✅ id=1456 KINASHI CLASSIC in SAPPO | 登録1=ぴあ1 一致
✅ id=1457 きのホ。 | 登録2=ぴあ2 一致
✅ id=1458 KUZIRA | 登録1=ぴあ1 一致
✅ id=1459 KOYUKI | 登録1=ぴあ1 一致
✅ id=1460 coldrain | 登録1=ぴあ1 一致
✅ id=1461 沢田研二 | 登録1=ぴあ1 一致
✅ id=1464 The Biscats | 登録1=ぴあ1 一致
✅ id=1465 Chevon 平安神宮 奉納 Special L | 登録1=ぴあ1 一致
✅ id=1466 GENERATIONS from EXILE T | 登録1=ぴあ1 一致
✅ id=1467 GENERATIONS from EXILE T | 登録1=ぴあ1 一致
✅ id=1468 JIJIM | 登録1=ぴあ1 一致
✅ id=1469 JAURIM | 登録1=ぴあ1 一致
✅ id=1470 CYNHN | 登録1=ぴあ1 一致
✅ id=1471 須田景凪 | 登録1=ぴあ1 一致
✅ id=1472 須田景凪 | 登録1=ぴあ1 一致
✅ id=1473 須田景凪 | 登録1=ぴあ1 一致
✅ id=1474 sumika×瑠東東一郎 CINEMA&LIVE | 登録1=ぴあ1 一致
✅ id=1475 青春のアイドルヒットステージ 松本伊代・早見優・ | 登録1=ぴあ1 一致
✅ id=1476 セカンドバッカー | 登録1=ぴあ1 一致
✅ id=1477 セカンドバッカー | 登録5=ぴあ5 一致
✅ id=1478 Soulflex | 登録1=ぴあ1 一致
✅ id=1479 象眠舎 | 登録2=ぴあ2 一致
✅ id=1480 TAGRIGHT | 登録1=ぴあ1 一致
✅ id=1481 多次元制御機構よだか | 登録1=ぴあ1 一致
✅ id=1482 多次元制御機構よだか | 登録1=ぴあ1 一致
✅ id=1483 橘ひなの | 登録1=ぴあ1 一致
✅ id=1484 TAHITI 80 | 登録1=ぴあ1 一致
✅ id=1485 Da-iCE | 登録1=ぴあ1 一致
✅ id=1486 Da-iCE | 登録1=ぴあ1 一致
✅ id=1487 CHiCO with HoneyWorks | 登録6=ぴあ6 一致
✅ id=1488 TUBE | 登録1=ぴあ1 一致
✅ id=1489 超☆社会的サンダル | 登録3=ぴあ3 一致
✅ id=1490 超☆社会的サンダル | 登録1=ぴあ1 一致
✅ id=1491 超ときめき宣伝部 | 登録1=ぴあ1 一致
✅ id=1492 超ときめき宣伝部 | 登録1=ぴあ1 一致
✅ id=1493 超PMAM | 登録1=ぴあ1 一致

=== 集計: OK 44 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 ===
