=== reconcile_pia (today=2026-07-18) 対象49件 ===

✅ id=2815 2026 SEO EUNKWANG CONCER | 登録1=ぴあ1 一致
✅ id=2816 SHIBUYA SOUND RIVERSE ～  | 登録1=ぴあ1 一致
✅ id=2817 春風亭一花真打昇進披露特別公演 | 登録1=ぴあ1 一致
✅ id=2818 こまつ座 第161回公演「兄おとうと」 | 登録1=ぴあ1 一致
✅ id=2819 神奈川フィルハーモニー管弦楽団 みなとみらいシリ | 登録2=ぴあ2 一致
✅ id=2820 特別展「躍動する明代の書 -台北・何創時コレクシ | 登録1=ぴあ1 一致
✅ id=2821 秋の四日市商店街ビアガーデン | 登録1=ぴあ1 一致
✅ id=2822 タサン志麻 特別講演会「家族と食事を楽しむ方法」 | 登録1=ぴあ1 一致
✅ id=2823 ドラゴンクエスト アイランド ゴールドチケット（ | 登録1=ぴあ1 一致
✅ id=2824 ドラゴンクエスト アイランド プレミアムオールイ | 登録1=ぴあ1 一致
✅ id=2825 ドラゴンクエスト アイランド ライトチケット（7 | 登録1=ぴあ1 一致
✅ id=2826 第43回 中国柔拳演武大会 | 登録1=ぴあ1 一致
✅ id=2827 STARDOM SILVER WEEK TOUR | 登録1=ぴあ1 一致
✅ id=2828 PURE-J女子プロレス | 登録1=ぴあ1 一致
✅ id=2829 ACEes | 登録1=ぴあ1 一致
✅ id=2830 Viento&和楽団ジャパンマーベラス | 登録1=ぴあ1 一致
✅ id=2831 Homecomings | 登録3=ぴあ3 一致
✅ id=2832 MAX | 登録1=ぴあ1 一致
✅ id=2833 松任谷由実 | 登録1=ぴあ1 一致
✅ id=2834 Yagami Toll ～64th Birthd | 登録1=ぴあ1 一致
✅ id=2835 AmBitious | 登録1=ぴあ1 一致
✅ id=2836 挾間美帆&デンマークラジオ・ビッグバンド | 登録1=ぴあ1 一致
✅ id=2837 真打の日常#3 立川吉笑独演会in高円寺 | 登録1=ぴあ1 一致
✅ id=2838 ハリウッドザコシショウのミニ単独ライブシリーズS | 登録1=ぴあ1 一致
✅ id=2839 舞台映像上映「Reライブシアター」劇団アンパサン | 登録1=ぴあ1 一致
✅ id=2840 能と箏が織りなす幽玄の世界 舞台「甚九郎稲荷物語 | 登録1=ぴあ1 一致
✅ id=2841 ゴルトベルク変奏曲2027【大阪公演】 | 登録1=ぴあ1 一致
✅ id=2842 ゴルトベルク変奏曲2027【岡山公演】 | 登録1=ぴあ1 一致
✅ id=2843 旭川明成高等学校吹奏楽部 網走公演 | 登録1=ぴあ1 一致
✅ id=2844 動き出す浮世絵展 HIROSHIMA | 登録1=ぴあ1 一致
✅ id=2845 よ～い!スターと!トビダスクール 夏の遠足(えん | 登録1=ぴあ1 一致
✅ id=2846 【WEリーグ】セレッソ大阪ヤンマーレディース対ア | 登録1=ぴあ1 一致
✅ id=2847 栃木SC対ツエーゲン金沢 明治安田J3リーグ | 登録3=ぴあ3 一致
✅ id=2848 荒谷翔大 | 登録1=ぴあ1 一致
✅ id=2849 舞台「てらこや青義堂 師匠、走る」 | 登録1=ぴあ1 一致
✅ id=2850 第41回 なとり夏まつり 大花火大会 | 登録2=ぴあ2 一致
✅ id=2851 テゲバジャーロ宮崎対横浜FC 2026／27明治 | 登録1=ぴあ1 一致
✅ id=2852 大橋トリオ | 登録1=ぴあ1 一致
⚠️ id=2854 GRe4N BOYZ | 登録31枠 / ぴあ買える31枠
    ⚠️DROP 解析不能 [発売前] when='' | 一般発売【島根公演】． ／ ＧＲｅ４Ｎ ＢＯＹＺ
    ⚠️DROP 解析不能 [発売前] when='' | 一般発売【岡山公演】． ／ ＧＲｅ４Ｎ ＢＯＹＺ
✅ id=2855 K. and his RADIO Vol.2 ～ | 登録1=ぴあ1 一致
🚨 id=2856 GAME MUSIC JAM | 登録0枠 / ぴあ買える1枠
    🚨MISSING ぴあに [受付中] 〜7/19 23:59 (2026-07-19) があるが登録に無い | 当日引換券＜７／１９（日）・２０（月）公演＞ ／ ＧＡＭＥ ＭＵＳＩＣ ＪＡＭ
✅ id=2857 ここが俺らの夢番地!!-白壁の街編- | 登録1=ぴあ1 一致
✅ id=2858 ここが俺らの夢番地!!-ニホンカワウソの街編- | 登録1=ぴあ1 一致
❌ id=2859 サイダーガール | 登録2枠 / ぴあ買える3枠
✅ id=2860 Cybertokyo -Day Edition- | 登録1=ぴあ1 一致
✅ id=2861 THE YELLOW MONKEY | 登録1=ぴあ1 一致
✅ id=2862 清水翔太 | 登録1=ぴあ1 一致
✅ id=2863 新東京 | 登録4=ぴあ4 一致
✅ id=2864 JIJIM | 登録1=ぴあ1 一致

=== 集計: OK 46 / 🚨MISSING 1 / ⚠️DROP 2 / 💤STALE 0 / ❌FETCH 0 ===
→ 🚨/⚠️ は取りこぼし。該当エントリをぴあ機械パースで枠追加して修正すること。
