=== reconcile_pia (today=2026-08-07) 対象50件 ===

✅ id=3877 androp | 登録1=ぴあ1 一致
✅ id=3878 海援隊 | 登録1=ぴあ1 一致
✅ id=3879 カキンツハルカ | 登録1=ぴあ1 一致
✅ id=3880 語りのバンドマン 2026 | 登録2=ぴあ2 一致
✅ id=3881 XANVALA PRESENTS “VASALA | 登録1=ぴあ1 一致
✅ id=3882 Juice=Juice | 登録1=ぴあ1 一致
✅ id=3883 宝くじ文化公演「オーケストラで歌う青春ときめきラ | 登録1=ぴあ1 一致
✅ id=3884 Dabda | 登録4=ぴあ4 一致
✅ id=3885 TenTwenty | 登録1=ぴあ1 一致
✅ id=3886 トンボコープ | 登録2=ぴあ2 一致
✅ id=3887 BANRiC still on the road | 登録1=ぴあ1 一致
✅ id=3888 南大阪オカリナフェスタ2026 | 登録1=ぴあ1 一致
✅ id=3889 Maverick Mom | 登録1=ぴあ1 一致
✅ id=3890 meli melo osaka in toyon | 登録2=ぴあ2 一致
✅ id=3891 THE MODS | 登録2=ぴあ2 一致
✅ id=3892 夜の本気ダンス | 登録5=ぴあ5 一致
✅ id=3893 渡辺満里奈 | 登録1=ぴあ1 一致
✅ id=3894 加藤ミリヤ | 登録1=ぴあ1 一致
✅ id=3895 松平健 | 登録1=ぴあ1 一致
✅ id=3896 伊藤蘭 クリスマスディナー&コンサート | 登録1=ぴあ1 一致
✅ id=3897 鈴木雅之 2026 X’mas Private  | 登録1=ぴあ1 一致
✅ id=3898 有頂天 ワンマンライブ | 登録1=ぴあ1 一致
✅ id=3899 MISIA | 登録1=ぴあ1 一致
✅ id=3900 藤間勘十郎プロデュース「岡崎市民歌舞伎特別公演」 | 登録1=ぴあ1 一致
✅ id=3901 山里亮太の140 大阪公演～相生橋慕情～ | 登録1=ぴあ1 一致
✅ id=3902 山里亮太の140 沖縄公演～いつも何度でも～ | 登録1=ぴあ1 一致
✅ id=3903 2026中日寄席 月亭方正・桂空治 二人会 | 登録1=ぴあ1 一致
✅ id=3904 2026中日寄席 柳家さん喬・喬太郎 親子会 | 登録1=ぴあ1 一致
✅ id=3905 東京バレエ団 ベジャールの「くるみ割り人形」 全 | 登録2=ぴあ2 一致
✅ id=3906 ヨーロッパ企画特別興行「世界の終わりかけとスリー | 登録1=ぴあ1 一致
✅ id=3907 桂三度日本公演～桂三度入門十五周年記念祭～ | 登録1=ぴあ1 一致
✅ id=3908 第61回ひなたの会 真打昇進記念公演 ～雷門五郎 | 登録1=ぴあ1 一致
✅ id=3909 劇団わらび座 イーハトーブシアター「真昼の星めぐ | 登録1=ぴあ1 一致
✅ id=3910 大槻能楽堂自主公演能 企画公演 今みたい能 リク | 登録1=ぴあ1 一致
✅ id=3911 第128回板橋落語会 | 登録1=ぴあ1 一致
✅ id=3912 立川さぎ志 二度目の明治座 | 登録1=ぴあ1 一致
✅ id=3913 オーケストラで聴くアニメ音楽の世界～ディズニー・ | 登録1=ぴあ1 一致
✅ id=3914 大河ドラマ「豊臣兄弟!」コンサート | 登録3=ぴあ3 一致
✅ id=3915 務川慧悟（p） | 登録2=ぴあ2 一致
✅ id=3916 ライナー・ホーネック（vl）／菊池洋子（p） | 登録1=ぴあ1 一致
✅ id=3917 堀米ゆず子（vl）／パヴェル・ゴムツィアコフ（v | 登録1=ぴあ1 一致
✅ id=3918 ウィーン・フィルハーモニー管弦楽団 ウィンナホル | 登録1=ぴあ1 一致
✅ id=3919 MANSAI FANTASY BOX 野村萬斎  | 登録1=ぴあ1 一致
✅ id=3920 宮本笑里リサイタルツアー2026-2027 | 登録1=ぴあ1 一致
✅ id=3921 大阪桐蔭高等学校吹奏楽部 特別公演 in 福井 | 登録1=ぴあ1 一致
✅ id=3922 大阪桐蔭高等学校吹奏楽部 特別公演 in 大和郡 | 登録1=ぴあ1 一致
✅ id=3923 光が死んだ夏展 福岡会場 | 登録3=ぴあ3 一致
✅ id=3924 プレバト才能アリ展 | 登録2=ぴあ2 一致
✅ id=3925 Mozu ミニチュア展 ようこそ、ちいさな世界へ | 登録5=ぴあ5 一致
✅ id=3926 ジャパン・ビアフェスティバル横浜2026 | 登録1=ぴあ1 一致

=== 集計: OK 50 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 68/72 / 未照合 skip4(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
