== id1 さだまさしコンサートツアー2026 神さまの言うとおり | pref=千葉・愛知 | date=2026-11-25
   [表示] プリセール（愛知 11/24〜11/25公演）8/31 10:00発売 | 2026-08-31 | event/event.do?eventCd=2631052
   [表示] 一般発売（千葉 11/8公演）9/4 10:00発売 | 2026-09-04 | event/event.do?eventCd=2627015
   [表示] 一般発売（愛知 11/24〜11/25公演）9/26 10:00発売 | 2026-09-26 | event/event.do?eventCd=2631052
   [非表示] 2次受付（岩手・宮城 10/25〜10/27公演）〜7/28 11:00 | 2026-07-28 | vent.do?eventBundleCd=b2667141
   [表示] 一般発売（北海道 9/28公演）〜9/27 23:59 | 2026-09-27 | vent.do?eventBundleCd=b2667141
   [非表示] 一般発売.（山梨 8/23公演）〜8/22 23:59 | 2026-08-22 | event/event.do?eventCd=2616209
   [表示] 一般発売.（静岡 8/25公演）〜8/24 23:59 | 2026-08-24 | event/event.do?eventCd=2616209
   [表示] 先行（石川・福井 11/3〜11/5公演）〜8/24 11:00 | 2026-08-24 | event/event.do?eventCd=2628913
   [表示] 先行（福岡・大分 11/13〜11/15公演）〜8/30 23:59 | 2026-08-30 | vent.do?eventBundleCd=b2667141
   [表示] 一般発売（石川・福井 11/3〜11/5公演）9/19 10:00発売 | 2026-09-19 | event/event.do?eventCd=2628913
   [非表示] 一般発売（岩手・宮城 10/25〜10/27公演）8/22 10:00発売 | 2026-08-22 | event/event.do?eventCd=2622165
   [非表示] 一般発売（山口 10/17公演）8/22 10:00発売 | 2026-08-22 | event/event.do?eventCd=2625620
   [非表示] 一般発売（広島 10/18公演）8/22 10:00発売 | 2026-08-22 | event/event.do?eventCd=2625620
   [表示] 一般発売（山口 10/17公演）〜10/1 23:59 | 2026-10-01 | event/event.do?eventCd=2625620
   [表示] 一般発売（岩手・宮城 10/25〜10/27公演）〜10/24 23:59 | 2026-10-24 | event/event.do?eventCd=2622165
== id277 劇団四季『アラジン』東京公演 | pref=東京 | date=2027-06-27
   [表示] 一般発売（東京 R9年 1/2〜1/31公演）8/23 10:00発売 | 2026-08-23 | event/event.do?eventCd=2631225
   [表示] 一般発売（東京 R9年 2/6〜2/28公演）8/23 10:00発売 | 2026-08-23 | event/event.do?eventCd=2631227
   [表示] 一般発売（東京 R9年 3/6〜3/31公演）8/23 10:00発売 | 2026-08-23 | event/event.do?eventCd=2631230
   [表示] 一般発売（東京 R9年 4/1〜4/29公演）8/23 10:00発売 | 2026-08-23 | event/event.do?eventCd=2631231
   [表示] 一般発売（東京 R9年 5/1〜5/30公演）8/23 10:00発売 | 2026-08-23 | event/event.do?eventCd=2631232
   [表示] 一般発売（東京 R9年 6/5〜6/27公演）8/23 10:00発売 | 2026-08-23 | event/event.do?eventCd=2631233
   [表示] 一般発売（東京 8/1〜8/30公演）〜8/30 12:15 | 2026-08-30 | event/event.do?eventCd=2604908
   [表示] 一般発売（東京 9/4〜9/27公演）〜9/27 12:15 | 2026-09-27 | event/event.do?eventCd=2604935
   [表示] 一般発売（東京 10/1〜10/31公演）〜10/31 12:15 | 2026-10-31 | event/event.do?eventCd=2604938
   [表示] 一般発売（東京 11/1〜11/18公演）〜11/18 12:45 | 2026-11-18 | event/event.do?eventCd=2604942
   [表示] 一般発売（東京 12/10〜12/31公演）〜12/31 12:45 | 2026-12-31 | event/event.do?eventCd=2605350
   [非表示] 東京5月公演（5/2〜5/31） 一般発売 | 2026-05-31 | -
   [非表示] 東京6月公演（6/5〜6/28） 一般発売 | 2026-06-28 | -
   [非表示] 東京7月公演（7/3〜7/31） 一般発売 | 2026-07-31 | -
   [表示] 東京8月公演（8/1〜8/30） 一般発売 | 2026-08-30 | -
   [表示] 東京9月公演（9/4〜9/27） 一般発売 | 2026-09-27 | -
   [表示] 東京10月公演（10/1〜10/31） 一般発売 | 2026-10-31 | -
   [表示] 東京11月公演（11/1〜11/18） 一般発売 | 2026-11-18 | -
   [表示] 東京12月公演（12/10〜12/31） 一般発売 | 2026-12-31 | -
== id529 華原朋美 全国ツアー 2026 | pref=全国 | date=2027-03-07
