lg=01 total=291 pages=30
parsed items: 233 (fetched up to page 31)
already in DB (eventCd一致): 164 | NOT in DB (new candidates): 69
  うち 36件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf01.json
 NEW |  | 藍井エイル | 2026/11/28(土) | 北海道
 NEW |  | 杏里 | 2026/11/10(火) | 北海道
 NEW |  | 市川由紀乃 | 2026/9/13(日) | 北海道
 NEW |  | eastern youth | 2026/12/12(土) | 北海道
 NEW |  | ＨＹ | 2026/10/10(土) | 北海道
 NEW |  | EverBrighteller | 2026/8/22(土) ～ 2026/10 | 北海道／宮城県／東京都／神奈川県／京都府／大阪府
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | ｎ．ＳＳｉｇｎ | 2026/10/15(木) | 北海道
 NEW |  | AK-69 | 2026/10/10(土) | 北海道
 NEW |  | 奥華子 | 2026/11/19(木) | 北海道
 NEW |  | 小椋佳 | 2026/9/28(月) | 北海道
 NEW |  | Ochunism | 2026/11/1(日) | 北海道
 NEW |  | HONEST | 2026/9/19(土) | 北海道
 NEW |  | オレンジスパイニクラブ | 2026/10/31(土) | 北海道
 NEW |  | Organic Call | 2026/9/20(日) | 北海道
 NEW |  | 金子智也 | 2026/11/14(土) ～ 2026/1 | 北海道
 NEW |  | かりゆし５８ | 2026/11/12(木) | 北海道
 NEW |  | ９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ | 2026/10/9(金) | 北海道
 NEW |  | クミコ | 2026/10/8(木) | 北海道
 NEW |  | Cloudy | 2026/11/1(日) | 北海道
 NEW |  | KOTORI pre.“12” Tour | 2026/9/19(土) | 北海道
 NEW |  | KOHAKU | 2026/9/4(金) ～ 2026/9/1 | 北海道／宮城県／東京都／愛知県／大阪府
 NEW |  | 金剛山歌劇団公演２０２６「メアリ－希望のこだま－ | 2026/10/27(火) | 北海道
 NEW |  | サニーデイ・サービス | 2026/9/18(金) | 北海道
 NEW |  | THE YELLOW MONKEY | 2026/9/26(土) | 北海道
