lg=01 total=65 pages=7
parsed items: 54 (fetched up to page 8)
already in DB (eventCd一致): 30 | NOT in DB (new candidates): 24
  うち 12件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf07.json
 NEW |  | アナタ・ボリビア | 2026/10/27(火) | 福島県
 NEW |  | September JAM(ARTS／風とロック | 2026/9/21(月・祝) ～ 2026/ | 福島県
 NEW |  | 因幡晃 | 2026/11/15(日) | 福島県
 NEW |  | AK-69 | 2026/11/29(日) | 福島県
 NEW |  | オカモトショウ | 2026/9/13(日) | 福島県
 NEW |  | オレンジスパイニクラブ | 2026/11/14(土) ・ 2026/1 | 岩手県／宮城県／福島県
 NEW |  | 風とロック芋煮会ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ | 2026/9/21(月・祝) | 福島県
 NEW |  | 風とロック芋煮会ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ | 2026/9/21(月・祝) ・ 2026/ | 福島県
 NEW |  | 風とロック芋煮会ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ | 2026/9/21(月・祝) | 福島県
 NEW |  | 片桐（Ｈａｋｕｂｉ） | 2026/9/22(火・祝) ・ 2026/ | 岩手県／福島県
 NEW |  | ９／２３（水・祝）オハラ☆ブレイク’２６秋－芋煮 | 2026/9/23(水・祝) | 福島県
 NEW |  | 近藤真彦 | 2026/10/31(土) | 福島県
 NEW |  | Ｓａｉｇｅｎｊｉ Ｓｏｌｏ Ｌｉｖｅ ｉｎ Ｓｕ | 2026/9/19(土) | 福島県
 NEW |  | ザ・レジェンダリー・カウント・ベイシー・オーケス | 2026/11/3(火・祝) | 福島県
 NEW |  | 竹原ピストル | 2026/9/30(水) | 福島県
 NEW |  | ＴＲＡｅＬＬ | 2026/10/17(土) | 福島県
 NEW |  | 花冷え。 | 2026/9/26(土) | 福島県
 NEW |  | ハラミちゃん | 2026/10/12(月・祝) | 福島県
 NEW |  | 舟木一夫 | 2026/11/10(火) ・ 2026/1 | 福島県／栃木県
 NEW |  | フラワーカンパニーズ | 2026/9/21(月・祝) | 福島県
 NEW |  | THE FRANK VOX | 2026/9/26(土) ・ 2026/9/ | 宮城県／福島県
 NEW |  | ＰＥＤＲＯ | 2027/1/8(金) | 福島県
 NEW |  | ｍｉｌｅｔ | 2026/10/25(日) | 福島県
 NEW |  | 元ｃｌａｓｓ 日浦孝則ライブツアー２０２６ 福島 | 2026/9/13(日) | 福島県
