lg=01 total=49 pages=5
parsed items: 48 (fetched up to page 6)
already in DB (eventCd一致): 27 | NOT in DB (new candidates): 21
  うち 11件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf09.json
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | KOTORI pre.“12” Tour | 2026/8/7(金) ・ 2026/9/3 | 栃木県／埼玉県／東京都
 NEW |  | 斉藤和義 | 2026/10/11(日) | 栃木県
 NEW |  | CiON | 2026/11/3(火・祝) | 栃木県
 NEW |  | 鈴木雅之 | 2026/10/10(土) | 栃木県
 NEW |  | 世良公則 | 2026/11/3(火・祝) | 栃木県
 NEW |  | Ｓｏａｌａ | 2026/11/8(日) | 栃木県
 NEW |  | SALT&SUGAR(Pf.塩谷哲&Vo.佐藤竹 | 2026/9/26(土) | 栃木県
 NEW |  | 棚瀬敬太１５周年記念コンサート | 2026/11/14(土) | 栃木県
 NEW |  | つきみ | 2026/4/26(日) ～ 2027/1/ | 北海道／宮城県／茨城県／栃木県／千葉県／新潟県／石川県／静岡県／愛知県／京都府／大阪府／兵庫県／広島県／香川県／高知県／福岡県
 NEW |  | 東儀秀樹／東儀典親 | 2026/9/27(日) | 栃木県
 NEW |  | 「ドラゴンクエスト」ウインドオーケストラコンサー | 2026/12/6(日) | 栃木県
 NEW |  | 中島卓偉 | 2026/12/26(土) | 栃木県
 NEW |  | ハラミちゃん | 2026/11/15(日) | 栃木県
 NEW |  | 舟木一夫 | 2026/11/10(火) ・ 2026/1 | 福島県／栃木県
 NEW |  | THE FRANK VOX | 2026/6/13(土) ～ 2026/10 | 栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県
 NEW |  | 元ｃｌａｓｓ 日浦孝則ライブツアー２０２６ 宇都 | 2026/9/11(金) | 栃木県
 NEW |  | モニカ・メサ | 2026/10/17(土) | 栃木県
 NEW |  | reGretGirl | 2026/10/25(日) | 栃木県
 NEW |  | Rayflower | 2026/9/12(土) ・ 2026/9/ | 茨城県／栃木県
 NEW |  | 渡辺真知子 | 2026/10/11(日) | 栃木県
