lg=01 total=980 pages=98
parsed items: 854 (fetched up to page 99)
already in DB (eventCd一致): 517 | NOT in DB (new candidates): 337
  うち 137件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf13.json
 NEW |  | 藍井エイル | 2026/12/24(木) | 東京都
 NEW |  | 秋の定期公演「フォークソングでやんす」六角精児バ | 2026/9/25(金) | 東京都
 NEW |  | 亜咲花 | 2026/10/11(日) | 東京都
 NEW |  | あたらよ | 2026/9/18(金) | 東京都
 NEW |  | ＡＳＨ | 2026/9/18(金) | 東京都
 NEW |  | ＡＮＩＭＡＸ ＭＵＳＩＸ ＮＥＸＴＡＧＥ ２０２ | 2026/9/11(金) | 東京都
 NEW |  | あの素晴しい歌をもう一度コンサート２０２６東京 | 2026/9/18(金) | 東京都
 NEW |  | Ａ Ｐｅｒｆｅｃｔ Ｃｉｒｃｌｅ／Ｐｕｓｃｉｆｅ | 2026/12/15(火) | 東京都
 NEW |  | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | ANN WILSON | 2026/11/17(火) | 東京都
 NEW |  | Unlucky Morpheus | 2026/11/17(火) | 東京都
 NEW |  | 杏里 | 2026/10/24(土) | 東京都
 NEW |  | ＡＶＥＮＧＥＤ ＳＥＶＥＮＦＯＬＤ | 2026/9/30(水) | 東京都
 NEW |  | 石川さゆりコンサート ～極上のアンサンブル～ | 2026/11/15(日) | 東京都
 NEW |  | 五木ひろし | 2026/10/3(土) | 東京都
 NEW |  | 稲垣潤一 | 2026/9/12(土) | 東京都
 NEW |  | 伊波杏樹 | 2026/9/19(土) | 東京都
 NEW |  | eastern youth | 2026/12/19(土) | 東京都
 NEW |  | イーダ・エリナ東京コンサート２０２６ | 2026/12/5(土) | 東京都
 NEW |  | ＷＥＥＫＥＮＤ ＬＯＶＥＲＳ Ｂｅｇｉｎｓ | 2026/9/24(木) | 東京都
 NEW |  | 梅田サイファー | 2026/9/20(日) | 東京都
 NEW |  | UVERworld | 2026/9/25(金) ～ 2026/12 | 東京都／神奈川県／大阪府／和歌山県／福岡県
 NEW |  | 江戸Jazz 2026 | 2026/9/25(金) | 東京都
 NEW |  | EverBrighteller | 2026/8/22(土) ～ 2026/10 | 北海道／宮城県／東京都／神奈川県／京都府／大阪府
 NEW |  | ＦＳ．ＳＥＳＳＩＯＮ | 2026/9/11(金) | 東京都
