lg=01 total=88 pages=9
parsed items: 79 (fetched up to page 10)
already in DB (eventCd一致): 51 | NOT in DB (new candidates): 28
  うち 20件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf22.json
 NEW |  | AK-69 | 2026/10/24(土) | 静岡県
 NEW |  | Ochunism | 2026/11/15(日) | 静岡県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | かりゆし５８ | 2026/12/9(水) | 静岡県
 NEW |  | キュウソネコカミ | 2027/1/16(土) | 静岡県
 NEW |  | kurage | 2026/10/24(土) | 静岡県
 NEW |  | こどもの夢いっぱいコンサート２０２６ 静岡 | 2026/11/3(火・祝) | 静岡県
 NEW |  | 斉藤和義 | 2026/10/29(木) | 静岡県
 NEW |  | 沢田研二 | 2026/9/13(日) | 静岡県
 NEW |  | 清水ミチコ | 2026/9/22(火・祝) | 静岡県
 NEW |  | ＳＨＥ’Ｓ | 2026/9/27(日) | 静岡県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/9/11(金) | 静岡県
 NEW |  | つきみ | 2026/4/26(日) ～ 2027/1/ | 北海道／宮城県／茨城県／栃木県／千葉県／新潟県／石川県／静岡県／愛知県／京都府／大阪府／兵庫県／広島県／香川県／高知県／福岡県
 NEW |  | 徳永ゆうき | 2026/11/5(木) | 静岡県
 NEW |  | 突破口 | 2026/9/19(土) | 静岡県
 NEW |  | 中島卓偉 | 2026/12/6(日) | 静岡県
 NEW |  | 長渕剛 | 2026/9/13(日) | 静岡県
 NEW |  | ２０２６昭和１０１年音街巡旅 | 2026/6/2(火) ～ 2026/10/ | 青森県／東京都／神奈川県／静岡県／愛知県／三重県／京都府／大阪府／高知県／福岡県／大分県／鹿児島県／沖縄県
 NEW |  | 花冷え。 | 2026/11/1(日) | 静岡県
 NEW |  | ハラミちゃん | 2026/10/18(日) | 静岡県
 NEW |  | ばってん少女隊 | 2026/10/12(月・祝) | 静岡県
 NEW |  | Ｍｙ Ｌｉｔｔｌｅ Ｌｏｖｅｒ ☆ Ａｋｋｏ Ｂ | 2026/11/7(土) | 静岡県
 NEW |  | 松原健之 | 2026/9/30(水) | 静岡県
 NEW |  | ＭＹＴＨ＆ＲＯＩＤ | 2026/11/1(日) | 静岡県
 NEW |  | MAYSON's PARTY | 2026/10/12(月・祝) | 静岡県
