lg=01 total=26 pages=3
parsed items: 24 (fetched up to page 4)
already in DB (eventCd一致): 12 | NOT in DB (new candidates): 12
  うち 8件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf24.json
 NEW |  | ＡＳＫＡ | 2026/10/12(月・祝) | 三重県
 NEW |  | アンジュルム | 2026/9/26(土) | 三重県
 NEW |  | AK-69 | 2026/12/19(土) | 三重県
 NEW |  | 押尾コータロー | 2026/10/3(土) | 三重県
 NEW |  | 木村家ファミリーコンサート２０２６ | 2026/11/11(水) ・ 2026/1 | 愛知県／三重県
 NEW |  | 近藤真彦 | 2026/11/14(土) | 三重県
 NEW |  | スターダスト☆レビュー | 2026/10/4(日) | 三重県
 NEW |  | 長渕剛 | 2026/9/26(土) | 三重県
 NEW |  | ２０２６昭和１０１年音街巡旅 | 2026/6/2(火) ～ 2026/10/ | 青森県／東京都／神奈川県／静岡県／愛知県／三重県／京都府／大阪府／高知県／福岡県／大分県／鹿児島県／沖縄県
 NEW |  | THE FRANK VOX | 2026/7/5(日) ・ 2026/7/1 | 岐阜県／愛知県／三重県
 NEW |  | 三山ひろし | 2026/12/2(水) | 三重県
 NEW |  | ラ・スペランザ | 2026/9/26(土) ～ 2026/10 | 愛知県／三重県
