lg=01 total=33 pages=4
parsed items: 32 (fetched up to page 5)
already in DB (eventCd一致): 19 | NOT in DB (new candidates): 13
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf29.json
 NEW |  | KUZIRA | 2026/9/28(月) | 奈良県
 NEW |  | ＣＨＥＭＩＳＴＲＹ | 2026/9/12(土) ・ 2026/9/ | 兵庫県／奈良県
 NEW |  | 斉藤和義 | 2026/11/8(日) | 奈良県
 NEW |  | 彩・恋・歌コンサート２０２６ | 2026/9/28(月) ・ 2026/9/ | 大阪府／奈良県
 NEW |  | 沢田研二 | 2026/11/2(月) | 奈良県
 NEW |  | the band apart | 2026/12/6(日) | 奈良県
 NEW |  | 高瀬統也 | 2026/12/19(土) | 奈良県
 NEW |  | 辰巳ゆうと | 2026/11/20(金) | 奈良県
 NEW |  | ハラミちゃん | 2026/11/28(土) ・ 2026/1 | 京都府／奈良県
 NEW |  | THE FRANK VOX | 2026/7/11(土) ～ 2026/10 | 滋賀県／京都府／兵庫県／奈良県
 NEW |  | 三山ひろし | 2026/10/7(水) ・ 2026/10 | 大阪府／奈良県
 NEW |  | Ｌｉｔｔｌｅ Ｇｌｅｅ Ｍｏｎｓｔｅｒ | 2026/11/14(土) | 奈良県
 NEW |  | Rayflower | 2026/10/6(火) ～ 2026/11 | 京都府／兵庫県／奈良県／和歌山県
