lg=01 total=28 pages=3
parsed items: 28 (fetched up to page 4)
already in DB (eventCd一致): 16 | NOT in DB (new candidates): 12
  うち 6件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf39.json
 NEW |  | アナタ・ボリビア | 2026/10/19(月) ～ 2026/1 | 徳島県／香川県／愛媛県／高知県
 NEW |  | キュウソネコカミ | 2027/1/30(土) | 高知県
 NEW |  | KUZIRA | 2026/9/21(月・祝) | 高知県
 NEW |  | ここが俺らの夢番地！！－ニホンカワウソの街編－ | 2026/10/11(日) | 高知県
 NEW |  | 鈴木雅之 | 2026/10/22(木) | 高知県
 NEW |  | ストバイのＯ Ｎ Ｅ Ｓ Ｏ Ｕ Ｎ Ｄ Ｄ Ａ | 2026/9/20(日) | 高知県
 NEW |  | つきみ | 2026/4/26(日) ～ 2027/1/ | 北海道／宮城県／茨城県／栃木県／千葉県／新潟県／石川県／静岡県／愛知県／京都府／大阪府／兵庫県／広島県／香川県／高知県／福岡県
 NEW |  | 鶴 | 2026/9/26(土) ・ 2026/9/ | 愛媛県／高知県
 NEW |  | デラックス×デラックス | 2026/11/14(土) ・ 2026/1 | 香川県／高知県
 NEW |  | ２０２６昭和１０１年音街巡旅 | 2026/6/2(火) ～ 2026/10/ | 青森県／東京都／神奈川県／静岡県／愛知県／三重県／京都府／大阪府／高知県／福岡県／大分県／鹿児島県／沖縄県
 NEW |  | ハルカミライ | 2026/9/19(土) | 高知県
 NEW |  | 半崎美子 | 2026/10/3(土) ～ 2026/10 | 愛媛県／高知県
