lg=01 total=45 pages=5
parsed items: 40 (fetched up to page 6)
already in DB (eventCd一致): 27 | NOT in DB (new candidates): 13
  うち 6件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf43.json
 NEW |  | 藍井エイル | 2026/10/24(土) | 熊本県
 NEW |  | AK-69 | 2027/1/30(土) | 熊本県
 NEW |  | 影山ヒロノブ | 2026/9/6(日) ・ 2026/9/2 | 京都府／熊本県
 NEW |  | 近藤真彦 | 2026/9/27(日) | 熊本県
 NEW |  | シューク・フラッシュ！ | 2026/9/25(金) | 熊本県
 NEW |  | 鶴 | 2026/9/22(火・祝) | 熊本県
 NEW |  | 半崎美子 | 2026/11/25(水) ・ 2026/1 | 福岡県／熊本県／宮崎県
 NEW |  | ＴＨＥ ＢＥＡＴ ＧＡＲＤＥＮ | 2026/9/19(土) | 熊本県
 NEW |  | maya ongaku | 2026/10/16(金) ～ 2026/1 | 山梨県／長野県／愛知県／兵庫県／岡山県／福岡県／熊本県
 NEW |  | 横山裕 | 2026/9/11(金) | 熊本県
 NEW |  | ＲＯＴＴＥＮＧＲＡＦＦＴＹ | 2026/10/31(土) | 熊本県
 NEW |  | 渡辺貞夫カルテット2026 | 2026/11/3(火・祝) ・ 2026/ | 長崎県／熊本県
 NEW |  | WANIMA presents 1CHANCE  | 2026/9/26(土) ～ 2026/9/ | 熊本県
