lg=01 total=54 pages=6
parsed items: 47 (fetched up to page 7)
already in DB (eventCd一致): 28 | NOT in DB (new candidates): 19
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/01_pf47.json
 NEW |  | OURSONGS IN THE PARK 202 | 2026/11/14(土) | 沖縄県
 NEW |  | アン・サリー | 2026/11/7(土) | 沖縄県
 NEW |  | 杏里 | 2026/12/13(日) | 沖縄県
 NEW |  | AK-69 | 2027/2/14(日) | 沖縄県
 NEW |  | かりゆし５８ | 2026/12/20(日) | 沖縄県
 NEW |  | サニーデイ・サービス | 2026/10/23(金) | 沖縄県
 NEW |  | 下津光史（踊ってばかりの国） | 2026/9/25(金) | 沖縄県
 NEW |  | 鈴木雅之 | 2026/11/22(日) | 沖縄県
 NEW |  | 鶴 | 2026/10/6(火) | 沖縄県
 NEW |  | Ｔｅｅｃｈｉ | 2026/10/25(日) | 沖縄県
 NEW |  | デラックス×デラックス | 2026/12/12(土) | 沖縄県
 NEW |  | ２０２６昭和１０１年音街巡旅 | 2026/6/2(火) ～ 2026/10/ | 青森県／東京都／神奈川県／静岡県／愛知県／三重県／京都府／大阪府／高知県／福岡県／大分県／鹿児島県／沖縄県
 NEW |  | 浜田真理子 | 2026/11/5(木) | 沖縄県
 NEW |  | ハラミちゃん | 2026/9/27(日) | 沖縄県
 NEW |  | ベリーグッドマン | 2026/9/13(日) | 沖縄県
 NEW |  | 細坪基佳 | 2026/10/16(金) | 沖縄県
 NEW |  | 松前ひろ子／三山ひろし | 2026/9/26(土) ・ 2026/9/ | 沖縄県
 NEW |  | 吉田兄弟 | 2026/10/3(土) | 沖縄県
 NEW |  | 琉球フェスティバル2026 | 2026/9/23(水・祝) | 沖縄県
