lg=02 total=31 pages=4
parsed items: 31 (fetched up to page 5)
already in DB (eventCd一致): 18 | NOT in DB (new candidates): 13
  うち 2件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/02_pf17.json
 NEW |  | 桂宮治 全国ツアー ２０２６ ～Ｒｅｍｅｍｂｅｒ | 2027/1/17(日) | 石川県
 NEW |  | 公開ケイコ！２０２６～演出：山崎彬編～ | 2026/10/24(土) | 石川県
 NEW |  | Ｇｏｌｐｅ２０２６ | 2026/9/23(水・祝) | 石川県
 NEW |  | 第１０回全国バレエコンクール プリ・ド・カナザワ | 2026/9/20(日) ・ 2026/9/ | 石川県
 NEW |  | チュートリアルライブ「荒波の日本海ツアー」 | 2026/7/4(土) ～ 2026/12/ | 青森県／秋田県／新潟県／石川県／京都府／島根県／長崎県
 NEW |  | ＣＨＯＣＯＬＡＴＥ ＰＬＡＮＥＴ ＬＩＶＥ ＴＯ | 2026/8/6(木) ～ 2026/9/2 | 北海道／秋田県／福島県／東京都／石川県／愛知県／京都府／山口県／高知県／長崎県／沖縄県
 NEW |  | トム・プロジェクト プロデュース 舞台「沼の中の | 2026/10/10(土) | 石川県
 NEW |  | 人形浄瑠璃 文楽 | 2026/10/4(日) | 石川県
 NEW |  | NON STYLE LIVE 2026 ～リバー | 2026/10/24(土) ～ 2026/1 | 北海道／東京都／石川県／滋賀県／大阪府／香川県
 NEW |  | 坂東玉三郎・春風亭小朝の越路吹雪物語 | 2026/11/26(木) | 石川県
 NEW |  | 舞台「わが町」 | 2026/10/31(土) ～ 2026/1 | 石川県
 NEW |  | 村上ショージ全国ツアー～小さな笑いを全国に～ | 2026/7/19(日) ～ 2026/12 | 山形県／石川県／静岡県／滋賀県／山口県／長崎県
 NEW |  | Ｌｏｖｅ Ｍｅ Ｄｏの開運・占いトークライブ！『 | 2026/9/19(土) ～ 2026/10 | 青森県／新潟県／石川県／福岡県／鹿児島県
