lg=02 total=108 pages=11
parsed items: 57 (fetched up to page 12)
already in DB (eventCd一致): 46 | NOT in DB (new candidates): 11
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/02_pf28.json
 NEW |  | 綾小路きみまろ 爆笑！！スーパーライブ２０２７ | 2027/1/19(火) ・ 2027/1/ | 兵庫県／岡山県
 NEW |  | 喬若改メ 三代目 笑福亭三喬 襲名披露公演 | 2026/12/13(日) | 兵庫県
 NEW |  | 銀シャリ単独ライブ２０２６「ベシャリの帝王 萬才 | 2026/8/28(金) ～ 2026/12 | 宮城県／東京都／愛知県／兵庫県／福岡県
 NEW |  | 神韻日本公演2027 | 2027/4/17(土) ・ 2027/4/ | 兵庫県
 NEW |  | 新国立劇場バレエ団 ロンドン公演凱旋企画 「ジゼ | 2027/1/23(土) ・ 2027/1/ | 兵庫県
 NEW |  | 宝塚歌劇月組 兵庫県立芸術文化センター公演 ミュ | 2026/9/13(日) ～ 2026/9/ | 兵庫県
 NEW |  | 第５０回東西落語名人選 | 2026/9/12(土) | 兵庫県
 NEW |  | 豊岡演劇祭2026 | 2026/9/19(土) ～ 2026/9/ | 兵庫県
 NEW |  | 人形劇「クラバート」明石公演 | 2026/9/22(火・祝) | 兵庫県
 NEW |  | 忍たま乱太郎ショー＆歌のお姉さんスペシャルショー | 2026/9/13(日) | 兵庫県
 NEW |  | 朗読劇『古事記』 | 2026/9/25(金) | 兵庫県
