lg=05 total=86 pages=9
parsed items: 80 (fetched up to page 10)
already in DB (eventCd一致): 40 | NOT in DB (new candidates): 40
  うち 2件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/05_all.json
 NEW |  | いけばなの根源池坊展 名古屋花展 | 2026/9/9(水) ～ 2026/9/1 | 愛知県
 NEW |  | 歌川国貞・歌川国芳－新宿歌舞伎町春画展ＷＡ | 2026/10/3(土) ～ 2026/11 | 東京都
 NEW |  | ウッドワン美術館開館３０周年記念事業 造形作家  | 2026/7/4(土) ～ 2026/9/1 | 
 NEW |  | 鉛筆画 大森浩平展 | 2026/8/26(水) ～ 2026/9/ | 
 NEW |  | 落合陽一｜天孫帰るってよ？ | 2026/7/11(土) ～ 2026/9/ | 
 NEW |  | 開館１０周年 ちくごｉｓｔ 河北秀也 デザインの | 2026/8/8(土) ～ 2026/10/ | 
 NEW |  | 絹谷幸二 天空美術館 | 2026/9/1(火) ～ 2027/8/3 | 
 NEW |  | １．旧尾崎テオドラ邸アフタヌーンティ＋ギャラリー | 2026/8/8(土) ～ 2026/9/9 | 東京都
 NEW |  | １．旧尾崎テオドラ邸アフタヌーンティ＋ギャラリー | 2026/9/11(金) ～ 2026/10 | 東京都
 NEW |  | ２．旧尾崎テオドラ邸・喫茶席予約＋ギャラリー／ガ | 2026/8/8(土) ～ 2026/9/9 | 東京都
 NEW |  | ２．旧尾崎テオドラ邸・喫茶席予約＋ギャラリー／ガ | 2026/9/11(金) ～ 2026/10 | 東京都
 NEW |  | ３．旧尾崎テオドラ邸ギャラリー入場券／ガラスの仮 | 2026/8/8(土) ～ 2026/9/9 | 東京都
 NEW |  | ３．旧尾崎テオドラ邸ギャラリー入場券／ガラスの仮 | 2026/9/11(金) ～ 2026/10 | 東京都
 NEW |  | 県立ミュージアムズ連携企画 ミュージアムのミステ | 2026/6/6(土) ～ 2026/9/1 | 
 NEW |  | 国宝リボーン 高精細複製画が綴る 美の夢 | 2026/7/17(金) ～ 2026/9/ | 
 NEW |  | ゴールドマン コレクション 河鍋暁斎の世界 | 2026/7/11(土) ～ 2026/9/ | 
 NEW |  | スウェーデン絵画 北欧の光、日常のかがやき | 2026/7/9(木) ～ 2026/10/ | 
 NEW |  | 生誕１５０周年 アルベール・マルケ展 水辺を愛し | 2026/8/8(土) ～ 2026/9/1 | 
 NEW |  | 第６３回全道いけ花美術展 | 2026/9/30(水) ～ 2026/10 | 北海道
 NEW |  | 大英博物館日本美術コレクション 百花繚乱～海を越 | 2026/10/31(土) ～ 2027/1 | 大阪府
 NEW |  | 特別展「古代黄金の物語 Ｔａｌｅｓ ｏｆ Ａｎｃ | 2026/9/12(土) ～ 2026/11 | 岡山県
 NEW |  | 特別展 生誕１４０年記念 染織家 山鹿清華 ―宙 | 2026/9/19(土) ～ 2026/12 | 京都府
 NEW |  | 長崎歴史文化博物館／常設展 | 2026/1/1(木・祝) ～ 2026/1 | 
 NEW |  | なつやすみ所蔵企画展 美術の時間 －つくるの視点 | 2026/7/7(火) ～ 2026/9/2 | 
 NEW |  | 日本画の殿堂 二階堂美術館コレクション展 ～大観 | 2026/9/19(土) ～ 2026/12 | 広島県
