lg=07 total=64 pages=7
parsed items: 41 (fetched up to page 8)
already in DB (eventCd一致): 25 | NOT in DB (new candidates): 16
  うち 1件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/07_pf04.json
 NEW |  | 五十嵐紅｜ギターと静寂『秋』 | 2026/9/15(火) | 宮城県
 NEW |  | 五十嵐紅トリオ｜シネマ・セレクション | 2026/11/17(火) | 宮城県
 NEW |  | 石田組 コンサートツアー2026 | 2026/9/16(水) | 宮城県
 NEW |  | 榛葉樹人（Ｔ）／今井俊輔（Ｂｒ） | 2026/10/24(土) | 宮城県
 NEW |  | ジョージ・ハリオノピアノリサイタル | 2026/11/11(水) ・ 2026/1 | 宮城県／大阪府／広島県
 NEW |  | 仙台クラシックフェスティバル2026 ＜10/3 | 2026/10/3(土) | 宮城県
 NEW |  | 仙台クラシックフェスティバル2026 ＜10/4 | 2026/10/4(日) | 宮城県
 NEW |  | 反田恭平 ピアノリサイタル 2026 | 2026/11/12(木) | 宮城県
 NEW |  | 仲道郁代プレミアム室内楽シリーズ in 七ヶ浜 | 2026/9/23(水・祝) | 宮城県
 NEW |  | 「日立システムズ エンジョイ！クラシック」コンサ | 2026/11/1(日) | 宮城県
 NEW |  | ピアノトリオコンサートＶＯＬ．７ | 2026/10/9(金) | 宮城県
 NEW |  | フィルハーモニー・カメラータ・ベルリン＆亀井聖矢 | 2026/9/18(金) | 宮城県
 NEW |  | マ・コルド・ダルク結成３周年２台ピアノによる鍵盤 | 2026/11/27(金) | 宮城県
 NEW |  | 宮田大（ｖｃ）／ＬＥＯ（筝） | 2026/9/23(水・祝) | 宮城県
 NEW |  | モーニングコンサートｖｏｌ．２ | 2026/11/3(火・祝) | 宮城県
 NEW |  | 読売日本交響楽団 | 2026/11/8(日) | 宮城県
