lg=07 total=727 pages=73
parsed items: 662 (fetched up to page 74)
already in DB (eventCd一致): 263 | NOT in DB (new candidates): 399
  うち 56件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/07_pf13.json
 NEW |  | 會田瑞樹パーカッションリサイタル２０２６ | 2026/11/10(火) | 東京都
 NEW |  | Ａｕｒａ | 2026/12/16(水) | 東京都
 NEW |  | 青木尚佳(ヴァイオリン)＆ジャノ・リスボア(ヴィ | 2026/10/6(火) | 東京都
 NEW |  | 秋川雅史（Ｔ） | 2026/9/29(火) | 東京都
 NEW |  | 秋山友貴(ピアノ) | 2026/9/15(火) | 東京都
 NEW |  | 安達朋博（ｐ） | 2026/11/21(土) | 東京都
 NEW |  | Ａｐｉ－Ｌｕｃｋｙ 支援 チャリティーコンサート | 2026/11/6(金) | 東京都
 NEW |  | Ａｙａｋｏ Ｓｈｉｎｏｚａｋｉ ＆ Ｆｒｉｅｎｄ | 2026/9/24(木) | 東京都
 NEW |  | 荒井桃子 | 2026/9/6(日) ・ 2026/9/1 | 東京都／兵庫県
 NEW |  | 荒木奏美×五十嵐紅｜オーボエとギター | 2026/11/19(木) | 東京都
 NEW |  | アレキサンダーホルンアンサンブルジャパン第１３回 | 2026/10/5(月) | 東京都
 NEW |  | アレクサンダー・ガジェヴ カレイドスコープ | 2026/9/29(火) ・ 2026/10 | 東京都
 NEW |  | アレクサンダー・ガヴリリュク ピアノ・リサイタル | 2026/11/24(火) | 東京都
 NEW |  | アレクサンダー・クリッヒェル（ｐ） | 2026/10/14(水) | 東京都
 NEW |  | アレクサンドル・タロー ピアノ・リサイタル | 2026/10/2(金) | 東京都
 NEW |  | アンサンブル・ウィーン＝ベルリン | 2026/9/21(月・祝) | 東京都
 NEW |  | ARK Hills Music Week 202 | 2026/10/3(土) ・ 2026/10 | 東京都
 NEW |  | ＡＲＫ ＢＲＡＳＳ ＆ 松井秀太郎 スター・ウォ | 2026/10/20(火) ・ 2026/1 | 埼玉県／東京都
 NEW |  | Ａｒｔ ｏｆ ２０２６ | 2026/5/16(土) ～ 2026/12 | 東京都／大阪府／兵庫県
 NEW |  | 五十嵐紅｜ギターと静寂『秋』 | 2026/10/15(木) | 東京都
 NEW |  | 五十嵐紅｜ギターと静寂『クリスマス』 | 2026/12/13(日) | 東京都
 NEW |  | 五十嵐紅｜ギターと静寂 特別公演『星と祈り』 | 2026/11/27(金) | 東京都
 NEW |  | 五十嵐紅トリオ｜クリスマス 2026 | 2026/12/2(水) | 東京都
 NEW |  | 五十嵐紅トリオ｜ジブリ 2026 | 2026/11/18(水) | 東京都
 NEW |  | 五十嵐紅トリオ｜４周年記念公演 | 2026/10/9(金) | 東京都
