lg=07 total=33 pages=4
parsed items: 33 (fetched up to page 5)
already in DB (eventCd一致): 16 | NOT in DB (new candidates): 17
  うち 2件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0908/07_pf34.json
 NEW |  | 五十嵐紅｜ギターと静寂『秋』 | 2026/10/28(水) | 広島県
 NEW |  | 江草千枝・里枝ピアノリサイタル ＶＯＬ．１２ | 2026/9/27(日) | 広島県
 NEW |  | Ｎ響の精鋭メンバーと奏でる名曲コンサート | 2026/11/26(木) | 広島県
 NEW |  | Ｎ響の精鋭メンバーと奏でる名曲コンサート | 2026/11/27(金) | 広島県
 NEW |  | エリザベト音楽大学 第８５回定期演奏会 | 2026/10/17(土) | 広島県
 NEW |  | エリザベト音楽大学 特別演奏会 トランペット＆ト | 2026/11/3(火・祝) | 広島県
 NEW |  | オーケストラ福山定期 Ｖｏｌ．１６ 京都市交響楽 | 2026/11/23(月・祝) | 広島県
 NEW |  | 川と音楽 | 2026/12/20(日) | 広島県
 NEW |  | ジョージ・ハリオノピアノリサイタル | 2026/11/11(水) ・ 2026/1 | 宮城県／大阪府／広島県
 NEW |  | スカボローフェア ギターと歌の楽しみ | 2026/9/21(月・祝) | 広島県
 NEW |  | ０歳から楽しめる！クラシックわくわくコンサート | 2026/9/21(月・祝) | 広島県
 NEW |  | 高木凜々子（ｖｌ） | 2026/10/16(金) | 広島県
 NEW |  | 田中彩子（Ｓ） | 2026/9/26(土) | 広島県
 NEW |  | 第９回さくらぴあ音楽の広場２０２６ＭＵＳＩＣｗｉ | 2026/11/29(日) | 広島県
 NEW |  | ２０２６あきおおた国際音楽祭 | 2026/10/18(日) | 広島県
 NEW |  | 松本和将の世界音楽遺産第１０回ベートーヴェン編（ | 2026/10/25(日) | 広島県
 NEW |  | 宮谷理香 デビュー３０周年記念 | 2026/11/14(土) | 広島県
