lg=01 total=217 pages=22
parsed items: 202 (fetched up to page 23)
already in DB (eventCd一致): 173 | NOT in DB (new candidates): 29
  うち 17件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf04.json
 NEW |  | ＵＮＦＡＩＲ ＲＵＬＥ | 2026/10/9(金) | 宮城県
 NEW |  | Ochunism | 2026/10/30(金) | 宮城県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/11/14(土) ・ 2026/1 | 岩手県／宮城県／福島県
 NEW |  | カラフルピーチ〈ＪＲ仙台駅東口発臨時直行往復バス | 2026/11/28(土) ・ 2026/1 | 宮城県
 NEW |  | カラフルピーチ〈駐車券〉 | 2026/11/28(土) ・ 2026/1 | 宮城県
 NEW |  | ガラスの靴は落とさない | 2026/9/16(水) | 宮城県
 NEW |  | 筋肉少女帯 | 2026/10/31(土) | 宮城県
 NEW |  | Cloudy | 2026/11/3(火・祝) | 宮城県
 NEW |  | ｇｏ！ｇｏ！ｖａｎｉｌｌａｓ | 2026/10/31(土) | 宮城県
 NEW |  | THE YELLOW MONKEY | 2026/10/11(日) | 宮城県
 NEW |  | 杉山清貴 | 2026/11/7(土) ・ 2026/11 | 宮城県
 NEW |  | ｔｕｋｉ． | 2026/11/3(火・祝) | 宮城県
 NEW |  | ティーナ・カリーナ | 2026/9/23(水・祝) | 宮城県
 NEW |  | 徳永ゆうき | 2026/10/18(日) | 宮城県
 NEW |  | ＴＲＡｅＬＬ | 2026/10/18(日) | 宮城県
 NEW |  | Night Tempo | 2026/11/3(火・祝) | 宮城県
 NEW |  | 中村ゆりか | 2026/11/21(土) | 宮城県
 NEW |  | ねぐせ。 | 2026/10/25(日) | 宮城県
 NEW |  | PURPLE BUBBLE | 2026/10/25(日) | 宮城県
 NEW |  | BOYNEXTDOOR | 2026/9/19(土) ・ 2026/9/ | 宮城県
 NEW |  | Ｍｙ Ｌｉｔｔｌｅ Ｌｏｖｅｒ | 2026/10/17(土) | 宮城県
 NEW |  | マカロニえんぴつ | 2026/11/21(土) | 宮城県
 NEW |  | ｍｉｌｅｔ | 2026/10/24(土) | 宮城県
 NEW |  | moon drop | 2026/9/23(水・祝) | 宮城県
