lg=01 total=102 pages=11
parsed items: 96 (fetched up to page 12)
already in DB (eventCd一致): 67 | NOT in DB (new candidates): 29
  うち 17件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf11.json
 NEW |  | アナタ・ボリビア | 2026/10/24(土) ・ 2026/1 | 埼玉県／神奈川県
 NEW |  | 石川さゆり | 2026/11/25(水) | 埼玉県
 NEW |  | イルカ | 2026/10/18(日) | 埼玉県
 NEW |  | ＨＹ | 2026/9/22(火・祝) | 埼玉県
 NEW |  | ＮＰＯ法人みのり設立１０周年 新沢としひこ・山野 | 2026/9/26(土) | 埼玉県
 NEW |  | 大月みやこ／伍代夏子／香西かおり | 2026/10/16(金) ・ 2026/1 | 埼玉県
 NEW |  | ＣＨＥＭＩＳＴＲＹ | 2026/9/10(木) | 埼玉県
 NEW |  | 斉藤和義 | 2026/11/15(日) | 埼玉県
 NEW |  | ＴＨＥカルテットの昭和歌謡コンサート（蓮田１０月 | 2026/10/27(火) | 埼玉県
 NEW |  | ＴＨＥカルテットの昭和歌謡コンサート（朝霞１１月 | 2026/11/12(木) | 埼玉県
 NEW |  | ＳＩＮＯＮ 奇跡の歌声 ～カーペンターズコンサー | 2026/9/27(日) | 埼玉県
 NEW |  | 島袋寛子 | 2026/9/23(水・祝) | 埼玉県
 NEW |  | 杉山清貴 | 2026/11/14(土) | 埼玉県
 NEW |  | スターダスト☆レビュー | 2026/10/10(土) | 埼玉県
 NEW |  | タブレット純 魅惑の世界 | 2026/10/23(金) | 埼玉県
 NEW |  | 徳永ゆうき | 2026/11/1(日) ・ 2026/11 | 埼玉県／千葉県
 NEW |  | 二胡で奏でる世界名曲の旅 | 2026/10/18(日) | 埼玉県
 NEW |  | Northern19／39degrees | 2026/9/19(土) | 埼玉県
 NEW |  | 風輪 | 2026/10/30(金) | 埼玉県
 NEW |  | 福田こうへい | 2026/9/25(金) | 埼玉県
 NEW |  | 舟木一夫 | 2026/9/25(金) ・ 2026/10 | 茨城県／埼玉県
 NEW |  | 水森かおり | 2026/11/27(金) | 埼玉県
 NEW |  | 南こうせつ | 2026/10/3(土) ・ 2026/10 | 群馬県／埼玉県
 NEW |  | めいちゃん | 2026/12/5(土) ・ 2026/12 | 埼玉県
 NEW |  | モニカ・メサ | 2026/10/5(月) ・ 2026/10 | 埼玉県／東京都
