lg=01 total=66 pages=7
parsed items: 60 (fetched up to page 8)
already in DB (eventCd一致): 42 | NOT in DB (new candidates): 18
  うち 13件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf12.json
 NEW |  | AIR JAM 2026 | 2026/11/7(土) | 千葉県
 NEW |  | ＨＹ | 2026/9/23(水・祝) | 千葉県
 NEW |  | Ochunism | 2026/11/22(日) | 千葉県
 NEW |  | 楽之交会 音楽の出会い | 2026/9/11(金) ・ 2026/9/ | 千葉県
 NEW |  | 斉藤和義 | 2026/9/18(金) | 千葉県
 NEW |  | 島津亜矢 | 2026/9/22(火・祝) | 千葉県
 NEW |  | 昭和・平成歌謡ナイト Vol.3 | 2026/10/30(金) | 千葉県
 NEW |  | 超PMAM | 2026/9/23(水・祝) | 千葉県
 NEW |  | 徳永ゆうき | 2026/11/1(日) ・ 2026/11 | 埼玉県／千葉県
 NEW |  | 花冷え。 | 2026/9/19(土) | 千葉県
 NEW |  | ハラミちゃん | 2026/10/17(土) | 千葉県
 NEW |  | 福田こうへい | 2026/10/18(日) | 千葉県
 NEW |  | プッシュプルポット | 2026/10/16(金) | 千葉県
 NEW |  | Ｈｅｌｓｉｎｋｉ Ｌａｍｂｄａ Ｃｌｕｂ | 2026/10/29(木) | 千葉県
 NEW |  | BOYNEXTDOOR | 2026/10/10(土) ・ 2026/1 | 千葉県
 NEW |  | 山本リンダ | 2026/9/25(金) | 千葉県
 NEW |  | リアクション ザ ブッタ | 2026/10/31(土) | 千葉県
 NEW |  | 緑黄色社会 | 2026/9/19(土) | 千葉県
